date,open,high,low,close,volume,symbol
2025-01-06 16:40:00+00:00,113.8,113.855,113.75,113.8,2831.0,ABT
2025-01-06 16:45:00+00:00,113.8,114.05,113.8,114.05,539.0,ABT
2025-01-06 16:50:00+00:00,114.01,114.23,114.01,114.09,7015.0,ABT
2025-01-06 16:55:00+00:00,114.12,114.13,114.04,114.06,872.0,ABT
2025-01-06 17:00:00+00:00,114.12,114.14,114.05,114.06,1742.0,ABT
2025-01-06 17:05:00+00:00,114.06,114.085,113.905,113.905,755.0,ABT
2025-01-06 17:10:00+00:00,113.905,114.05,113.895,114.05,328.0,ABT
2025-01-06 17:15:00+00:00,114.0,114.01,113.92,114.005,5934.0,ABT
2025-01-06 17:20:00+00:00,113.94,113.94,113.905,113.905,398.0,ABT
2025-01-06 17:25:00+00:00,113.89,113.89,113.84,113.85,849.0,ABT
2025-01-06 17:30:00+00:00,113.815,113.9,113.8,113.855,782.0,ABT
2025-01-06 17:35:00+00:00,113.83,114.03,113.83,114.03,209.0,ABT
2025-01-06 17:40:00+00:00,114.01,114.02,113.935,113.955,1325.0,ABT
2025-01-06 17:45:00+00:00,113.955,113.97,113.89,113.905,411.0,ABT
2025-01-06 17:50:00+00:00,113.945,113.96,113.915,113.94,790.0,ABT
2025-01-06 17:55:00+00:00,113.94,113.94,113.85,113.89,1212.0,ABT
2025-01-06 18:00:00+00:00,113.93,113.93,113.775,113.9,1400.0,ABT
2025-01-06 18:05:00+00:00,113.88,113.9,113.76,113.78,546.0,ABT
2025-01-06 18:10:00+00:00,113.78,113.885,113.76,113.885,263.0,ABT
2025-01-06 18:15:00+00:00,113.89,114.005,113.86,114.005,321.0,ABT
2025-01-06 18:20:00+00:00,113.94,114.0,113.93,113.95,239.0,ABT
2025-01-06 18:25:00+00:00,113.95,113.97,113.93,113.96,529.0,ABT
2025-01-06 18:30:00+00:00,113.965,114.03,113.94,114.0,1947.0,ABT
2025-01-06 18:35:00+00:00,114.02,114.12,113.995,114.09,1343.0,ABT
2025-01-06 18:40:00+00:00,114.08,114.08,113.975,114.015,1082.0,ABT
2025-01-06 18:45:00+00:00,114.0,114.02,113.91,113.945,998.0,ABT
2025-01-06 18:50:00+00:00,113.96,114.07,113.93,114.04,954.0,ABT
2025-01-06 18:55:00+00:00,114.04,114.055,113.98,114.04,1336.0,ABT
2025-01-06 19:00:00+00:00,114.04,114.05,113.785,113.8,1160.0,ABT
2025-01-06 19:05:00+00:00,113.83,113.855,113.77,113.785,375.0,ABT
2025-01-06 19:10:00+00:00,113.785,113.85,113.75,113.785,250.0,ABT
2025-01-06 19:15:00+00:00,113.78,113.945,113.77,113.925,862.0,ABT
2025-01-06 19:20:00+00:00,113.91,113.91,113.8,113.845,377.0,ABT
2025-01-06 19:25:00+00:00,113.845,113.845,113.74,113.75,621.0,ABT
2025-01-06 19:30:00+00:00,113.72,113.795,113.71,113.71,575.0,ABT
2025-01-06 19:35:00+00:00,113.71,113.735,113.62,113.62,816.0,ABT
2025-01-06 19:40:00+00:00,113.6,113.6,113.52,113.555,770.0,ABT
2025-01-06 19:45:00+00:00,113.5,113.57,113.5,113.57,388.0,ABT
2025-01-06 19:50:00+00:00,113.56,113.565,113.475,113.475,943.0,ABT
2025-01-06 19:55:00+00:00,113.475,113.52,113.375,113.5,1473.0,ABT
2025-01-06 20:00:00+00:00,113.485,113.555,113.47,113.535,625.0,ABT
2025-01-06 20:05:00+00:00,113.53,113.53,113.45,113.47,630.0,ABT
2025-01-06 20:10:00+00:00,113.47,113.48,113.4,113.4,450.0,ABT
2025-01-06 20:15:00+00:00,113.395,113.395,113.26,113.29,2822.0,ABT
2025-01-06 20:20:00+00:00,113.29,113.32,113.25,113.29,1857.0,ABT
2025-01-06 20:25:00+00:00,113.28,113.33,113.21,113.225,1920.0,ABT
2025-01-06 20:30:00+00:00,113.225,113.3,113.18,113.19,3455.0,ABT
2025-01-06 20:35:00+00:00,113.215,113.265,113.07,113.07,2265.0,ABT
