date,open,high,low,close,volume,symbol
2025-01-03 19:40:00+00:00,431.36,431.36,430.73,430.76,1239.0,ADBE
2025-01-03 19:45:00+00:00,430.765,431.18,430.765,431.01,1456.0,ADBE
2025-01-03 19:50:00+00:00,431.095,431.095,430.735,430.84,1487.0,ADBE
2025-01-03 19:55:00+00:00,430.86,431.375,430.76,431.26,2319.0,ADBE
2025-01-03 20:00:00+00:00,431.03,431.21,430.55,430.58,1457.0,ADBE
2025-01-03 20:05:00+00:00,430.58,431.07,430.42,431.03,1859.0,ADBE
2025-01-03 20:10:00+00:00,430.97,431.13,430.79,430.89,2485.0,ADBE
2025-01-03 20:15:00+00:00,430.84,431.01,430.705,430.705,1822.0,ADBE
2025-01-03 20:20:00+00:00,430.685,430.79,430.4,430.67,2139.0,ADBE
2025-01-03 20:25:00+00:00,430.71,431.16,430.59,431.12,1909.0,ADBE
2025-01-03 20:30:00+00:00,431.1,431.325,430.95,431.1,2713.0,ADBE
2025-01-03 20:35:00+00:00,431.21,431.29,430.29,430.29,3217.0,ADBE
2025-01-03 20:40:00+00:00,430.35,430.36,429.65,429.985,4873.0,ADBE
2025-01-03 20:45:00+00:00,429.99,430.21,429.87,429.98,5172.0,ADBE
2025-01-03 20:50:00+00:00,429.92,430.565,429.73,430.565,6104.0,ADBE
2025-01-03 20:55:00+00:00,430.38,430.83,430.13,430.55,10436.0,ADBE
2025-01-06 14:30:00+00:00,431.87,433.33,431.42,432.375,2421.0,ADBE
2025-01-06 14:35:00+00:00,432.025,433.73,431.64,433.48,1217.0,ADBE
2025-01-06 14:40:00+00:00,433.38,436.19,433.19,435.62,3395.0,ADBE
2025-01-06 14:45:00+00:00,435.38,435.87,434.25,434.25,1955.0,ADBE
2025-01-06 14:50:00+00:00,434.14,434.43,433.0,433.2,1775.0,ADBE
2025-01-06 14:55:00+00:00,433.285,433.285,432.34,432.59,488.0,ADBE
2025-01-06 15:00:00+00:00,432.545,432.6,431.78,432.6,3084.0,ADBE
2025-01-06 15:05:00+00:00,432.53,433.23,432.37,432.9,2610.0,ADBE
2025-01-06 15:10:00+00:00,433.02,434.055,432.84,434.055,2015.0,ADBE
2025-01-06 15:15:00+00:00,434.14,434.14,433.45,433.83,1199.0,ADBE
2025-01-06 15:20:00+00:00,433.84,433.99,433.52,433.675,1153.0,ADBE
2025-01-06 15:25:00+00:00,433.69,434.41,433.6,434.205,745.0,ADBE
2025-01-06 15:30:00+00:00,434.245,434.3,433.51,433.93,1180.0,ADBE
2025-01-06 15:35:00+00:00,434.01,434.78,433.98,434.23,4423.0,ADBE
2025-01-06 15:40:00+00:00,434.24,434.85,434.17,434.82,3727.0,ADBE
2025-01-06 15:45:00+00:00,435.07,435.275,434.91,434.96,2307.0,ADBE
2025-01-06 15:50:00+00:00,434.915,434.915,434.32,434.57,772.0,ADBE
2025-01-06 15:55:00+00:00,434.48,434.84,434.41,434.84,1262.0,ADBE
2025-01-06 16:00:00+00:00,434.97,434.97,434.35,434.92,1436.0,ADBE
2025-01-06 16:05:00+00:00,434.75,435.0,434.645,434.835,1140.0,ADBE
2025-01-06 16:10:00+00:00,434.83,435.16,434.25,434.38,1484.0,ADBE
2025-01-06 16:15:00+00:00,434.38,434.97,434.28,434.78,5469.0,ADBE
2025-01-06 16:20:00+00:00,434.825,434.95,434.56,434.84,1478.0,ADBE
