date,open,high,low,close,volume,symbol
2025-01-03 19:40:00+00:00,514.505,514.67,514.38,514.38,229.0,UNH
2025-01-03 19:45:00+00:00,514.43,514.63,514.26,514.57,827.0,UNH
2025-01-03 19:50:00+00:00,514.57,514.59,514.39,514.52,1258.0,UNH
2025-01-03 19:55:00+00:00,514.44,514.56,514.29,514.37,1024.0,UNH
2025-01-03 20:00:00+00:00,514.29,514.3,513.645,514.18,1483.0,UNH
2025-01-03 20:05:00+00:00,514.16,514.485,514.15,514.475,605.0,UNH
2025-01-03 20:10:00+00:00,514.45,514.45,514.23,514.235,829.0,UNH
2025-01-03 20:15:00+00:00,514.29,514.29,513.905,513.97,1447.0,UNH
2025-01-03 20:20:00+00:00,513.94,513.945,513.5,513.82,724.0,UNH
2025-01-03 20:25:00+00:00,513.89,514.0,513.75,513.83,829.0,UNH
2025-01-03 20:30:00+00:00,513.78,513.83,513.3,513.67,1006.0,UNH
2025-01-03 20:35:00+00:00,513.81,513.93,513.68,513.93,567.0,UNH
2025-01-03 20:40:00+00:00,513.93,513.93,513.63,513.68,2777.0,UNH
2025-01-03 20:45:00+00:00,513.7,513.93,513.64,513.845,2716.0,UNH
2025-01-03 20:50:00+00:00,513.85,513.97,512.49,512.67,6922.0,UNH
2025-01-03 20:55:00+00:00,512.49,513.12,512.315,512.92,11415.0,UNH
2025-01-06 14:30:00+00:00,514.0,514.0,511.12,511.83,2101.0,UNH
2025-01-06 14:35:00+00:00,511.83,515.42,511.83,515.39,2284.0,UNH
2025-01-06 14:40:00+00:00,515.22,517.61,515.22,516.77,3471.0,UNH
2025-01-06 14:45:00+00:00,516.91,516.91,515.79,515.88,1317.0,UNH
2025-01-06 14:50:00+00:00,515.54,515.66,514.4,514.48,1507.0,UNH
2025-01-06 14:55:00+00:00,514.305,514.76,513.99,514.2,2411.0,UNH
2025-01-06 15:00:00+00:00,514.26,515.72,513.865,515.72,1632.0,UNH
2025-01-06 15:05:00+00:00,515.85,516.13,515.3,516.13,1070.0,UNH
2025-01-06 15:10:00+00:00,516.45,516.54,515.835,516.47,1797.0,UNH
2025-01-06 15:15:00+00:00,516.465,516.465,515.42,515.42,2535.0,UNH
