feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
6.305725,9.019022,0.0,0.0,1.4651518,1.453644,0.0,2.3511553,0.40552443,0.0
5.8923903,7.096868,0.0,0.0,7.267667,6.8603024,0.0,5.326182,5.5000052,0.0
2.8645928,5.897925,0.0,0.0,1.3887534,2.5137186,0.0,3.675055,0.74722147,0.0
5.915509,4.357409,0.0,0.0,6.116344,4.0365715,0.0,2.7113032,3.662356,0.0
0.17676185,0.93848497,0.0,0.0,3.142332,3.5172594,0.0,5.059831,3.5407157,0.0
5.905114,5.7364035,0.0,0.0,7.120595,6.388654,0.0,4.8645425,5.992466,0.0
7.041538,8.17854,0.0,0.0,4.3704934,5.1931176,0.0,3.6773145,5.7376523,0.0
1.2461605,0.0,0.0,0.0,3.1852052,2.4270303,0.0,2.3309581,1.8759406,0.0
1.1002202,1.9298184,0.0,0.0,4.297442,4.2563777,0.0,0.8320142,5.3521113,0.0
7.372873,6.686039,0.0,0.0,3.5934865,2.630968,0.0,3.060565,1.5156995,0.0
5.4601417,3.028229,0.0,0.0,7.128941,4.6406107,0.0,3.2274568,5.2536483,0.0
4.8690453,10.668319,0.0,0.0,0.9775869,4.9317946,0.0,4.913933,2.6321728,0.0
6.26562,6.4736633,0.0,0.0,7.9680257,6.8238277,0.0,5.0234194,6.1370945,0.0
5.870362,2.8768144,0.0,0.0,4.6226068,5.9843235,0.0,4.479628,3.2811673,0.0
4.758304,4.881163,0.0,0.0,5.6762457,7.311485,0.0,5.191089,5.441403,0.0
4.1208496,2.4352694,0.0,0.0,5.397319,3.9061902,0.0,1.749175,3.9226985,0.0
7.7800317,6.7132616,0.0,0.0,2.2891238,2.6575034,0.0,5.541673,1.6881908,0.0
9.730498,8.669583,0.0,0.0,4.3338113,4.346076,0.0,5.783432,3.0164163,0.0
4.225747,8.467869,0.0,0.0,0.2874092,1.0198414,0.0,1.0885633,1.31347,0.0
4.718722,4.216682,0.0,0.0,5.4518976,7.0705886,0.0,5.518354,6.0072465,0.0
8.658013,10.465618,0.0,0.0,2.0188959,8.108099,0.0,6.2323456,4.606839,0.0
11.098723,9.804829,0.0,0.0,1.721258,5.4985366,0.0,6.367611,4.3136015,0.0
9.151441,8.909342,0.0,0.0,1.7260878,7.252238,0.0,3.2383626,2.342635,0.0
6.9030585,6.9342623,0.0,0.0,6.097813,4.113093,0.0,6.457269,3.3493714,0.0
1.5126144,0.511252,0.0,0.0,6.5103445,2.403716,0.0,3.9708905,2.8028393,0.0
7.05572,4.3029356,0.0,0.0,8.160888,5.370977,0.0,3.758484,4.8650565,0.0
4.8493843,3.2501755,0.0,0.0,5.7351327,4.974216,0.0,3.9272878,3.9264576,0.0
5.4809847,3.9159205,0.0,0.0,7.010867,4.585078,0.0,5.228433,5.4547257,0.0
7.2571063,8.310977,0.0,0.0,7.3643045,7.880283,0.0,5.56022,6.1294737,0.0
4.9388914,4.097069,0.0,0.0,4.29688,3.814229,0.0,5.9382486,4.287272,0.0
4.5585527,4.1986227,0.0,0.0,5.966298,7.0863876,0.0,6.7018595,4.910719,0.0
4.4983435,7.621884,0.0,0.0,3.5656993,3.1996202,0.0,5.7679944,0.34849998,0.0
9.389962,8.442474,0.0,0.0,0.1861518,6.7883186,0.0,3.5150983,3.2444775,0.0
4.5669703,4.0534844,0.0,0.0,5.8227587,5.3626375,0.0,4.5616474,4.843116,0.0
10.323698,10.525165,0.0,0.0,3.1800213,5.2599115,0.0,3.924996,4.304034,0.0
7.4622097,8.601445,0.0,0.0,5.272295,7.535213,0.0,6.1738744,4.306793,0.0
8.366329,5.9304266,0.0,0.0,1.5195763,3.1321864,0.0,2.691845,1.3174626,0.0
6.2299047,5.179634,0.0,0.0,6.3299255,7.0237856,0.0,2.438331,5.91542,0.0
1.9729066,1.6114258,0.0,0.0,5.4898777,1.4704443,0.0,3.7359614,3.6497126,0.0
4.760389,4.715968,0.0,0.0,1.3485172,1.8907299,0.0,2.7717817,1.3329496,0.0
6.274251,6.6245213,0.0,0.0,4.717383,4.0602183,0.0,3.3551233,3.8294063,0.0
4.5371604,3.505092,0.0,0.0,5.2365775,7.124135,0.0,4.6179996,4.744448,0.0
4.6428843,4.5833335,0.0,0.0,0.9773761,2.3511317,0.0,3.4955096,1.319574,0.0
6.3350363,7.835869,0.0,0.0,5.068263,7.1944485,0.0,5.5437803,3.6913404,0.0
4.074845,1.8766546,0.0,0.0,4.432476,4.202057,0.0,5.17394,4.4909134,0.0
5.012213,4.4148602,0.0,0.0,6.9444046,6.2542157,0.0,5.9065876,4.0500617,0.0
4.88356,6.955925,0.0,0.0,3.2875721,1.396456,0.0,4.5043745,1.4180813,0.0
4.9586287,9.757115,0.0,0.0,1.5280585,2.8264728,0.0,3.9103544,3.1891444,0.0
3.3258948,1.687012,0.0,0.0,4.887922,4.080511,0.0,3.199049,3.3326917,0.0
9.005189,7.3125134,0.0,0.0,2.7427342,2.1020567,0.0,3.57059,3.4512205,0.0
2.3030672,5.981383,0.0,0.0,1.2837734,0.0,0.0,2.2146113,0.78469104,0.0
5.6895604,3.2683294,0.0,0.0,6.374911,3.8560753,0.0,5.331645,4.8439445,0.0
4.8828726,4.390526,0.0,0.0,5.5758386,3.8765867,0.0,2.2170575,2.501806,0.0
6.2992663,8.880559,0.0,0.0,3.0543165,2.8286211,0.0,3.2859988,0.3627457,0.0
4.1405587,3.3046086,0.0,0.0,4.9792666,5.300916,0.0,5.878219,4.940374,0.0
8.615022,8.794596,0.0,0.0,1.343794,5.426577,0.0,5.3890414,4.793418,0.0
2.968401,5.097576,0.0,0.0,3.2724214,4.5419974,0.0,3.9650779,4.601102,0.0
4.7838445,4.645321,0.0,0.0,5.563927,5.78031,0.0,5.1501217,2.989197,0.0
7.9948945,8.563585,0.0,0.0,4.2750063,4.116115,0.0,3.3325102,2.4805608,0.0
4.8589354,3.1453485,0.0,0.0,7.100734,5.310409,0.0,3.929172,4.0259366,0.0
5.2831016,2.8626697,0.0,0.0,5.681498,5.2789655,0.0,3.2449462,2.952064,0.0
0.9215896,1.2454278,0.0,0.0,4.5327616,6.1736045,0.0,1.9810824,3.2161486,0.0
5.5910387,4.4696727,0.0,0.0,6.5518217,5.422724,0.0,6.3677793,6.2077703,0.0
5.328942,4.0778446,0.0,0.0,6.137005,5.2629056,0.0,5.1527166,3.5955658,0.0
5.4629025,5.0600863,0.0,0.0,5.4255967,5.7393703,0.0,6.178157,3.5216787,0.0
2.2684839,2.3473425,0.0,0.0,4.4606647,5.70269,0.0,4.79299,3.2244182,0.0
4.7320523,3.7405744,0.0,0.0,4.704781,5.055143,0.0,5.17255,2.3908272,0.0
9.089544,5.8157377,0.0,0.0,1.737869,3.611705,0.0,3.401652,0.9215315,0.0
4.4492393,3.09833,0.0,0.0,6.0780334,6.5753603,0.0,2.2418754,5.4511065,0.0
5.106556,6.4240723,0.0,0.0,2.9346733,2.3488815,0.0,0.46031123,2.177123,0.0
6.002054,4.549307,0.0,0.0,6.5279336,5.259861,0.0,5.059202,4.0683665,0.0
2.7524314,2.802239,0.0,0.0,2.850617,4.565748,0.0,5.6055174,3.8306172,0.0
5.3748326,2.582146,0.0,0.0,5.7221446,4.0458064,0.0,4.1206217,5.2911377,0.0
2.7070546,2.3683,0.0,0.0,5.1803536,1.0645641,0.0,2.7956173,2.9125597,0.0
6.8689017,5.5472116,0.0,0.0,1.0505896,5.014001,0.0,3.78491,1.3709048,0.0
9.098046,8.676691,0.0,0.0,1.4332353,4.817126,0.0,6.226247,4.511115,0.0
4.9821815,3.8556495,0.0,0.0,4.609953,5.360075,0.0,6.0050926,3.1775696,0.0
11.693528,11.022677,0.0,0.0,2.914647,6.6437507,0.0,6.6499987,4.6829147,0.0
4.1145916,2.630097,0.0,0.0,5.6375775,3.075843,0.0,1.8339424,4.474037,0.0
5.682602,10.669649,0.0,0.0,4.833377,4.2920403,0.0,5.319989,3.2056665,0.0
6.977476,5.7016597,0.0,0.0,5.9217734,4.987199,0.0,5.027343,5.0444646,0.0
6.965852,7.6920886,0.0,0.0,4.465335,6.848184,0.0,5.955756,4.157193,0.0
6.680694,4.8987155,0.0,0.0,4.327828,2.5631976,0.0,4.0353518,2.8509183,0.0
7.17003,6.432573,0.0,0.0,6.9595375,6.6114388,0.0,5.5128617,6.2451534,0.0
4.442396,5.213614,0.0,0.0,4.294359,6.3609586,0.0,4.8259444,4.380032,0.0
11.064456,9.935747,0.0,0.0,2.8388553,4.770085,0.0,5.226215,3.9217424,0.0
0.8394631,0.45854843,0.0,0.0,4.551247,1.7533706,0.0,4.953523,2.8108327,0.0
4.5636373,4.2277308,0.0,0.0,6.433888,3.4930475,0.0,5.958051,3.9227376,0.0
4.4844694,5.680106,0.0,0.0,2.7342088,5.6497726,0.0,6.1339784,2.9604475,0.0
5.828355,5.503116,0.0,0.0,5.18666,2.3162432,0.0,3.2636337,2.65568,0.0
5.7075534,6.1964674,0.0,0.0,3.0958033,6.6045804,0.0,5.1927752,3.0681968,0.0
5.0545344,5.5918455,0.0,0.0,5.98917,4.3071322,0.0,3.0388691,5.9654036,0.0
9.859284,10.842169,0.0,0.0,2.6233568,6.6706853,0.0,6.4549084,5.263484,0.0
7.1142945,10.179328,0.0,0.0,4.6494355,6.401109,0.0,5.105132,3.3777704,0.0
4.916379,5.694454,0.0,0.0,5.1572275,5.6573725,0.0,4.69346,4.635996,0.0
3.4628582,1.6660392,0.0,0.0,5.3571854,3.6765573,0.0,4.2164054,3.0432544,0.0
7.1904044,5.916024,0.0,0.0,1.159269,4.882226,0.0,3.7946029,1.7690881,0.0
5.3273215,3.6873674,0.0,0.0,6.204443,6.670626,0.0,4.4820375,5.379113,0.0
6.2697926,8.211977,0.0,0.0,4.554043,5.345134,0.0,4.987803,1.1048905,0.0
3.572536,2.3054688,0.0,0.0,5.172463,0.98072124,0.0,2.875104,4.1671004,0.0
6.1337595,9.583145,0.0,0.0,3.121196,4.1570716,0.0,3.6111083,0.39027613,0.0
9.186476,8.479649,0.0,0.0,4.3989406,4.3548374,0.0,5.98438,3.1886568,0.0
7.2329535,6.24861,0.0,0.0,6.773658,7.0375776,0.0,6.606507,5.395764,0.0
8.167641,8.547409,0.0,0.0,2.74062,4.616425,0.0,6.4790077,3.02937,0.0
5.8578916,3.1311197,0.0,0.0,5.0265007,5.347756,0.0,3.7117014,3.1897473,0.0
2.8896296,4.4646997,0.0,0.0,4.1794786,5.3867326,0.0,4.8994565,5.0204997,0.0
5.8656874,2.8894105,0.0,0.0,6.6433563,4.6830373,0.0,5.186935,3.6267173,0.0
4.747538,6.367858,0.0,0.0,0.2747493,5.7985697,0.0,5.715661,0.79692197,0.0
4.932279,4.108519,0.0,0.0,5.4212847,4.569503,0.0,4.7074704,5.094214,0.0
5.5704145,9.062237,0.0,0.0,0.9466163,4.5971246,0.0,5.062128,1.3279119,0.0
3.2071161,2.5468872,0.0,0.0,5.188362,3.855849,0.0,4.5873094,3.9656274,0.0
10.038165,8.725521,0.0,0.0,0.46340743,5.0561056,0.0,6.8750772,3.7607253,0.0
3.50255,4.655357,0.0,0.0,6.951663,5.842632,0.0,5.3255844,3.04988,0.0
0.83989275,2.9970448,0.0,0.0,6.8789725,5.786259,0.0,3.6978593,3.8417618,0.0
5.63337,2.1899056,0.0,0.0,3.9564922,5.179635,0.0,3.2788608,3.9032223,0.0
4.127135,2.552425,0.0,0.0,5.550747,4.243296,0.0,1.8013375,3.849355,0.0
