feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
5.027826,0.0,0.0,10.322175,2.8937783,0.0,3.052314,0.0,0.0,6.109484
2.2165632,0.0,0.0,7.556828,0.8998347,0.0,1.2913258,0.0,0.0,2.6448383
2.4443595,0.0,0.0,8.643465,2.515511,0.0,4.242982,0.0,0.0,4.3329544
2.9504688,0.0,0.0,8.507187,3.9048426,0.0,1.7321653,0.0,0.0,2.7468307
5.337032,0.0,0.0,9.243825,5.0738773,0.0,5.7813487,0.0,0.0,3.7788749
2.269227,0.0,0.0,9.011579,2.7695742,0.0,2.9520109,0.0,0.0,7.0343866
4.666719,0.0,0.0,0.94770384,5.3565087,0.0,2.7985687,0.0,0.0,5.144471
4.342962,0.0,0.0,9.117525,3.3109875,0.0,4.178395,0.0,0.0,7.1608396
4.6746254,0.0,0.0,8.66249,4.8103666,0.0,4.352977,0.0,0.0,3.5811517
3.4485457,0.0,0.0,2.2013316,1.0291277,0.0,0.50433564,0.0,0.0,1.7231038
1.2970332,0.0,0.0,8.8838,0.0,0.0,1.8460773,0.0,0.0,4.265012
9.317659,0.0,0.0,10.12315,8.624689,0.0,5.2339644,0.0,0.0,7.1933274
4.750566,0.0,0.0,9.845797,1.3709823,0.0,4.780696,0.0,0.0,6.5683146
1.7112511,0.0,0.0,3.8616943,0.2009595,0.0,2.1432586,0.0,0.0,1.0030726
5.560581,0.0,0.0,0.6506134,5.244241,0.0,3.88529,0.0,0.0,5.867007
3.3004665,0.0,0.0,10.291938,1.225566,0.0,4.606757,0.0,0.0,5.064782
3.9729054,0.0,0.0,10.252784,2.6657114,0.0,3.0510728,0.0,0.0,2.4653916
4.155023,0.0,0.0,8.186838,2.999953,0.0,1.942898,0.0,0.0,4.328063
6.5980372,0.0,0.0,3.264475,2.4420583,0.0,2.755078,0.0,0.0,3.080463
4.366479,0.0,0.0,8.327,2.692475,0.0,5.7264957,0.0,0.0,6.297641
5.0544105,0.0,0.0,9.145856,3.7700605,0.0,2.5668974,0.0,0.0,4.7170877
3.6537976,0.0,0.0,7.1761036,2.6962686,0.0,0.37585402,0.0,0.0,2.4592807
3.305161,0.0,0.0,8.549581,3.4890957,0.0,2.0488973,0.0,0.0,3.1582818
1.3448269,0.0,0.0,8.5951395,0.0,0.0,0.29888147,0.0,0.0,2.0596042
4.79399,0.0,0.0,9.387232,1.541824,0.0,4.35503,0.0,0.0,4.5019174
1.2434232,0.0,0.0,5.9496455,1.4091417,0.0,2.692268,0.0,0.0,2.4403841
2.4238033,0.0,0.0,8.4755745,2.962685,0.0,3.7011151,0.0,0.0,2.2309647
1.5324931,0.0,0.0,8.4291115,1.9577949,0.0,1.1169988,0.0,0.0,3.5186012
6.0005965,0.0,0.0,1.3433466,5.2039742,0.0,3.4311688,0.0,0.0,3.599304
3.5120742,0.0,0.0,8.9328375,2.4373841,0.0,2.2017002,0.0,0.0,1.9422758
2.6794062,0.0,0.0,2.5566785,0.8127649,0.0,2.900486,0.0,0.0,1.9055636
3.0096679,0.0,0.0,3.6154103,1.0411083,0.0,0.0,0.0,0.0,2.062275
0.8480425,0.0,0.0,3.7090018,0.866695,0.0,1.4966676,0.0,0.0,1.7832432
5.7415237,0.0,0.0,1.2265425,4.541509,0.0,3.9877145,0.0,0.0,2.6123977
5.717003,0.0,0.0,10.49734,4.0100155,0.0,4.7249427,0.0,0.0,6.3902836
6.0805726,0.0,0.0,11.082622,3.1881583,0.0,5.580405,0.0,0.0,6.715626
4.1864033,0.0,0.0,10.861712,1.8320682,0.0,4.572686,0.0,0.0,4.0938087
1.2676386,0.0,0.0,7.6305537,2.3104236,0.0,2.8236415,0.0,0.0,5.1759653
2.9144838,0.0,0.0,10.124409,3.3472052,0.0,5.5221543,0.0,0.0,7.6151233
2.804492,0.0,0.0,5.510141,2.0050857,0.0,1.4212477,0.0,0.0,2.1081977
5.925485,0.0,0.0,1.7409774,4.455752,0.0,5.1791644,0.0,0.0,3.8390045
2.0072117,0.0,0.0,7.584011,3.868312,0.0,2.9913037,0.0,0.0,1.967932
3.6427474,0.0,0.0,7.34067,1.2873001,0.0,3.0715468,0.0,0.0,3.2008016
6.765924,0.0,0.0,1.2037926,4.1606684,0.0,4.914166,0.0,0.0,5.257064
3.675098,0.0,0.0,0.76074946,4.221008,0.0,3.386463,0.0,0.0,3.0795536
4.3682494,0.0,0.0,9.389432,3.572715,0.0,2.8564103,0.0,0.0,4.9996324
5.8472176,0.0,0.0,10.674691,3.1246803,0.0,3.2944267,0.0,0.0,3.563937
2.366874,0.0,0.0,8.533829,1.1912001,0.0,1.9390942,0.0,0.0,2.8894975
4.9008956,0.0,0.0,1.0083278,3.54478,0.0,2.444703,0.0,0.0,3.1968539
3.9241443,0.0,0.0,8.487653,1.1874813,0.0,2.9701223,0.0,0.0,3.492098
3.8014617,0.0,0.0,7.3951464,1.2133033,0.0,3.233898,0.0,0.0,3.270443
2.4203873,0.0,0.0,0.04085274,4.943422,0.0,1.6712772,0.0,0.0,2.1510005
4.236973,0.0,0.0,8.774748,4.1318383,0.0,5.4495935,0.0,0.0,4.817964
3.6537786,0.0,0.0,4.032836,0.684995,0.0,1.7254143,0.0,0.0,3.6757233
7.15276,0.0,0.0,10.481958,3.5697093,0.0,5.6677413,0.0,0.0,6.3249335
4.3331804,0.0,0.0,4.8642716,2.401448,0.0,2.0636728,0.0,0.0,5.534124
0.5697685,0.0,0.0,5.3030443,1.3770754,0.0,1.4003041,0.0,0.0,0.53083163
1.3916478,0.0,0.0,8.196327,2.8248007,0.0,3.7965915,0.0,0.0,7.0345464
6.469759,0.0,0.0,2.9450212,3.014691,0.0,1.3003807,0.0,0.0,1.4042653
4.425151,0.0,0.0,4.497768,1.8537953,0.0,1.7305074,0.0,0.0,5.00504
2.257824,0.0,0.0,9.708862,3.055952,0.0,3.1787667,0.0,0.0,3.3962705
3.4346411,0.0,0.0,9.926638,3.1655445,0.0,4.20657,0.0,0.0,7.884776
4.3236995,0.0,0.0,9.698571,2.1121757,0.0,4.677404,0.0,0.0,6.147067
5.4491596,0.0,0.0,0.7631564,5.098332,0.0,3.91053,0.0,0.0,5.533628
4.3240247,0.0,0.0,0.8675729,5.2981963,0.0,2.6036465,0.0,0.0,4.875509
3.997768,0.0,0.0,1.5958195,4.975265,0.0,3.7213724,0.0,0.0,1.1430973
1.4686286,0.0,0.0,10.594946,2.4938145,0.0,4.593825,0.0,0.0,3.4167373
3.0677567,0.0,0.0,8.912624,2.237105,0.0,4.898028,0.0,0.0,5.2247496
2.3123958,0.0,0.0,5.0365295,1.8901411,0.0,3.1244147,0.0,0.0,2.974735
7.62416,0.0,0.0,3.6864786,4.6005244,0.0,2.5934553,0.0,0.0,3.1133873
2.4918694,0.0,0.0,8.528759,3.0380497,0.0,3.6552362,0.0,0.0,5.1439676
2.6446683,0.0,0.0,7.0519843,4.952797,0.0,3.3743434,0.0,0.0,5.2757373
7.8370023,0.0,0.0,1.6506398,6.948645,0.0,3.9897032,0.0,0.0,5.884163
2.6937933,0.0,0.0,8.830203,1.903997,0.0,2.7778528,0.0,0.0,5.949847
3.8097303,0.0,0.0,8.1966915,5.2328258,0.0,2.7115614,0.0,0.0,2.8671083
0.5706521,0.0,0.0,8.338014,2.0854218,0.0,3.189374,0.0,0.0,5.5797973
2.0407846,0.0,0.0,0.7524862,4.033407,0.0,3.91914,0.0,0.0,1.3439668
3.001614,0.0,0.0,8.570612,3.8653471,0.0,3.8378792,0.0,0.0,3.7667432
2.3223298,0.0,0.0,8.020658,5.189846,0.0,5.437319,0.0,0.0,5.331859
5.025083,0.0,0.0,7.765466,1.5703509,0.0,5.1988173,0.0,0.0,5.209706
4.834435,0.0,0.0,8.996282,3.12773,0.0,5.598888,0.0,0.0,5.531313
5.1206403,0.0,0.0,1.3015666,3.9965248,0.0,4.775527,0.0,0.0,1.0738108
0.86054534,0.0,0.0,7.3524847,2.7525833,0.0,2.433157,0.0,0.0,3.029215
