feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,2.594307,0.0,0.0,9.14401,0.24699156,0.0,3.4208589,0.0,0.0
0.0,4.410932,0.0,0.0,6.5809627,4.85501,0.0,12.319894,0.0,0.0
0.0,4.627285,0.0,0.0,7.995648,4.719057,0.0,5.8273087,0.0,0.0
0.0,3.4901204,0.0,0.0,5.842703,0.5747733,0.0,9.469533,0.0,0.0
0.0,1.8819803,0.0,0.0,4.474716,4.955291,0.0,7.132121,0.0,0.0
0.0,1.7211143,0.0,0.0,3.2721035,0.32858884,0.0,7.338571,0.0,0.0
0.0,2.154921,0.0,0.0,8.24234,4.1365895,0.0,12.531243,0.0,0.0
0.0,4.737534,0.0,0.0,8.733475,6.3604984,0.0,5.313009,0.0,0.0
0.0,1.1650352,0.0,0.0,10.712287,4.519995,0.0,7.297626,0.0,0.0
0.0,3.4407916,0.0,0.0,4.3596888,3.3515584,0.0,1.6301694,0.0,0.0
0.0,3.702619,0.0,0.0,5.000687,7.4435806,0.0,10.4412365,0.0,0.0
0.0,5.393961,0.0,0.0,7.5404906,4.793734,0.0,13.070918,0.0,0.0
0.0,1.7865889,0.0,0.0,7.408402,0.34736574,0.0,1.5755527,0.0,0.0
0.0,1.7124885,0.0,0.0,4.368669,1.5391556,0.0,8.167747,0.0,0.0
0.0,3.4631906,0.0,0.0,6.4359074,7.4662395,0.0,9.712101,0.0,0.0
0.0,3.701579,0.0,0.0,6.8363676,6.794215,0.0,6.8562384,0.0,0.0
0.0,2.3663988,0.0,0.0,8.349041,5.69143,0.0,3.8537724,0.0,0.0
0.0,0.095530085,0.0,0.0,6.377637,2.9880264,0.0,10.126736,0.0,0.0
0.0,2.0413682,0.0,0.0,5.539714,5.8121943,0.0,6.1198497,0.0,0.0
0.0,0.6317397,0.0,0.0,3.1723273,0.5484813,0.0,6.154368,0.0,0.0
0.0,6.0669193,0.0,0.0,6.9392023,3.7730618,0.0,12.531968,0.0,0.0
0.0,3.21457,0.0,0.0,7.606639,7.627871,0.0,14.017882,0.0,0.0
0.0,2.9101396,0.0,0.0,12.838464,2.0910547,0.0,5.100847,0.0,0.0
0.0,5.2784886,0.0,0.0,5.480081,6.6192183,0.0,12.15511,0.0,0.0
0.0,0.22157358,0.0,0.0,8.565544,1.9565783,0.0,2.359749,0.0,0.0
0.0,0.55068046,0.0,0.0,3.8956618,0.69196004,0.0,7.411585,0.0,0.0
0.0,6.1861963,0.0,0.0,3.963912,4.928602,0.0,10.626688,0.0,0.0
0.0,1.6709656,0.0,0.0,7.4771805,1.5255173,0.0,2.4511325,0.0,0.0
0.0,1.8348753,0.0,0.0,11.583719,2.349583,0.0,4.3408704,0.0,0.0
0.0,0.1497362,0.0,0.0,11.497982,2.991414,0.0,4.2543664,0.0,0.0
0.0,5.495862,0.0,0.0,6.437297,5.419254,0.0,7.2895727,0.0,0.0
0.0,4.554336,0.0,0.0,7.5358715,6.710053,0.0,13.823594,0.0,0.0
0.0,4.159443,0.0,0.0,2.327142,6.9700813,0.0,9.000039,0.0,0.0
0.0,1.1731585,0.0,0.0,4.662549,6.18297,0.0,4.386316,0.0,0.0
0.0,4.0967774,0.0,0.0,7.680214,2.722281,0.0,11.306372,0.0,0.0
0.0,2.5243344,0.0,0.0,4.5009437,4.5384035,0.0,1.6685932,0.0,0.0
0.0,1.1172044,0.0,0.0,6.0628085,1.8561802,0.0,9.529259,0.0,0.0
0.0,6.476007,0.0,0.0,9.605305,6.968533,0.0,10.109459,0.0,0.0
0.0,0.0,0.0,0.0,8.522728,2.123609,0.0,1.8339067,0.0,0.0
0.0,2.2195754,0.0,0.0,11.26758,2.1512272,0.0,4.1515718,0.0,0.0
0.0,8.078929,0.0,0.0,8.511641,5.513153,0.0,15.143666,0.0,0.0
0.0,3.769538,0.0,0.0,6.5465207,6.0322347,0.0,9.405683,0.0,0.0
0.0,4.9026213,0.0,0.0,4.9407997,5.3842373,0.0,11.801497,0.0,0.0
0.0,2.9740372,0.0,0.0,4.253248,3.8461215,0.0,3.1033506,0.0,0.0
0.0,6.3076787,0.0,0.0,5.2852197,0.63224584,0.0,10.267823,0.0,0.0
0.0,5.593508,0.0,0.0,6.475472,5.9582443,0.0,9.665074,0.0,0.0
0.0,5.621168,0.0,0.0,6.198837,3.0948877,0.0,13.872562,0.0,0.0
0.0,6.7621956,0.0,0.0,8.054343,9.812465,0.0,14.672942,0.0,0.0
0.0,2.1555858,0.0,0.0,4.4832067,1.8003236,0.0,9.107805,0.0,0.0
0.0,5.0004616,0.0,0.0,4.978482,7.632412,0.0,12.391663,0.0,0.0
0.0,7.192273,0.0,0.0,2.22018,4.199612,0.0,11.172088,0.0,0.0
0.0,5.57044,0.0,0.0,0.6019983,3.7848437,0.0,8.191709,0.0,0.0
0.0,4.356241,0.0,0.0,4.1201854,0.24856739,0.0,9.016037,0.0,0.0
0.0,6.3499975,0.0,0.0,5.6202445,3.8146918,0.0,6.493626,0.0,0.0
0.0,0.23715615,0.0,0.0,10.112408,3.0808868,0.0,2.701641,0.0,0.0
0.0,0.7857406,0.0,0.0,8.538915,5.287926,0.0,5.305402,0.0,0.0
0.0,2.6418486,0.0,0.0,9.863714,2.1621563,0.0,2.898543,0.0,0.0
0.0,7.898555,0.0,0.0,9.170071,10.145896,0.0,17.935965,0.0,0.0
0.0,1.7354193,0.0,0.0,5.9783936,3.8956358,0.0,10.253537,0.0,0.0
0.0,0.89168316,0.0,0.0,10.445797,4.5177145,0.0,7.018134,0.0,0.0
0.0,1.9177026,0.0,0.0,9.088317,1.6491009,0.0,4.562176,0.0,0.0
0.0,6.4321747,0.0,0.0,5.6781454,7.041939,0.0,13.819816,0.0,0.0
0.0,4.680716,0.0,0.0,7.1377473,5.4730773,0.0,4.063698,0.0,0.0
0.0,5.6986585,0.0,0.0,9.834588,3.5890439,0.0,14.43693,0.0,0.0
0.0,5.3687773,0.0,0.0,6.503766,5.257083,0.0,9.626643,0.0,0.0
0.0,5.3501735,0.0,0.0,5.642573,6.4910774,0.0,12.541519,0.0,0.0
0.0,5.3989224,0.0,0.0,1.9550626,8.463791,0.0,8.104627,0.0,0.0
0.0,1.7842343,0.0,0.0,4.325925,0.45016634,0.0,7.202164,0.0,0.0
0.0,1.1474354,0.0,0.0,4.9610057,1.5799928,0.0,0.0,0.0,0.0
0.0,3.3252125,0.0,0.0,9.396907,4.0781603,0.0,4.8306756,0.0,0.0
0.0,2.7781625,0.0,0.0,9.267251,3.5968163,0.0,5.586947,0.0,0.0
0.0,3.0751429,0.0,0.0,2.009435,6.12554,0.0,6.4436994,0.0,0.0
0.0,1.513496,0.0,0.0,7.416726,1.0770543,0.0,2.6363132,0.0,0.0
0.0,5.3035903,0.0,0.0,7.6713667,3.0484798,0.0,12.274289,0.0,0.0
0.0,1.5865629,0.0,0.0,3.2468872,3.3554637,0.0,5.788768,0.0,0.0
0.0,2.1712375,0.0,0.0,7.6629796,4.2996073,0.0,4.175264,0.0,0.0
0.0,2.059214,0.0,0.0,8.300169,0.2693237,0.0,2.142712,0.0,0.0
0.0,1.7077098,0.0,0.0,6.521492,2.9159162,0.0,9.759001,0.0,0.0
0.0,2.5466266,0.0,0.0,11.321289,2.614473,0.0,3.9668026,0.0,0.0
0.0,2.4449677,0.0,0.0,8.504123,1.6820937,0.0,2.062563,0.0,0.0
0.0,3.0166574,0.0,0.0,3.2176855,1.804757,0.0,9.966405,0.0,0.0
0.0,3.687129,0.0,0.0,6.201123,7.0924187,0.0,7.364621,0.0,0.0
0.0,1.6165979,0.0,0.0,4.534405,2.237049,0.0,0.0,0.0,0.0
0.0,1.8334644,0.0,0.0,3.876864,4.867404,0.0,6.8410807,0.0,0.0
0.0,4.803391,0.0,0.0,6.0899596,8.207156,0.0,12.229386,0.0,0.0
0.0,0.23498477,0.0,0.0,8.617137,3.4774888,0.0,3.0033543,0.0,0.0
0.0,1.8613464,0.0,0.0,12.039263,1.8535326,0.0,5.028766,0.0,0.0
0.0,1.6563796,0.0,0.0,3.9182081,3.182473,0.0,10.952159,0.0,0.0
0.0,4.721566,0.0,0.0,8.1221895,7.405778,0.0,11.125147,0.0,0.0
0.0,5.7635317,0.0,0.0,9.682779,6.420202,0.0,7.8040633,0.0,0.0
0.0,6.0066586,0.0,0.0,1.324316,5.6854115,0.0,3.1571014,0.0,0.0
0.0,2.5069523,0.0,0.0,8.922847,7.674331,0.0,6.644709,0.0,0.0
0.0,1.2717688,0.0,0.0,10.412663,1.4332423,0.0,4.37419,0.0,0.0
0.0,2.7198625,0.0,0.0,1.8262734,4.3783197,0.0,8.264636,0.0,0.0
0.0,5.1012893,0.0,0.0,8.661215,4.4723415,0.0,16.008337,0.0,0.0
0.0,2.5908875,0.0,0.0,3.4870057,4.7077966,0.0,7.1275105,0.0,0.0
0.0,3.290286,0.0,0.0,0.96214473,4.893882,0.0,6.498164,0.0,0.0
0.0,5.9258146,0.0,0.0,6.6782823,9.761025,0.0,13.923466,0.0,0.0
0.0,2.065373,0.0,0.0,7.5933204,3.6011846,0.0,3.5055873,0.0,0.0
0.0,3.630454,0.0,0.0,7.767178,4.2029166,0.0,12.105325,0.0,0.0
0.0,1.9453768,0.0,0.0,6.3077283,6.187797,0.0,4.842372,0.0,0.0
0.0,1.0122606,0.0,0.0,9.341855,2.6984997,0.0,2.7120397,0.0,0.0
0.0,6.174755,0.0,0.0,4.258392,5.0872326,0.0,10.831087,0.0,0.0
0.0,5.1653676,0.0,0.0,9.534784,7.115224,0.0,10.232649,0.0,0.0
0.0,2.6994696,0.0,0.0,0.9008529,0.5235762,0.0,7.617951,0.0,0.0
0.0,4.5054307,0.0,0.0,6.445195,2.2372766,0.0,11.104099,0.0,0.0
0.0,5.108336,0.0,0.0,6.3701224,6.616297,0.0,7.3937774,0.0,0.0
0.0,2.3878675,0.0,0.0,3.7116246,3.1625,0.0,6.1789627,0.0,0.0
0.0,4.98791,0.0,0.0,2.2620256,3.3517525,0.0,8.869129,0.0,0.0
0.0,3.6958923,0.0,0.0,10.635975,3.115735,0.0,7.4914293,0.0,0.0
0.0,4.499876,0.0,0.0,6.7190523,4.8551116,0.0,12.345086,0.0,0.0
0.0,5.0314937,0.0,0.0,8.203643,2.971256,0.0,13.065149,0.0,0.0
0.0,3.0921335,0.0,0.0,3.5649405,4.8931665,0.0,9.933902,0.0,0.0
0.0,4.9793715,0.0,0.0,7.2777715,5.347378,0.0,4.2474566,0.0,0.0
0.0,1.4415079,0.0,0.0,3.846003,1.559104,0.0,7.700714,0.0,0.0
0.0,4.9311514,0.0,0.0,2.0820024,8.921128,0.0,8.423517,0.0,0.0
0.0,2.5386076,0.0,0.0,5.929336,2.6000242,0.0,2.6395886,0.0,0.0
0.0,3.6368833,0.0,0.0,4.761665,4.504953,0.0,7.5852747,0.0,0.0
0.0,6.84391,0.0,0.0,8.038834,6.725767,0.0,15.056804,0.0,0.0
0.0,4.444424,0.0,0.0,9.818718,4.085201,0.0,13.492956,0.0,0.0
0.0,1.7923499,0.0,0.0,9.654492,2.3097003,0.0,2.5165415,0.0,0.0
0.0,3.9163928,0.0,0.0,0.0,4.7846746,0.0,6.0728264,0.0,0.0
0.0,7.6110735,0.0,0.0,7.446854,8.016278,0.0,14.990085,0.0,0.0
0.0,4.36106,0.0,0.0,3.8552253,0.77871567,0.0,8.165928,0.0,0.0
0.0,5.371778,0.0,0.0,2.2153685,4.774415,0.0,6.4878364,0.0,0.0
0.0,0.7697422,0.0,0.0,11.89583,2.9490693,0.0,4.3057384,0.0,0.0
0.0,5.1907525,0.0,0.0,7.4079194,6.937626,0.0,13.711175,0.0,0.0
0.0,6.462223,0.0,0.0,3.718928,6.561647,0.0,8.979084,0.0,0.0
0.0,2.4927602,0.0,0.0,8.849583,2.7079818,0.0,5.5331097,0.0,0.0
0.0,1.8620453,0.0,0.0,7.9120145,0.9300433,0.0,1.6548065,0.0,0.0
0.0,3.1215296,0.0,0.0,1.1562833,3.156384,0.0,4.016717,0.0,0.0
0.0,1.519574,0.0,0.0,5.632748,3.1794755,0.0,2.1921985,0.0,0.0
0.0,6.1480856,0.0,0.0,7.5455904,7.5809755,0.0,14.335287,0.0,0.0
0.0,4.0324216,0.0,0.0,5.389985,5.5887294,0.0,8.533943,0.0,0.0
0.0,5.494662,0.0,0.0,5.605981,7.5877247,0.0,13.020211,0.0,0.0
0.0,0.71566033,0.0,0.0,9.790204,2.7325225,0.0,3.1624167,0.0,0.0
0.0,1.3769692,0.0,0.0,5.4979587,2.066215,0.0,9.297483,0.0,0.0
0.0,5.1443176,0.0,0.0,6.6269774,3.4508743,0.0,13.959929,0.0,0.0
0.0,1.4165832,0.0,0.0,4.0591254,0.54273576,0.0,7.9712334,0.0,0.0
0.0,2.9719434,0.0,0.0,7.414363,1.3667213,0.0,3.5716195,0.0,0.0
0.0,8.7532215,0.0,0.0,8.759144,9.717009,0.0,17.670277,0.0,0.0
0.0,1.7361181,0.0,0.0,7.759798,4.4506392,0.0,4.314323,0.0,0.0
0.0,4.4883866,0.0,0.0,6.7884583,5.5180974,0.0,3.5979128,0.0,0.0
0.0,5.8757,0.0,0.0,2.5613081,8.840313,0.0,9.212254,0.0,0.0
0.0,2.5680146,0.0,0.0,4.953229,3.2369964,0.0,8.494616,0.0,0.0
0.0,2.810358,0.0,0.0,6.0966487,5.2433615,0.0,2.9442844,0.0,0.0
0.0,2.5933886,0.0,0.0,5.5465603,4.1821604,0.0,10.7143955,0.0,0.0
0.0,4.4167886,0.0,0.0,3.308314,5.2415323,0.0,4.27488,0.0,0.0
0.0,0.0,0.0,0.0,6.296329,2.8640897,0.0,9.090558,0.0,0.0
0.0,2.7074337,0.0,0.0,4.779067,5.4286013,0.0,10.825839,0.0,0.0
0.0,3.1027207,0.0,0.0,7.1357226,3.0006611,0.0,2.3021545,0.0,0.0
0.0,4.800896,0.0,0.0,8.25044,3.4968443,0.0,12.9592705,0.0,0.0
0.0,4.2996593,0.0,0.0,7.531203,2.8273046,0.0,11.357133,0.0,0.0
0.0,5.8993115,0.0,0.0,8.642425,6.6663494,0.0,11.875861,0.0,0.0
0.0,3.658443,0.0,0.0,6.7549872,5.9108286,0.0,9.678935,0.0,0.0
0.0,1.4927557,0.0,0.0,4.668381,2.4189765,0.0,0.07156275,0.0,0.0
0.0,1.8227293,0.0,0.0,9.803479,3.4808776,0.0,6.0981865,0.0,0.0
0.0,1.5913496,0.0,0.0,11.492697,2.9866264,0.0,4.0582275,0.0,0.0
0.0,0.7967713,0.0,0.0,5.20644,1.1510592,0.0,8.638259,0.0,0.0
0.0,3.1906567,0.0,0.0,10.311314,5.911727,0.0,4.7510133,0.0,0.0
0.0,2.9557614,0.0,0.0,8.488547,6.9228477,0.0,5.144725,0.0,0.0
0.0,3.1607203,0.0,0.0,7.225059,6.530153,0.0,10.170772,0.0,0.0
0.0,2.601509,0.0,0.0,4.442303,4.861134,0.0,10.501409,0.0,0.0
0.0,5.276795,0.0,0.0,2.6375408,0.49587524,0.0,6.592132,0.0,0.0
0.0,3.871276,0.0,0.0,7.302483,5.120628,0.0,12.714885,0.0,0.0
0.0,3.559682,0.0,0.0,5.96311,7.271907,0.0,6.9367366,0.0,0.0
0.0,7.4018135,0.0,0.0,8.278513,7.015691,0.0,15.351847,0.0,0.0
0.0,2.4849515,0.0,0.0,8.143755,1.6363362,0.0,1.4758806,0.0,0.0
0.0,4.203807,0.0,0.0,6.602435,1.4839292,0.0,3.3914402,0.0,0.0
0.0,3.4501119,0.0,0.0,7.2774158,1.8390898,0.0,10.286184,0.0,0.0
0.0,5.235811,0.0,0.0,5.8752155,1.3255976,0.0,9.149838,0.0,0.0
0.0,6.482062,0.0,0.0,2.984902,5.851492,0.0,8.289233,0.0,0.0
0.0,2.8863206,0.0,0.0,7.6961026,4.0993376,0.0,12.09436,0.0,0.0
0.0,2.6777844,0.0,0.0,4.820419,0.22191547,0.0,8.732131,0.0,0.0
0.0,3.0964236,0.0,0.0,7.447666,3.6149077,0.0,11.341593,0.0,0.0
0.0,1.3048187,0.0,0.0,8.810334,4.921872,0.0,3.8032491,0.0,0.0
0.0,4.1493373,0.0,0.0,8.757675,3.17789,0.0,4.599818,0.0,0.0
0.0,4.041359,0.0,0.0,9.444763,5.1343713,0.0,16.462421,0.0,0.0
0.0,3.1169772,0.0,0.0,8.999546,1.3459758,0.0,3.4748635,0.0,0.0
0.0,7.0122867,0.0,0.0,4.607081,4.396471,0.0,11.5949545,0.0,0.0
0.0,4.3486423,0.0,0.0,6.2463713,2.1533089,0.0,10.891033,0.0,0.0
0.0,2.787734,0.0,0.0,8.558735,4.164936,0.0,4.851456,0.0,0.0
0.0,2.5994058,0.0,0.0,10.13132,0.8011181,0.0,3.549285,0.0,0.0
0.0,2.7439823,0.0,0.0,8.384692,6.7979155,0.0,5.189266,0.0,0.0
0.0,1.423178,0.0,0.0,7.9284644,1.6854419,0.0,2.3794055,0.0,0.0
0.0,1.7502807,0.0,0.0,12.049777,1.9947605,0.0,5.0001,0.0,0.0
0.0,3.0728111,0.0,0.0,10.132975,1.7675558,0.0,3.6354668,0.0,0.0
0.0,1.6232581,0.0,0.0,3.830015,1.2352762,0.0,8.282675,0.0,0.0
0.0,3.641549,0.0,0.0,1.0656208,0.64083624,0.0,8.002334,0.0,0.0
0.0,6.9630485,0.0,0.0,3.726057,9.1021385,0.0,10.800285,0.0,0.0
0.0,2.5314574,0.0,0.0,5.167548,0.80016243,0.0,8.053442,0.0,0.0
0.0,4.3165474,0.0,0.0,7.525168,8.0744295,0.0,8.421625,0.0,0.0
0.0,2.3832893,0.0,0.0,5.4395714,2.8884504,0.0,11.802873,0.0,0.0
0.0,2.197351,0.0,0.0,4.639006,0.29492486,0.0,8.508663,0.0,0.0
0.0,3.731781,0.0,0.0,5.863432,4.0234113,0.0,13.09681,0.0,0.0
0.0,6.0666018,0.0,0.0,2.1141553,8.005279,0.0,8.211965,0.0,0.0
0.0,0.0,0.0,0.0,2.131383,0.15343943,0.0,6.238298,0.0,0.0
0.0,0.98228693,0.0,0.0,7.8088217,0.39599383,0.0,1.9655384,0.0,0.0
0.0,3.2681398,0.0,0.0,7.9808793,2.8787045,0.0,12.2466545,0.0,0.0
0.0,2.7248788,0.0,0.0,4.195837,4.3583903,0.0,6.859763,0.0,0.0
0.0,2.5847754,0.0,0.0,7.737647,2.592359,0.0,3.6368454,0.0,0.0
0.0,2.7734299,0.0,0.0,8.500643,0.8351415,0.0,2.0946555,0.0,0.0
0.0,7.3332872,0.0,0.0,8.074675,5.881454,0.0,11.438622,0.0,0.0
0.0,5.6107163,0.0,0.0,3.8190053,6.4450393,0.0,7.4613547,0.0,0.0
0.0,2.5009165,0.0,0.0,6.9280906,3.1358871,0.0,11.840943,0.0,0.0
0.0,3.50282,0.0,0.0,6.095035,4.1974745,0.0,2.9484797,0.0,0.0
0.0,3.1694427,0.0,0.0,2.0861802,6.155436,0.0,6.505621,0.0,0.0
0.0,0.14727876,0.0,0.0,8.914244,2.6278632,0.0,3.5730987,0.0,0.0
0.0,3.1089244,0.0,0.0,3.1044848,1.7611933,0.0,9.67901,0.0,0.0
0.0,1.3373797,0.0,0.0,4.1541543,0.63562256,0.0,8.060561,0.0,0.0
0.0,1.5785854,0.0,0.0,5.697335,2.1407027,0.0,9.482212,0.0,0.0
0.0,1.257625,0.0,0.0,12.052785,1.6289867,0.0,5.1593413,0.0,0.0
0.0,5.898346,0.0,0.0,8.260152,5.703223,0.0,11.212795,0.0,0.0
0.0,0.52844626,0.0,0.0,3.4207873,2.9922957,0.0,7.8788567,0.0,0.0
0.0,0.8433137,0.0,0.0,5.826033,0.39465284,0.0,0.31032133,0.0,0.0
0.0,3.52802,0.0,0.0,6.721195,6.163884,0.0,9.404377,0.0,0.0
0.0,3.2324944,0.0,0.0,4.1390676,0.40594566,0.0,0.0,0.0,0.0
0.0,2.263568,0.0,0.0,5.523758,2.4607234,0.0,9.427727,0.0,0.0
0.0,1.7270344,0.0,0.0,8.376383,3.939153,0.0,11.626686,0.0,0.0
0.0,1.4392157,0.0,0.0,10.5118475,5.135758,0.0,7.1848264,0.0,0.0
0.0,4.675452,0.0,0.0,1.4697527,3.1640193,0.0,8.01043,0.0,0.0
0.0,2.8274975,0.0,0.0,2.6941326,4.007701,0.0,2.7398062,0.0,0.0
0.0,3.7033987,0.0,0.0,5.79889,5.2238564,0.0,3.9192436,0.0,0.0
0.0,3.7009249,0.0,0.0,8.165605,2.8087714,0.0,12.633788,0.0,0.0
0.0,4.1610413,0.0,0.0,5.1268954,4.6665893,0.0,3.1711683,0.0,0.0
0.0,4.3369765,0.0,0.0,9.142118,5.2334666,0.0,13.95841,0.0,0.0
0.0,1.0800388,0.0,0.0,6.607079,3.4848454,0.0,2.5997405,0.0,0.0
0.0,3.168119,0.0,0.0,7.4111876,3.3053894,0.0,10.595515,0.0,0.0
0.0,2.4621525,0.0,0.0,2.439213,0.644337,0.0,6.7512503,0.0,0.0
0.0,5.4693346,0.0,0.0,10.300867,8.184113,0.0,10.901698,0.0,0.0
0.0,1.1884005,0.0,0.0,2.487582,0.13955584,0.0,7.0000196,0.0,0.0
0.0,6.1087465,0.0,0.0,7.2481284,3.2641048,0.0,12.33276,0.0,0.0
0.0,3.9845114,0.0,0.0,2.1776276,1.4155256,0.0,9.641012,0.0,0.0
0.0,3.654347,0.0,0.0,4.453351,2.2791748,0.0,11.155214,0.0,0.0
0.0,1.615994,0.0,0.0,7.7896338,4.1165853,0.0,4.593887,0.0,0.0
0.0,0.7425295,0.0,0.0,3.6596136,0.4578076,0.0,7.6025343,0.0,0.0
0.0,3.2621698,0.0,0.0,10.391811,1.0987917,0.0,4.0512533,0.0,0.0
0.0,5.4322352,0.0,0.0,4.280045,5.44225,0.0,10.714621,0.0,0.0
0.0,2.9133768,0.0,0.0,10.3255415,2.4805686,0.0,2.7654326,0.0,0.0
0.0,4.1185946,0.0,0.0,6.332866,4.6417375,0.0,13.704576,0.0,0.0
0.0,4.2598133,0.0,0.0,6.446957,5.6873784,0.0,7.0747075,0.0,0.0
0.0,1.127184,0.0,0.0,4.6533227,4.5864053,0.0,6.844595,0.0,0.0
0.0,4.688128,0.0,0.0,7.215211,7.1538367,0.0,6.9705205,0.0,0.0
0.0,5.1112657,0.0,0.0,9.522938,5.971776,0.0,6.363276,0.0,0.0
0.0,4.046318,0.0,0.0,3.7267861,3.4804099,0.0,6.8002243,0.0,0.0
0.0,2.0240965,0.0,0.0,5.443678,8.097871,0.0,11.783604,0.0,0.0
0.0,2.3987112,0.0,0.0,5.237426,5.8449883,0.0,6.144394,0.0,0.0
0.0,4.309788,0.0,0.0,5.2549424,6.10693,0.0,12.062895,0.0,0.0
0.0,6.9072676,0.0,0.0,5.491522,5.826539,0.0,12.398564,0.0,0.0
0.0,7.480637,0.0,0.0,5.067828,6.0630736,0.0,13.0229435,0.0,0.0
0.0,4.905241,0.0,0.0,3.6553054,6.0920796,0.0,11.438308,0.0,0.0
0.0,0.6336213,0.0,0.0,7.5193357,1.3266176,0.0,2.8990083,0.0,0.0
0.0,0.91450506,0.0,0.0,2.9099243,0.5224523,0.0,7.3790207,0.0,0.0
0.0,1.8564154,0.0,0.0,5.5421867,5.6363325,0.0,6.233891,0.0,0.0
0.0,7.601171,0.0,0.0,4.944372,7.7923346,0.0,12.1193495,0.0,0.0
0.0,1.204532,0.0,0.0,10.429745,2.2128584,0.0,3.4745827,0.0,0.0
0.0,0.9725582,0.0,0.0,8.097907,4.917224,0.0,11.763956,0.0,0.0
0.0,1.9381723,0.0,0.0,4.588471,3.6082761,0.0,11.550642,0.0,0.0
0.0,4.0853996,0.0,0.0,8.956872,2.3753865,0.0,6.161765,0.0,0.0
0.0,2.4791298,0.0,0.0,6.0813518,1.0222981,0.0,9.580729,0.0,0.0
0.0,5.5672097,0.0,0.0,6.0646954,2.9444623,0.0,13.149402,0.0,0.0
0.0,1.3534442,0.0,0.0,8.181203,0.9811652,0.0,2.3081117,0.0,0.0
0.0,6.398977,0.0,0.0,7.3046618,7.2339244,0.0,11.01428,0.0,0.0
0.0,1.0228174,0.0,0.0,6.7383213,1.1049013,0.0,0.4696655,0.0,0.0
0.0,1.2566434,0.0,0.0,5.9945407,0.41740394,0.0,0.3028078,0.0,0.0
0.0,2.587089,0.0,0.0,11.546482,1.5462503,0.0,4.612187,0.0,0.0
0.0,2.9791312,0.0,0.0,9.962262,3.253951,0.0,6.4814386,0.0,0.0
