feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,0.0,1.5504813,0.0,2.8751755,0.0,0.0,0.0,4.571415,0.0
0.0,0.0,7.9232597,0.0,1.7959421,0.0,0.0,0.0,1.049753,0.0
0.0,0.0,6.9926515,0.0,5.8018856,0.0,0.0,0.0,13.851531,0.0
0.0,0.0,0.1805104,0.0,1.5773215,0.0,0.0,0.0,4.080279,0.0
0.0,0.0,6.870416,0.0,7.1893477,0.0,0.0,0.0,12.618425,0.0
0.0,0.0,5.2148714,0.0,1.6203324,0.0,0.0,0.0,7.2755,0.0
0.0,0.0,8.066139,0.0,4.4907846,0.0,0.0,0.0,3.9481738,0.0
0.0,0.0,7.415722,0.0,4.6203756,0.0,0.0,0.0,12.160375,0.0
0.0,0.0,3.6059783,0.0,3.7204158,0.0,0.0,0.0,7.0234485,0.0
0.0,0.0,4.2127576,0.0,3.7460792,0.0,0.0,0.0,7.318385,0.0
0.0,0.0,8.922875,0.0,4.328453,0.0,0.0,0.0,0.67230827,0.0
0.0,0.0,3.3616848,0.0,3.6131637,0.0,0.0,0.0,7.629552,0.0
0.0,0.0,5.5505714,0.0,2.4256618,0.0,0.0,0.0,8.152944,0.0
0.0,0.0,2.7155845,0.0,1.8855646,0.0,0.0,0.0,3.1544611,0.0
0.0,0.0,7.6384892,0.0,3.6055558,0.0,0.0,0.0,9.9170065,0.0
0.0,0.0,0.8132566,0.0,2.099844,0.0,0.0,0.0,4.355562,0.0
0.0,0.0,8.592223,0.0,5.4078546,0.0,0.0,0.0,10.689588,0.0
0.0,0.0,2.449167,0.0,0.36466467,0.0,0.0,0.0,2.2451644,0.0
0.0,0.0,2.3270676,0.0,1.9380075,0.0,0.0,0.0,6.269813,0.0
0.0,0.0,8.496622,0.0,1.70781,0.0,0.0,0.0,2.6397758,0.0
0.0,0.0,8.091157,0.0,3.100508,0.0,0.0,0.0,1.6670114,0.0
0.0,0.0,14.28343,0.0,5.0786343,0.0,0.0,0.0,4.089935,0.0
0.0,0.0,6.4307065,0.0,4.51033,0.0,0.0,0.0,12.874526,0.0
0.0,0.0,5.4292564,0.0,2.5999022,0.0,0.0,0.0,10.961192,0.0
0.0,0.0,5.6570554,0.0,2.2696877,0.0,0.0,0.0,2.736883,0.0
0.0,0.0,0.43580985,0.0,4.4995737,0.0,0.0,0.0,4.7175875,0.0
0.0,0.0,4.1518784,0.0,2.180911,0.0,0.0,0.0,2.5925858,0.0
0.0,0.0,0.53025484,0.0,3.5583706,0.0,0.0,0.0,5.3455706,0.0
0.0,0.0,6.385518,0.0,4.3089724,0.0,0.0,0.0,11.444068,0.0
0.0,0.0,1.7825832,0.0,1.0160426,0.0,0.0,0.0,3.4282408,0.0
0.0,0.0,13.904106,0.0,5.735291,0.0,0.0,0.0,4.2496495,0.0
0.0,0.0,7.5048075,0.0,6.5856853,0.0,0.0,0.0,11.765017,0.0
0.0,0.0,3.461969,0.0,4.9447365,0.0,0.0,0.0,7.464815,0.0
0.0,0.0,7.355294,0.0,6.281341,0.0,0.0,0.0,11.165552,0.0
0.0,0.0,4.9298306,0.0,4.569786,0.0,0.0,0.0,7.413258,0.0
0.0,0.0,4.0095577,0.0,0.8388094,0.0,0.0,0.0,0.3344258,0.0
0.0,0.0,6.6103024,0.0,5.3882976,0.0,0.0,0.0,12.5775,0.0
0.0,0.0,0.8631974,0.0,2.7647972,0.0,0.0,0.0,4.6009746,0.0
0.0,0.0,2.516293,0.0,1.7848054,0.0,0.0,0.0,2.9226317,0.0
0.0,0.0,6.5767117,0.0,3.4349391,0.0,0.0,0.0,12.63125,0.0
0.0,0.0,4.4816623,0.0,2.828156,0.0,0.0,0.0,7.6672497,0.0
0.0,0.0,7.425606,0.0,4.560291,0.0,0.0,0.0,9.269595,0.0
0.0,0.0,8.60789,0.0,5.2445126,0.0,0.0,0.0,3.3965316,0.0
0.0,0.0,3.1967711,0.0,1.4447105,0.0,0.0,0.0,7.193749,0.0
0.0,0.0,10.298681,0.0,3.090395,0.0,0.0,0.0,4.2510495,0.0
0.0,0.0,6.360207,0.0,2.5398164,0.0,0.0,0.0,3.8044908,0.0
0.0,0.0,8.249472,0.0,5.4334927,0.0,0.0,0.0,13.085265,0.0
0.0,0.0,8.524775,0.0,4.5709577,0.0,0.0,0.0,13.232906,0.0
0.0,0.0,8.204357,0.0,3.9134464,0.0,0.0,0.0,3.0191133,0.0
0.0,0.0,7.9526815,0.0,2.4533608,0.0,0.0,0.0,11.432145,0.0
0.0,0.0,14.067172,0.0,5.983344,0.0,0.0,0.0,4.962112,0.0
0.0,0.0,2.3277118,0.0,1.919234,0.0,0.0,0.0,3.632005,0.0
0.0,0.0,2.6947296,0.0,2.242139,0.0,0.0,0.0,3.1534498,0.0
0.0,0.0,8.611691,0.0,4.383121,0.0,0.0,0.0,4.2629194,0.0
0.0,0.0,7.7103157,0.0,5.4801965,0.0,0.0,0.0,11.444755,0.0
0.0,0.0,6.706542,0.0,1.2392933,0.0,0.0,0.0,8.911282,0.0
0.0,0.0,8.52502,0.0,4.11024,0.0,0.0,0.0,2.2117689,0.0
0.0,0.0,6.674626,0.0,5.2675147,0.0,0.0,0.0,12.379855,0.0
0.0,0.0,1.0141051,0.0,0.0,0.0,0.0,0.0,4.560551,0.0
0.0,0.0,6.4887953,0.0,3.198724,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.118629,0.0,5.968367,0.0,0.0,0.0,11.796662,0.0
0.0,0.0,10.577914,0.0,4.0194335,0.0,0.0,0.0,3.7089205,0.0
