feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,2.4885538,0.0,5.006218,0.0,3.210529,0.0,4.467506,0.0,0.0
0.0,5.511105,0.0,5.331017,0.0,1.7332096,0.0,10.123141,0.0,0.0
0.0,3.1416168,0.0,5.0735035,0.0,6.8601074,0.0,6.7319503,0.0,0.0
0.0,4.795924,0.0,5.5953255,0.0,5.644447,0.0,4.384407,0.0,0.0
0.0,3.5753803,0.0,4.687096,0.0,7.0552034,0.0,6.7229652,0.0,0.0
0.0,3.207998,0.0,4.603644,0.0,10.315653,0.0,9.036942,0.0,0.0
0.0,1.8003935,0.0,5.068553,0.0,2.0372517,0.0,6.3413825,0.0,0.0
0.0,2.4920435,0.0,2.6242626,0.0,2.1387131,0.0,4.524137,0.0,0.0
0.0,6.4731164,0.0,8.052632,0.0,11.059452,0.0,9.758842,0.0,0.0
0.0,3.2353172,0.0,3.130937,0.0,6.9973145,0.0,5.565424,0.0,0.0
0.0,4.589245,0.0,3.2466547,0.0,1.8382906,0.0,2.4569807,0.0,0.0
0.0,4.6341414,0.0,5.800337,0.0,5.2766695,0.0,4.6941686,0.0,0.0
0.0,5.385391,0.0,6.336033,0.0,12.176463,0.0,7.2276635,0.0,0.0
0.0,4.464024,0.0,4.589083,0.0,5.8267736,0.0,3.6427522,0.0,0.0
0.0,3.848716,0.0,2.5138552,0.0,0.99358535,0.0,5.0041814,0.0,0.0
0.0,4.5344844,0.0,2.1499171,0.0,8.57083,0.0,6.173891,0.0,0.0
0.0,3.7792742,0.0,4.351221,0.0,2.8439548,0.0,7.4732423,0.0,0.0
0.0,1.4319466,0.0,5.2916017,0.0,2.8906074,0.0,4.5323277,0.0,0.0
0.0,4.95173,0.0,5.308468,0.0,2.8172786,0.0,9.248032,0.0,0.0
0.0,4.9349985,0.0,4.32958,0.0,9.472908,0.0,6.2187853,0.0,0.0
0.0,3.5684457,0.0,4.724155,0.0,6.9179606,0.0,6.7129464,0.0,0.0
0.0,0.65734017,0.0,3.9095268,0.0,2.7628438,0.0,4.1030903,0.0,0.0
0.0,2.5489662,0.0,4.6644487,0.0,2.7687447,0.0,0.7293709,0.0,0.0
0.0,0.10855251,0.0,4.2250247,0.0,0.5004428,0.0,5.9778757,0.0,0.0
0.0,4.9724894,0.0,3.46144,0.0,2.1229982,0.0,8.084523,0.0,0.0
0.0,5.102205,0.0,7.649141,0.0,4.245197,0.0,5.8101254,0.0,0.0
0.0,3.5459166,0.0,1.5961773,0.0,6.0306516,0.0,0.0,0.0,0.0
0.0,3.6638038,0.0,7.2280273,0.0,6.636926,0.0,5.479115,0.0,0.0
0.0,4.691879,0.0,5.187269,0.0,7.9470925,0.0,6.973815,0.0,0.0
0.0,2.9006252,0.0,3.6121056,0.0,2.7653432,0.0,5.3521733,0.0,0.0
0.0,2.0309398,0.0,7.0467896,0.0,1.6922836,0.0,7.8760986,0.0,0.0
0.0,6.221333,0.0,6.799907,0.0,10.705893,0.0,9.796261,0.0,0.0
0.0,4.477958,0.0,3.446013,0.0,3.7158694,0.0,4.6884785,0.0,0.0
0.0,2.421879,0.0,4.0446353,0.0,2.870381,0.0,6.2003646,0.0,0.0
0.0,2.3683505,0.0,3.5394874,0.0,7.247972,0.0,5.546312,0.0,0.0
0.0,5.752358,0.0,5.6739855,0.0,10.9154215,0.0,6.193166,0.0,0.0
0.0,2.9198954,0.0,3.472199,0.0,6.2302556,0.0,4.0107737,0.0,0.0
0.0,1.6928641,0.0,4.888771,0.0,1.9501213,0.0,6.2365985,0.0,0.0
0.0,2.08525,0.0,6.3221817,0.0,3.4326506,0.0,5.3251724,0.0,0.0
0.0,3.2021785,0.0,5.7446246,0.0,0.77624065,0.0,8.118798,0.0,0.0
0.0,4.456907,0.0,5.6845207,0.0,7.979588,0.0,4.777675,0.0,0.0
0.0,6.659096,0.0,5.189971,0.0,10.40417,0.0,7.6663437,0.0,0.0
0.0,3.2584367,0.0,4.962293,0.0,7.456978,0.0,7.35721,0.0,0.0
0.0,4.485713,0.0,2.6045308,0.0,1.635336,0.0,4.4677587,0.0,0.0
0.0,3.537523,0.0,2.4106863,0.0,1.7324848,0.0,7.6729636,0.0,0.0
0.0,5.985624,0.0,5.5089717,0.0,3.0409427,0.0,9.669511,0.0,0.0
0.0,2.34897,0.0,1.9697847,0.0,0.036543794,0.0,5.151945,0.0,0.0
0.0,5.423623,0.0,6.6329656,0.0,8.747881,0.0,7.9690847,0.0,0.0
0.0,6.2875953,0.0,7.394191,0.0,7.362129,0.0,8.7479315,0.0,0.0
0.0,1.9805304,0.0,2.1825402,0.0,0.0,0.0,5.0986333,0.0,0.0
0.0,3.5425487,0.0,7.4680524,0.0,8.55454,0.0,6.268172,0.0,0.0
0.0,2.2195508,0.0,3.5667305,0.0,2.61171,0.0,3.92964,0.0,0.0
0.0,4.0299644,0.0,8.77323,0.0,3.7121294,0.0,12.65603,0.0,0.0
0.0,5.267102,0.0,3.960018,0.0,4.5850663,0.0,2.5169535,0.0,0.0
0.0,2.2383313,0.0,4.0283737,0.0,4.3700194,0.0,2.4698415,0.0,0.0
0.0,3.7521856,0.0,5.9228563,0.0,9.028424,0.0,6.98869,0.0,0.0
0.0,7.9577336,0.0,6.0424767,0.0,10.895683,0.0,8.581363,0.0,0.0
0.0,6.713052,0.0,7.0773225,0.0,11.6528225,0.0,8.456548,0.0,0.0
0.0,0.16468336,0.0,4.0966916,0.0,2.5236387,0.0,4.0441413,0.0,0.0
0.0,2.3321888,0.0,1.9449421,0.0,0.09513918,0.0,5.6601706,0.0,0.0
0.0,4.0582166,0.0,5.8709755,0.0,10.7501545,0.0,8.496844,0.0,0.0
0.0,4.762712,0.0,5.618894,0.0,11.124308,0.0,6.767881,0.0,0.0
0.0,4.832886,0.0,3.2388732,0.0,1.7346784,0.0,9.506502,0.0,0.0
0.0,5.0821514,0.0,5.983148,0.0,2.9889886,0.0,10.394137,0.0,0.0
0.0,2.431569,0.0,4.1473393,0.0,2.6196802,0.0,7.234658,0.0,0.0
0.0,6.0250382,0.0,6.908264,0.0,7.634529,0.0,5.6510396,0.0,0.0
0.0,3.0422437,0.0,4.848915,0.0,4.9206114,0.0,3.1410453,0.0,0.0
0.0,2.6009376,0.0,5.041891,0.0,9.020532,0.0,4.536416,0.0,0.0
0.0,4.8304343,0.0,5.366277,0.0,5.70243,0.0,4.294608,0.0,0.0
0.0,3.4205117,0.0,1.8446022,0.0,1.8539786,0.0,9.173572,0.0,0.0
0.0,4.665605,0.0,8.054551,0.0,11.318885,0.0,10.175064,0.0,0.0
0.0,5.8976626,0.0,5.1185403,0.0,10.697192,0.0,4.1053166,0.0,0.0
0.0,3.0913908,0.0,4.900524,0.0,8.137104,0.0,7.2286935,0.0,0.0
0.0,4.3361316,0.0,4.1001935,0.0,8.541067,0.0,6.1563063,0.0,0.0
0.0,6.7591286,0.0,6.099061,0.0,7.4684505,0.0,2.7475555,0.0,0.0
0.0,1.8502699,0.0,8.535169,0.0,9.661692,0.0,8.184216,0.0,0.0
0.0,2.3407571,0.0,3.5592446,0.0,2.8169703,0.0,0.5132531,0.0,0.0
0.0,4.1010528,0.0,4.031482,0.0,2.0054266,0.0,6.0697403,0.0,0.0
0.0,2.2369835,0.0,5.0079646,0.0,1.6559734,0.0,9.529268,0.0,0.0
0.0,4.0401306,0.0,2.9386373,0.0,2.3300931,0.0,10.396891,0.0,0.0
0.0,4.7900653,0.0,3.3455606,0.0,8.865376,0.0,5.373579,0.0,0.0
0.0,5.1116176,0.0,3.7998855,0.0,8.052819,0.0,3.720765,0.0,0.0
0.0,3.3094106,0.0,3.4633822,0.0,1.9520624,0.0,10.056103,0.0,0.0
0.0,4.665546,0.0,7.8242426,0.0,2.1231987,0.0,10.273582,0.0,0.0
0.0,2.2325726,0.0,1.6486661,0.0,1.8789853,0.0,6.9032927,0.0,0.0
0.0,5.909293,0.0,6.570472,0.0,2.9683793,0.0,9.918571,0.0,0.0
0.0,4.461405,0.0,6.6989527,0.0,3.3316362,0.0,11.790735,0.0,0.0
0.0,5.9405255,0.0,4.365698,0.0,2.3273542,0.0,10.205884,0.0,0.0
0.0,1.274018,0.0,2.9321272,0.0,2.5935173,0.0,4.840052,0.0,0.0
0.0,1.6195446,0.0,4.4634767,0.0,2.747406,0.0,3.8740613,0.0,0.0
