feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,symbol
5.0869474,0.0,3.1157572,2.2502055,0.0,5.5196075,0.0,0.0,6.786574,5.572314,AOS
5.8169246,0.0,3.5230799,2.2182305,0.0,5.4716763,0.0,0.0,1.1592436,3.1393301,AOS
4.343448,0.0,2.1365218,1.6286478,0.0,3.8441024,0.0,0.0,2.926667,4.731997,AOS
4.8269973,0.0,4.290019,3.3559797,0.0,4.1577797,0.0,0.0,4.0964913,5.6281323,AOS
0.92549074,0.0,2.3608391,2.373465,0.0,5.34478,0.0,0.0,4.908819,2.8743896,AOS
5.7261043,0.0,2.7604458,4.484474,0.0,3.9434543,0.0,0.0,2.114092,5.078676,AOS
2.5215669,0.0,2.8887165,2.5794582,0.0,4.828833,0.0,0.0,5.39518,4.117133,AOS
3.7462676,0.0,2.7599645,1.7743527,0.0,4.8473034,0.0,0.0,2.2662802,4.520218,AOS
4.3023577,0.0,2.6994345,3.3617082,0.0,6.1155753,0.0,0.0,6.201127,3.8242955,AOS
7.322681,0.0,1.7550033,3.6595159,0.0,6.3637238,0.0,0.0,4.3258696,6.530678,AOS
0.9786749,0.0,4.0038304,3.5946069,0.0,3.5963538,0.0,0.0,5.3135943,4.1650734,AOS
1.5776758,0.0,0.9890807,2.9351077,0.0,4.968795,0.0,0.0,6.4357834,3.2204485,AOS
9.217851,0.0,3.1861463,3.6425023,0.0,3.2170966,0.0,0.0,4.397037,3.2011101,AOS
6.39701,0.0,5.208573,3.9786854,0.0,7.1437864,0.0,0.0,8.124145,5.04928,AOS
5.4704294,0.0,4.7135234,5.2561064,0.0,5.501823,0.0,0.0,4.3215213,5.5719757,AOS
5.0069795,0.0,5.2692304,3.1364145,0.0,4.2024913,0.0,0.0,4.9001594,4.352469,AOS
8.623768,0.0,3.8220937,4.4792356,0.0,3.7891433,0.0,0.0,2.7690427,0.4914948,AOS
4.6191435,0.0,4.7155137,5.2972517,0.0,4.66233,0.0,0.0,3.9548254,4.8298874,AOS
9.562436,0.0,2.4910164,3.3931801,0.0,5.614715,0.0,0.0,2.4781218,0.41008532,AOS
0.07451798,0.0,3.5562546,3.5414932,0.0,1.3591439,0.0,0.0,2.0209358,4.081314,AOS
1.4591516,0.0,4.0685196,2.0866613,0.0,4.2347646,0.0,0.0,4.844874,3.756536,AOS
5.0754614,0.0,4.2076283,3.9347763,0.0,2.3249633,0.0,0.0,2.479097,4.4742885,AOS
6.9342833,0.0,3.0913036,3.8500314,0.0,6.1195116,0.0,0.0,2.3937986,6.388349,AOS
1.8037698,0.0,2.7602081,2.5425305,0.0,2.3634892,0.0,0.0,5.8082914,5.1008773,AOS
3.0855725,0.0,0.99680454,2.2936916,0.0,6.590928,0.0,0.0,6.168351,4.8526115,AOS
5.6954265,0.0,2.164409,3.4317768,0.0,2.537524,0.0,0.0,0.11897433,3.1186104,AOS
8.827629,0.0,1.1041197,2.294079,0.0,0.65586746,0.0,0.0,2.3008175,2.137815,AOS
5.363775,0.0,2.4960437,3.251154,0.0,3.5833838,0.0,0.0,4.578471,5.462723,AOS
5.082924,0.0,1.4704757,1.7361733,0.0,5.1231,0.0,0.0,6.9083576,3.929848,AOS
3.8602371,0.0,3.444776,2.7822587,0.0,4.2577257,0.0,0.0,3.9111316,2.1819074,AOS
3.5228233,0.0,2.490887,3.2110474,0.0,7.2059507,0.0,0.0,7.076611,5.718983,AOS
5.315067,0.0,2.9809835,1.8381295,0.0,4.5582886,0.0,0.0,4.290707,5.535079,AOS
4.187131,0.0,1.7205005,1.110942,0.0,4.883545,0.0,0.0,3.2841814,3.025329,AOS
6.4552574,0.0,2.9179058,2.4334295,0.0,5.662095,0.0,0.0,7.9833684,5.7258816,AOS
8.848012,0.0,3.6744847,3.1938193,0.0,2.0888393,0.0,0.0,3.332119,2.1675262,AOS
8.884132,0.0,1.2268504,2.685661,0.0,0.66676277,0.0,0.0,2.4577546,2.1564486,AOS
10.453676,0.0,3.0268292,4.1696596,0.0,2.9173622,0.0,0.0,4.433358,4.936415,AOS
5.6965947,0.0,3.4751265,4.8441496,0.0,5.534449,0.0,0.0,2.204189,4.1049623,AOS
0.027830295,0.0,2.5384238,2.2485898,0.0,5.5963473,0.0,0.0,4.6393394,2.7493567,AOS
6.6383862,0.0,2.5079954,2.6309,0.0,4.8608437,0.0,0.0,7.8307095,5.949764,AOS
3.0658188,0.0,3.6098793,2.590896,0.0,7.270489,0.0,0.0,6.2204604,5.327132,AOS
1.5738118,0.0,3.5863998,3.0956647,0.0,4.2717533,0.0,0.0,6.1736727,5.0655494,AOS
4.8807564,0.0,2.772255,2.0373,0.0,3.2780135,0.0,0.0,4.239414,3.614129,AOS
5.45692,0.0,2.7966776,3.3179493,0.0,3.2694623,0.0,0.0,3.2689846,3.8526938,AOS
3.4345424,0.0,2.5437267,2.9385858,0.0,7.1981673,0.0,0.0,7.015788,5.608882,AOS
3.8307266,0.0,3.1800952,3.4198382,0.0,3.7028465,0.0,0.0,5.848975,3.8976274,AOS
6.9259934,0.0,2.1578264,4.430237,0.0,5.082003,0.0,0.0,4.457888,6.2532,AOS
3.498101,0.0,4.013011,2.5739412,0.0,4.703583,0.0,0.0,2.7667391,3.1938472,AOS
4.7776866,0.0,4.307562,2.0946455,0.0,3.8276677,0.0,0.0,3.0122676,3.6887064,AOS
3.18429,0.0,1.614887,1.607517,0.0,0.28366417,0.0,0.0,3.4771214,3.7391517,AOS
3.009051,0.0,4.0067787,3.7358046,0.0,7.0946846,0.0,0.0,7.140472,5.936252,AOS
3.286175,0.0,3.1059737,2.664065,0.0,6.558462,0.0,0.0,6.336186,6.1969805,AOS
1.907839,0.0,1.6699148,2.0289326,0.0,5.244657,0.0,0.0,0.6069582,4.1031528,AOS
0.12233171,0.0,2.3074634,0.0,0.0,2.815185,0.0,0.0,4.058563,3.2618496,AOS
7.5257034,0.0,2.6416776,2.5310595,0.0,7.07936,0.0,0.0,8.478451,5.2666287,AOS
3.685908,0.0,0.96505284,0.0,0.0,0.8487953,0.0,0.0,1.097316,2.9294007,AOS
2.3750944,0.0,3.4769132,2.8057187,0.0,4.997126,0.0,0.0,5.9456058,4.670022,AOS
2.803435,0.0,3.8110013,3.3894036,0.0,6.9127684,0.0,0.0,6.9671006,5.709648,AOS
4.5398965,0.0,2.8729084,2.4042685,0.0,5.3919477,0.0,0.0,3.710852,3.8959718,AOS
1.996574,0.0,1.8184291,2.5899782,0.0,4.457876,0.0,0.0,2.6169817,4.2581162,AOS
4.3694463,0.0,3.1171725,1.8452845,0.0,4.536652,0.0,0.0,3.0707672,4.5083303,AOS
4.0451326,0.0,3.5913727,3.1272178,0.0,4.2602,0.0,0.0,4.096337,2.428731,AOS
4.769426,0.0,1.612212,4.216879,0.0,5.7330675,0.0,0.0,3.7648797,3.3254564,AOS
3.0140328,0.0,4.078975,1.8264208,0.0,3.024971,0.0,0.0,2.73631,4.4504547,AOS
0.69421256,0.0,1.0366044,1.3686028,0.0,4.928233,0.0,0.0,2.20234,2.380252,AOS
6.5569863,0.0,3.828968,3.9554806,0.0,3.2503648,0.0,0.0,1.9435699,3.9790053,AOS
