feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,0.0,0.0,2.1774552,0.7148131,4.504338,0.0,3.922023,0.0,7.1275873
0.0,0.0,0.0,0.7106763,1.6848292,9.224762,0.0,6.0022807,0.0,8.426047
0.0,0.0,0.0,2.5397046,4.0523,7.83129,0.0,3.0912535,0.0,10.423695
0.0,0.0,0.0,3.1148355,4.365405,11.201269,0.0,4.8725786,0.0,2.63931
0.0,0.0,0.0,6.224237,5.340594,2.5913353,0.0,6.821646,0.0,6.992946
0.0,0.0,0.0,2.8972764,2.399019,8.502211,0.0,2.199992,0.0,9.404557
0.0,0.0,0.0,3.3472803,5.079147,9.358237,0.0,3.8179543,0.0,11.283776
0.0,0.0,0.0,6.805149,3.3998053,14.838657,0.0,2.8416862,0.0,3.5435693
0.0,0.0,0.0,2.2765949,8.132013,8.890681,0.0,5.977729,0.0,13.005003
0.0,0.0,0.0,3.706947,7.6166697,4.024447,0.0,5.366504,0.0,9.607672
0.0,0.0,0.0,5.9536915,5.0127354,13.6636915,0.0,2.194315,0.0,2.4571378
0.0,0.0,0.0,2.8456116,4.952749,8.944017,0.0,6.2803354,0.0,13.37797
0.0,0.0,0.0,9.225593,6.9450636,17.35554,0.0,6.247806,0.0,6.915904
0.0,0.0,0.0,3.343893,4.233092,2.6727312,0.0,5.037332,0.0,10.567061
0.0,0.0,0.0,6.223907,3.6391122,6.215787,0.0,3.1894438,0.0,3.1967227
0.0,0.0,0.0,7.137946,4.28737,15.325379,0.0,2.4740684,0.0,4.12792
0.0,0.0,0.0,6.457935,3.167864,10.5139675,0.0,4.1541357,0.0,1.9904745
0.0,0.0,0.0,1.8338939,3.7153049,7.0116696,0.0,3.2371054,0.0,10.177123
0.0,0.0,0.0,2.2060874,4.982522,6.992985,0.0,6.8096175,0.0,10.167958
0.0,0.0,0.0,3.7830353,1.534686,7.0477195,0.0,1.7186742,0.0,0.0
0.0,0.0,0.0,6.667456,5.8584948,1.9471382,0.0,2.8623104,0.0,5.6927156
0.0,0.0,0.0,6.656506,8.701797,14.408615,0.0,6.1235914,0.0,6.103829
0.0,0.0,0.0,1.2545229,1.3743855,4.5791783,0.0,2.955525,0.0,8.1607685
0.0,0.0,0.0,0.6222241,3.9773152,10.436075,0.0,6.7490516,0.0,11.029071
0.0,0.0,0.0,8.153418,6.482164,3.418336,0.0,4.242356,0.0,6.487455
0.0,0.0,0.0,1.7138021,0.8301776,6.5287046,0.0,6.269127,0.0,7.8280616
0.0,0.0,0.0,3.6920264,3.4043128,6.3407545,0.0,5.32873,0.0,9.010729
0.0,0.0,0.0,4.0349154,5.0196896,11.392215,0.0,6.870876,0.0,12.731095
0.0,0.0,0.0,1.2385342,0.31441206,6.047002,0.0,3.2258615,0.0,6.5343156
0.0,0.0,0.0,6.2299075,4.91352,2.4583018,0.0,6.6574183,0.0,6.819014
0.0,0.0,0.0,2.2662084,6.736182,12.754849,0.0,5.8673606,0.0,13.461534
0.0,0.0,0.0,6.7962675,5.1569896,11.9682865,0.0,1.6530776,0.0,5.312547
0.0,0.0,0.0,8.557359,6.7914233,17.964678,0.0,6.858989,0.0,6.5628715
0.0,0.0,0.0,0.9193199,4.251691,9.638105,0.0,4.872781,0.0,8.932098
