feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.42214653,0.0,0.0,0.0,0.0,0.0,0.0,1.7168989,0.0,0.0
3.588746,0.0,0.0,0.0,0.0,0.0,0.0,1.3124508,0.0,0.0
3.7222462,0.0,0.0,0.0,0.0,0.0,0.0,8.56913,0.0,0.0
0.74860245,0.0,0.0,0.0,0.0,0.0,0.0,6.2657084,0.0,0.0
5.7779517,0.0,0.0,0.0,0.0,0.0,0.0,8.609479,0.0,0.0
6.3115525,0.0,0.0,0.0,0.0,0.0,0.0,8.518477,0.0,0.0
1.692754,0.0,0.0,0.0,0.0,0.0,0.0,8.482789,0.0,0.0
1.7859833,0.0,0.0,0.0,0.0,0.0,0.0,7.521047,0.0,0.0
1.989249,0.0,0.0,0.0,0.0,0.0,0.0,9.079266,0.0,0.0
6.510764,0.0,0.0,0.0,0.0,0.0,0.0,2.2091906,0.0,0.0
4.024259,0.0,0.0,0.0,0.0,0.0,0.0,1.524535,0.0,0.0
1.2915096,0.0,0.0,0.0,0.0,0.0,0.0,7.3660126,0.0,0.0
14.70098,0.0,0.0,0.0,0.0,0.0,0.0,1.7695153,0.0,0.0
6.0962276,0.0,0.0,0.0,0.0,0.0,0.0,6.977705,0.0,0.0
5.580611,0.0,0.0,0.0,0.0,0.0,0.0,8.51666,0.0,0.0
8.135435,0.0,0.0,0.0,0.0,0.0,0.0,10.861879,0.0,0.0
5.057409,0.0,0.0,0.0,0.0,0.0,0.0,0.6555917,0.0,0.0
4.597278,0.0,0.0,0.0,0.0,0.0,0.0,0.9268724,0.0,0.0
7.4742785,0.0,0.0,0.0,0.0,0.0,0.0,8.4868,0.0,0.0
5.1565185,0.0,0.0,0.0,0.0,0.0,0.0,8.300686,0.0,0.0
1.0912528,0.0,0.0,0.0,0.0,0.0,0.0,6.360805,0.0,0.0
6.867139,0.0,0.0,0.0,0.0,0.0,0.0,0.30454928,0.0,0.0
6.860697,0.0,0.0,0.0,0.0,0.0,0.0,8.807218,0.0,0.0
0.5549218,0.0,0.0,0.0,0.0,0.0,0.0,3.6676536,0.0,0.0
1.8213863,0.0,0.0,0.0,0.0,0.0,0.0,1.069487,0.0,0.0
0.20623441,0.0,0.0,0.0,0.0,0.0,0.0,5.863227,0.0,0.0
0.85240746,0.0,0.0,0.0,0.0,0.0,0.0,0.5704445,0.0,0.0
8.030955,0.0,0.0,0.0,0.0,0.0,0.0,9.392223,0.0,0.0
0.8524708,0.0,0.0,0.0,0.0,0.0,0.0,7.3457637,0.0,0.0
6.8642073,0.0,0.0,0.0,0.0,0.0,0.0,9.887297,0.0,0.0
0.5654673,0.0,0.0,0.0,0.0,0.0,0.0,3.3843586,0.0,0.0
6.6641164,0.0,0.0,0.0,0.0,0.0,0.0,11.553509,0.0,0.0
3.8985198,0.0,0.0,0.0,0.0,0.0,0.0,0.24671666,0.0,0.0
0.5128364,0.0,0.0,0.0,0.0,0.0,0.0,3.4975405,0.0,0.0
7.4643846,0.0,0.0,0.0,0.0,0.0,0.0,9.1182995,0.0,0.0
5.7977195,0.0,0.0,0.0,0.0,0.0,0.0,6.6147203,0.0,0.0
5.923013,0.0,0.0,0.0,0.0,0.0,0.0,8.804521,0.0,0.0
7.5967436,0.0,0.0,0.0,0.0,0.0,0.0,1.6037421,0.0,0.0
0.1929726,0.0,0.0,0.0,0.0,0.0,0.0,5.320684,0.0,0.0
1.2386281,0.0,0.0,0.0,0.0,0.0,0.0,7.7871404,0.0,0.0
0.71614504,0.0,0.0,0.0,0.0,0.0,0.0,7.634978,0.0,0.0
4.5861773,0.0,0.0,0.0,0.0,0.0,0.0,10.289068,0.0,0.0
7.798336,0.0,0.0,0.0,0.0,0.0,0.0,8.467678,0.0,0.0
0.537718,0.0,0.0,0.0,0.0,0.0,0.0,1.9799389,0.0,0.0
1.7208269,0.0,0.0,0.0,0.0,0.0,0.0,9.659828,0.0,0.0
4.746121,0.0,0.0,0.0,0.0,0.0,0.0,8.780366,0.0,0.0
3.5053542,0.0,0.0,0.0,0.0,0.0,0.0,1.6498334,0.0,0.0
2.413464,0.0,0.0,0.0,0.0,0.0,0.0,0.87194836,0.0,0.0
7.7211065,0.0,0.0,0.0,0.0,0.0,0.0,8.140107,0.0,0.0
1.2157464,0.0,0.0,0.0,0.0,0.0,0.0,7.811632,0.0,0.0
5.1576877,0.0,0.0,0.0,0.0,0.0,0.0,1.8538413,0.0,0.0
5.439699,0.0,0.0,0.0,0.0,0.0,0.0,7.550512,0.0,0.0
5.3351264,0.0,0.0,0.0,0.0,0.0,0.0,8.002274,0.0,0.0
0.46887553,0.0,0.0,0.0,0.0,0.0,0.0,1.7799977,0.0,0.0
6.410927,0.0,0.0,0.0,0.0,0.0,0.0,1.4381322,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.488156,0.0,0.0
0.7960521,0.0,0.0,0.0,0.0,0.0,0.0,7.1151404,0.0,0.0
1.6739573,0.0,0.0,0.0,0.0,0.0,0.0,8.303265,0.0,0.0
8.175638,0.0,0.0,0.0,0.0,0.0,0.0,9.527224,0.0,0.0
1.4426246,0.0,0.0,0.0,0.0,0.0,0.0,7.954976,0.0,0.0
5.6382704,0.0,0.0,0.0,0.0,0.0,0.0,11.567618,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.244584,0.0,0.0
0.98717326,0.0,0.0,0.0,0.0,0.0,0.0,2.2924902,0.0,0.0
4.5890884,0.0,0.0,0.0,0.0,0.0,0.0,6.1937,0.0,0.0
7.2880797,0.0,0.0,0.0,0.0,0.0,0.0,0.5067376,0.0,0.0
0.9089412,0.0,0.0,0.0,0.0,0.0,0.0,2.320138,0.0,0.0
5.43535,0.0,0.0,0.0,0.0,0.0,0.0,1.4712999,0.0,0.0
6.1067095,0.0,0.0,0.0,0.0,0.0,0.0,8.208259,0.0,0.0
6.004801,0.0,0.0,0.0,0.0,0.0,0.0,7.795049,0.0,0.0
1.2546597,0.0,0.0,0.0,0.0,0.0,0.0,7.2569227,0.0,0.0
5.7625318,0.0,0.0,0.0,0.0,0.0,0.0,8.419275,0.0,0.0
1.0326157,0.0,0.0,0.0,0.0,0.0,0.0,2.4116445,0.0,0.0
1.6686885,0.0,0.0,0.0,0.0,0.0,0.0,0.58693135,0.0,0.0
7.978797,0.0,0.0,0.0,0.0,0.0,0.0,1.7072191,0.0,0.0
0.6831982,0.0,0.0,0.0,0.0,0.0,0.0,2.21921,0.0,0.0
0.9408018,0.0,0.0,0.0,0.0,0.0,0.0,1.9533609,0.0,0.0
1.992624,0.0,0.0,0.0,0.0,0.0,0.0,4.053381,0.0,0.0
5.780678,0.0,0.0,0.0,0.0,0.0,0.0,10.315548,0.0,0.0
1.6569009,0.0,0.0,0.0,0.0,0.0,0.0,8.720706,0.0,0.0
13.864079,0.0,0.0,0.0,0.0,0.0,0.0,2.0397346,0.0,0.0
0.40429413,0.0,0.0,0.0,0.0,0.0,0.0,7.4620457,0.0,0.0
5.03527,0.0,0.0,0.0,0.0,0.0,0.0,10.105689,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.788546,0.0,0.0
