feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,0.0,5.590451,1.2885396,0.0,0.0,0.0,0.0,6.147656,3.2832031
0.0,0.0,7.8372684,0.8539064,0.0,0.0,0.0,0.0,6.1141286,3.6746998
0.0,0.0,7.7641788,4.8919053,0.0,0.0,0.0,0.0,3.1762989,9.23861
0.0,0.0,6.665515,2.1608298,0.0,0.0,0.0,0.0,3.709835,2.6798177
0.0,0.0,4.450164,5.0465045,0.0,0.0,0.0,0.0,1.7492142,7.5194864
0.0,0.0,6.8618717,0.18865149,0.0,0.0,0.0,0.0,5.5785465,9.3369255
0.0,0.0,6.1650434,2.6338656,0.0,0.0,0.0,0.0,1.81037,8.109554
0.0,0.0,3.053104,0.8400496,0.0,0.0,0.0,0.0,1.8247648,1.4001918
0.0,0.0,7.3555083,5.855841,0.0,0.0,0.0,0.0,4.639229,8.816908
0.0,0.0,2.051919,2.5560668,0.0,0.0,0.0,0.0,0.0,6.0217924
0.0,0.0,8.305527,3.5475569,0.0,0.0,0.0,0.0,5.6043863,2.2130604
0.0,0.0,4.5607657,1.518499,0.0,0.0,0.0,0.0,1.318158,8.256176
0.0,0.0,6.0636764,2.0196984,0.0,0.0,0.0,0.0,2.712654,6.7951455
0.0,0.0,5.5409465,1.9321426,0.0,0.0,0.0,0.0,3.397978,7.5723205
0.0,0.0,3.9047832,1.2916926,0.0,0.0,0.0,0.0,5.2391725,4.835563
0.0,0.0,6.281954,3.6602507,0.0,0.0,0.0,0.0,1.9168684,8.150044
0.0,0.0,4.2282743,2.7671926,0.0,0.0,0.0,0.0,1.4122245,7.87171
0.0,0.0,7.8546786,2.6719513,0.0,0.0,0.0,0.0,5.1362953,3.1899488
0.0,0.0,6.9546533,3.407349,0.0,0.0,0.0,0.0,4.375431,6.633891
0.0,0.0,2.9425495,3.6380048,0.0,0.0,0.0,0.0,2.8443518,6.473819
0.0,0.0,5.5621085,2.977319,0.0,0.0,0.0,0.0,1.8689284,8.882549
0.0,0.0,5.0635576,3.3260348,0.0,0.0,0.0,0.0,5.9127545,0.84926945
0.0,0.0,7.042057,1.4809955,0.0,0.0,0.0,0.0,4.823713,0.93694055
0.0,0.0,3.0316136,6.4496207,0.0,0.0,0.0,0.0,5.8772173,5.430657
0.0,0.0,6.989901,2.8272984,0.0,0.0,0.0,0.0,7.15505,4.4851522
0.0,0.0,5.0412645,1.9224111,0.0,0.0,0.0,0.0,1.6544627,5.401947
0.0,0.0,6.607466,3.7299879,0.0,0.0,0.0,0.0,6.169078,7.409729
0.0,0.0,2.1630805,0.74703074,0.0,0.0,0.0,0.0,0.9646888,3.8514879
0.0,0.0,2.4234433,1.689265,0.0,0.0,0.0,0.0,4.183544,6.1829944
0.0,0.0,5.76285,3.5973368,0.0,0.0,0.0,0.0,3.6244407,8.063836
0.0,0.0,4.5709653,3.0502908,0.0,0.0,0.0,0.0,5.255158,0.0
0.0,0.0,5.6508136,2.3091972,0.0,0.0,0.0,0.0,1.5594178,7.8135853
0.0,0.0,6.2887955,3.9484804,0.0,0.0,0.0,0.0,6.708999,8.610862
0.0,0.0,5.0442367,1.8613845,0.0,0.0,0.0,0.0,4.9104166,8.761921
0.0,0.0,3.8722417,1.9041287,0.0,0.0,0.0,0.0,5.070316,6.7598567
0.0,0.0,6.042926,3.6087768,0.0,0.0,0.0,0.0,3.6875818,8.000661
0.0,0.0,4.7038116,2.6193779,0.0,0.0,0.0,0.0,1.8324347,7.7992992
0.0,0.0,4.9746757,2.2027602,0.0,0.0,0.0,0.0,2.8163295,7.806437
0.0,0.0,5.2998238,3.0413938,0.0,0.0,0.0,0.0,1.8226304,8.714631
0.0,0.0,7.488418,3.2530704,0.0,0.0,0.0,0.0,6.699332,2.2469573
0.0,0.0,4.8044734,4.678021,0.0,0.0,0.0,0.0,5.699051,5.216057
0.0,0.0,8.771107,6.4294143,0.0,0.0,0.0,0.0,3.2031937,10.682805
0.0,0.0,5.010554,3.319783,0.0,0.0,0.0,0.0,7.558809,8.645
0.0,0.0,8.460585,2.072468,0.0,0.0,0.0,0.0,5.5157065,3.5517664
0.0,0.0,5.150055,3.3191447,0.0,0.0,0.0,0.0,3.2537234,6.4742775
0.0,0.0,7.163161,4.394382,0.0,0.0,0.0,0.0,5.920108,8.917906
0.0,0.0,3.812512,4.3980503,0.0,0.0,0.0,0.0,0.13201876,6.7836747
0.0,0.0,5.6811805,1.6044751,0.0,0.0,0.0,0.0,5.737681,11.431214
0.0,0.0,8.753084,5.3683076,0.0,0.0,0.0,0.0,4.5718284,4.007693
0.0,0.0,3.4177258,0.0,0.0,0.0,0.0,0.0,1.6383246,5.5651703
0.0,0.0,1.9709129,3.4050457,0.0,0.0,0.0,0.0,2.54542,5.440204
0.0,0.0,3.9415667,0.5641211,0.0,0.0,0.0,0.0,5.746704,2.9531705
0.0,0.0,6.2575746,2.5911179,0.0,0.0,0.0,0.0,2.0045478,6.0381284
0.0,0.0,3.8430378,1.016398,0.0,0.0,0.0,0.0,3.840183,7.1489506
0.0,0.0,2.725821,4.522273,0.0,0.0,0.0,0.0,1.524875,6.359069
0.0,0.0,4.3104105,2.305698,0.0,0.0,0.0,0.0,2.711746,7.3451276
0.0,0.0,4.930778,4.1616693,0.0,0.0,0.0,0.0,7.332846,9.008767
0.0,0.0,9.2987995,2.0522075,0.0,0.0,0.0,0.0,3.7676845,2.0960462
0.0,0.0,3.8046877,1.9755423,0.0,0.0,0.0,0.0,2.3361847,3.099386
0.0,0.0,3.5608652,3.5726798,0.0,0.0,0.0,0.0,2.837963,5.6514926
0.0,0.0,7.0336885,2.9869442,0.0,0.0,0.0,0.0,3.759396,8.11902
0.0,0.0,5.1881275,3.6656601,0.0,0.0,0.0,0.0,3.4038663,7.829606
0.0,0.0,5.444149,2.5640564,0.0,0.0,0.0,0.0,3.63861,5.1727285
0.0,0.0,8.03472,1.1147571,0.0,0.0,0.0,0.0,5.03141,2.6220267
0.0,0.0,6.2925463,3.2042267,0.0,0.0,0.0,0.0,3.8827994,5.9937763
0.0,0.0,6.283141,5.07382,0.0,0.0,0.0,0.0,4.34947,5.606683
0.0,0.0,5.0830092,0.30076173,0.0,0.0,0.0,0.0,1.2605848,8.219589
0.0,0.0,7.627623,2.068008,0.0,0.0,0.0,0.0,6.0133,5.3036885
0.0,0.0,6.567591,3.0285616,0.0,0.0,0.0,0.0,3.8906064,8.38681
0.0,0.0,8.182087,2.606764,0.0,0.0,0.0,0.0,5.9167895,5.5881367
0.0,0.0,4.677583,3.4404416,0.0,0.0,0.0,0.0,1.6894609,7.710932
0.0,0.0,4.5033126,3.6796021,0.0,0.0,0.0,0.0,3.0836756,7.25197
0.0,0.0,4.5035696,2.4215536,0.0,0.0,0.0,0.0,4.86159,1.5363176
0.0,0.0,5.6622124,2.5142233,0.0,0.0,0.0,0.0,5.2451158,7.9529037
