feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,4.129053,1.9086908,0.0,0.0,3.3363047,0.0,2.9337738,0.0,0.0
0.0,1.1493798,0.9187882,0.0,0.0,2.50752,0.0,2.4416494,0.0,0.0
0.0,6.1195054,8.65355,0.0,0.0,7.4245095,0.0,6.408359,0.0,0.0
0.0,1.5345286,3.6554806,0.0,0.0,2.95872,0.0,2.3220346,0.0,0.0
0.0,5.6652617,8.048863,0.0,0.0,6.63831,0.0,5.142804,0.0,0.0
0.0,3.6325517,1.5849679,0.0,0.0,1.2749232,0.0,3.2172127,0.0,0.0
0.0,1.2253374,8.536459,0.0,0.0,6.303639,0.0,5.463912,0.0,0.0
0.0,1.3261642,5.0833616,0.0,0.0,2.4416852,0.0,3.1277943,0.0,0.0
0.0,3.241179,2.8736517,0.0,0.0,4.3334765,0.0,4.99522,0.0,0.0
0.0,5.2310505,7.9124217,0.0,0.0,6.062988,0.0,5.6181393,0.0,0.0
0.0,4.235929,6.87809,0.0,0.0,7.536289,0.0,4.0193653,0.0,0.0
0.0,7.532999,7.6033163,0.0,0.0,7.715652,0.0,3.5509663,0.0,0.0
0.0,7.171751,3.0971954,0.0,0.0,1.7231438,0.0,0.58707005,0.0,0.0
0.0,1.7923508,3.91294,0.0,0.0,3.7002869,0.0,2.9583464,0.0,0.0
0.0,6.6123967,1.6412222,0.0,0.0,4.545817,0.0,1.5744765,0.0,0.0
0.0,3.1272945,11.49739,0.0,0.0,7.1731253,0.0,8.507752,0.0,0.0
0.0,7.096189,2.459114,0.0,0.0,4.098966,0.0,3.2761328,0.0,0.0
0.0,4.810018,3.3676198,0.0,0.0,5.341771,0.0,6.0612984,0.0,0.0
0.0,3.619195,1.3258309,0.0,0.0,2.9224725,0.0,3.026996,0.0,0.0
0.0,3.0648377,4.975649,0.0,0.0,3.725374,0.0,4.133575,0.0,0.0
0.0,6.087006,5.6076035,0.0,0.0,6.015475,0.0,1.5130483,0.0,0.0
0.0,2.6120036,6.189217,0.0,0.0,3.9427423,0.0,5.747136,0.0,0.0
0.0,9.378417,4.1719985,0.0,0.0,3.660078,0.0,1.4928497,0.0,0.0
0.0,1.9294075,5.5925064,0.0,0.0,4.4188666,0.0,4.819342,0.0,0.0
0.0,3.3565063,9.656026,0.0,0.0,3.689762,0.0,6.297414,0.0,0.0
0.0,7.463128,6.813802,0.0,0.0,6.1996794,0.0,1.9617677,0.0,0.0
0.0,7.7534065,7.318549,0.0,0.0,6.901273,0.0,3.3163872,0.0,0.0
0.0,0.3832457,5.154983,0.0,0.0,1.6728355,0.0,2.13777,0.0,0.0
0.0,10.737577,3.062987,0.0,0.0,4.889926,0.0,1.8987746,0.0,0.0
0.0,5.4650145,7.485625,0.0,0.0,3.7297819,0.0,2.8893044,0.0,0.0
0.0,5.1375637,5.920964,0.0,0.0,3.9827876,0.0,7.5823383,0.0,0.0
0.0,1.938317,0.21694182,0.0,0.0,3.73186,0.0,3.8354661,0.0,0.0
0.0,2.3904643,4.505531,0.0,0.0,3.9155364,0.0,3.111618,0.0,0.0
0.0,5.8703127,7.278499,0.0,0.0,8.15371,0.0,4.307393,0.0,0.0
0.0,2.3753088,1.3754098,0.0,0.0,2.4757528,0.0,1.7906027,0.0,0.0
0.0,11.642957,3.6036847,0.0,0.0,7.773828,0.0,5.1763263,0.0,0.0
0.0,9.8559475,4.513996,0.0,0.0,3.8165548,0.0,1.9331725,0.0,0.0
0.0,7.5710835,9.09176,0.0,0.0,6.2377963,0.0,6.21251,0.0,0.0
0.0,4.696727,5.2341833,0.0,0.0,1.1214575,0.0,5.5878487,0.0,0.0
0.0,7.5947375,7.366668,0.0,0.0,8.610237,0.0,3.7551653,0.0,0.0
0.0,3.4609144,3.207587,0.0,0.0,1.3290677,0.0,0.68025637,0.0,0.0
