feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,3.4984124,1.6785005,0.0,0.91796625,0.0,0.0,0.0,7.55184,0.0
0.0,8.146907,7.1843133,0.0,6.4146633,0.0,0.0,0.0,4.0366035,0.0
0.0,8.872267,4.9609437,0.0,7.015784,0.0,0.0,0.0,3.795047,0.0
0.0,5.371729,1.7110585,0.0,4.382757,0.0,0.0,0.0,12.261555,0.0
0.0,0.45606446,2.426333,0.0,1.7477812,0.0,0.0,0.0,2.6602948,0.0
0.0,8.731283,4.534986,0.0,5.428041,0.0,0.0,0.0,10.682968,0.0
0.0,6.6553926,3.1960309,0.0,6.5623507,0.0,0.0,0.0,3.639101,0.0
0.0,5.936876,4.522249,0.0,6.388391,0.0,0.0,0.0,9.423385,0.0
0.0,6.3919635,1.8744205,0.0,4.7643185,0.0,0.0,0.0,8.977877,0.0
0.0,12.901825,6.93856,0.0,12.377051,0.0,0.0,0.0,11.478877,0.0
0.0,7.514779,2.5381997,0.0,5.766421,0.0,0.0,0.0,10.048377,0.0
0.0,11.580704,6.861815,0.0,12.613172,0.0,0.0,0.0,9.178859,0.0
0.0,6.1961083,8.059165,0.0,7.055163,0.0,0.0,0.0,3.6384213,0.0
0.0,3.081326,1.9864346,0.0,2.8587482,0.0,0.0,0.0,7.535289,0.0
0.0,3.9291224,2.348845,0.0,0.90438646,0.0,0.0,0.0,8.659574,0.0
0.0,6.7254496,8.916033,0.0,9.524495,0.0,0.0,0.0,0.41160887,0.0
0.0,7.528804,8.185205,0.0,8.414556,0.0,0.0,0.0,4.1877265,0.0
0.0,6.485309,8.684505,0.0,9.566357,0.0,0.0,0.0,4.2400417,0.0
0.0,7.163909,3.4772277,0.0,5.6844897,0.0,0.0,0.0,10.7298355,0.0
0.0,5.3180666,6.7403846,0.0,6.6882825,0.0,0.0,0.0,1.4529997,0.0
0.0,6.297571,0.9465322,0.0,4.146714,0.0,0.0,0.0,8.350222,0.0
0.0,9.639267,9.437914,0.0,10.221787,0.0,0.0,0.0,0.39034688,0.0
0.0,8.240854,7.2812743,0.0,6.100544,0.0,0.0,0.0,3.6674902,0.0
0.0,7.66016,8.629185,0.0,6.9259424,0.0,0.0,0.0,3.3107245,0.0
0.0,2.9357007,6.8677793,0.0,7.276543,0.0,0.0,0.0,1.84346,0.0
0.0,7.2098827,0.0,0.0,3.8104975,0.0,0.0,0.0,7.1629977,0.0
0.0,9.009605,8.657469,0.0,11.670093,0.0,0.0,0.0,0.040370647,0.0
0.0,8.515993,9.519945,0.0,9.9572115,0.0,0.0,0.0,4.583979,0.0
0.0,3.8192782,5.0395465,0.0,2.130819,0.0,0.0,0.0,7.1348786,0.0
0.0,10.1963415,9.344418,0.0,10.791927,0.0,0.0,0.0,0.08464733,0.0
0.0,7.039423,2.688092,0.0,4.8788133,0.0,0.0,0.0,9.914653,0.0
0.0,6.672882,2.1829054,0.0,4.0344954,0.0,0.0,0.0,12.55712,0.0
0.0,2.8394506,1.6488707,0.0,1.598266,0.0,0.0,0.0,8.46865,0.0
0.0,2.7406886,5.7728844,0.0,9.191549,0.0,0.0,0.0,3.5377052,0.0
0.0,12.422893,11.866744,0.0,14.183342,0.0,0.0,0.0,6.399273,0.0
0.0,8.956898,6.749935,0.0,11.12079,0.0,0.0,0.0,0.0,0.0
0.0,4.191495,4.210449,0.0,4.998466,0.0,0.0,0.0,0.44632134,0.0
0.0,9.55741,8.198343,0.0,9.766658,0.0,0.0,0.0,4.814995,0.0
0.0,6.632297,2.08101,0.0,4.834175,0.0,0.0,0.0,9.259874,0.0
0.0,2.99807,1.1461952,0.0,3.7223194,0.0,0.0,0.0,7.792503,0.0
0.0,6.0871825,3.9777954,0.0,5.9892135,0.0,0.0,0.0,10.713478,0.0
0.0,5.626369,2.2213423,0.0,3.6949363,0.0,0.0,0.0,11.076565,0.0
0.0,9.436876,4.8535056,0.0,5.3946824,0.0,0.0,0.0,11.942816,0.0
0.0,8.456863,5.660052,0.0,9.857398,0.0,0.0,0.0,0.0,0.0
0.0,4.467252,5.8836775,0.0,4.0386796,0.0,0.0,0.0,1.3518318,0.0
0.0,8.239304,6.6122475,0.0,9.462511,0.0,0.0,0.0,3.9367392,0.0
0.0,5.448924,3.0793726,0.0,2.433601,0.0,0.0,0.0,10.267377,0.0
0.0,7.8468714,3.2623582,0.0,4.018586,0.0,0.0,0.0,10.772459,0.0
0.0,13.560994,10.196397,0.0,12.993695,0.0,0.0,0.0,5.7994432,0.0
0.0,1.6171907,2.9655712,0.0,2.3781059,0.0,0.0,0.0,7.952476,0.0
0.0,12.908024,6.9222174,0.0,12.207964,0.0,0.0,0.0,11.463263,0.0
0.0,6.7660723,1.9953965,0.0,3.0822268,0.0,0.0,0.0,12.484349,0.0
0.0,6.034112,2.3965433,0.0,5.7619586,0.0,0.0,0.0,8.6713915,0.0
0.0,8.213147,7.73748,0.0,9.71125,0.0,0.0,0.0,4.52895,0.0
0.0,2.3078718,2.5078726,0.0,1.9389684,0.0,0.0,0.0,5.937213,0.0
0.0,4.6773047,2.804855,0.0,6.892745,0.0,0.0,0.0,2.3481894,0.0
0.0,8.156069,10.017296,0.0,7.6772676,0.0,0.0,0.0,1.3086268,0.0
0.0,8.345248,5.48636,0.0,5.5004544,0.0,0.0,0.0,14.815037,0.0
0.0,8.545672,8.454179,0.0,8.11835,0.0,0.0,0.0,4.1470814,0.0
0.0,6.0549073,3.9790227,0.0,5.074436,0.0,0.0,0.0,1.714352,0.0
0.0,4.094163,1.8163329,0.0,0.6770291,0.0,0.0,0.0,7.5824256,0.0
0.0,4.642224,1.7049171,0.0,5.3227196,0.0,0.0,0.0,8.97378,0.0
0.0,10.808272,7.971079,0.0,11.993587,0.0,0.0,0.0,11.150079,0.0
0.0,4.275173,2.9934447,0.0,2.1221037,0.0,0.0,0.0,9.872533,0.0
0.0,6.017499,4.042653,0.0,1.7372738,0.0,0.0,0.0,9.1118145,0.0
0.0,6.9357677,2.0990365,0.0,4.5052166,0.0,0.0,0.0,11.42245,0.0
0.0,5.0500045,3.0594184,0.0,4.8544993,0.0,0.0,0.0,12.518481,0.0
0.0,4.3245482,8.605113,0.0,6.2116175,0.0,0.0,0.0,2.2426074,0.0
0.0,6.9495587,6.706417,0.0,10.401992,0.0,0.0,0.0,4.088883,0.0
0.0,4.5290184,6.149484,0.0,7.793453,0.0,0.0,0.0,4.3523836,0.0
0.0,1.2283812,3.1283214,0.0,1.4032608,0.0,0.0,0.0,3.5816014,0.0
0.0,5.8697124,3.9726167,0.0,5.3811913,0.0,0.0,0.0,13.784327,0.0
0.0,11.87424,7.3004904,0.0,12.756468,0.0,0.0,0.0,7.1023984,0.0
0.0,6.9697375,2.072533,0.0,4.376983,0.0,0.0,0.0,8.884795,0.0
0.0,13.435919,9.323348,0.0,11.445808,0.0,0.0,0.0,8.075719,0.0
0.0,11.219242,7.4856052,0.0,11.891615,0.0,0.0,0.0,7.480062,0.0
0.0,13.298263,9.294232,0.0,11.21254,0.0,0.0,0.0,12.282605,0.0
0.0,6.213805,2.2503343,0.0,2.1133833,0.0,0.0,0.0,10.074577,0.0
0.0,8.739187,6.403889,0.0,7.029259,0.0,0.0,0.0,4.270385,0.0
0.0,7.4364557,1.7538912,0.0,4.729174,0.0,0.0,0.0,8.352996,0.0
0.0,4.1069117,3.611804,0.0,3.377124,0.0,0.0,0.0,10.537464,0.0
0.0,5.6773915,6.3586535,0.0,7.0287347,0.0,0.0,0.0,2.1672716,0.0
0.0,6.411594,3.2308145,0.0,5.0451097,0.0,0.0,0.0,13.576312,0.0
0.0,7.408581,3.264767,0.0,5.6012206,0.0,0.0,0.0,10.906795,0.0
0.0,6.0972867,1.2333393,0.0,6.6444902,0.0,0.0,0.0,6.822374,0.0
0.0,12.159207,9.954526,0.0,11.256295,0.0,0.0,0.0,12.283223,0.0
0.0,3.9946682,2.371982,0.0,2.8422284,0.0,0.0,0.0,8.484399,0.0
