feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
5.8778167,0.0,6.6096344,2.3459363,6.8178983,5.7654147,5.48285,10.273729,0.0,0.0
6.5102744,0.0,7.150737,2.1522918,7.715405,4.358628,3.0819235,7.136576,0.0,0.0
3.4325097,0.0,3.968883,3.3620076,6.460205,2.0661738,3.5085053,8.043074,0.0,0.0
3.28673,0.0,7.8585796,1.8411058,6.8122535,4.950976,2.7983904,5.975057,0.0,0.0
7.234578,0.0,7.3768306,2.7779179,4.2662725,3.1635382,3.141896,7.2551837,0.0,0.0
4.7560434,0.0,8.269921,1.5069051,7.9212384,5.8982534,4.9011426,7.7990403,0.0,0.0
5.877384,0.0,8.145038,4.4253607,0.93866813,10.008205,4.7438984,3.8616374,0.0,0.0
5.517108,0.0,3.2248926,2.3508832,10.186057,6.1218443,7.6671414,5.5894337,0.0,0.0
5.242198,0.0,5.576113,2.663977,8.919493,4.639794,4.630286,8.609161,0.0,0.0
4.511363,0.0,4.842178,2.9234142,9.161476,5.295547,9.423721,4.6758394,0.0,0.0
4.0415683,0.0,7.4056287,3.2873542,3.633612,3.6166313,1.1070817,4.0426226,0.0,0.0
5.6488595,0.0,6.9290924,2.703536,3.8175142,9.358016,5.627238,6.055164,0.0,0.0
5.5208564,0.0,6.8004236,2.1735067,4.1545477,9.233268,4.8982906,5.691546,0.0,0.0
2.3960352,0.0,7.8892856,2.164349,5.9472203,4.016978,4.435769,8.514805,0.0,0.0
4.298279,0.0,6.9450407,1.3237352,7.526778,5.778219,3.2356398,7.2043414,0.0,0.0
3.9483693,0.0,7.6943502,2.6972709,7.2601385,5.9804163,4.256062,7.1228895,0.0,0.0
5.057582,0.0,6.573823,1.8777876,6.3284135,4.3940916,1.733857,7.3825483,0.0,0.0
5.290527,0.0,8.25247,4.00353,5.7841525,4.652803,4.931355,10.0002165,0.0,0.0
0.8673652,0.0,3.0050168,1.542081,7.3702073,3.4015331,5.6487255,0.81272376,0.0,0.0
6.0854826,0.0,5.015869,3.1153579,0.0,8.5158415,2.5734768,3.2987783,0.0,0.0
1.844034,0.0,5.7115397,1.8172284,5.827589,2.4900455,3.8841588,7.9526305,0.0,0.0
5.300874,0.0,0.5136758,3.5456014,8.06826,1.5522276,4.1666436,4.8690844,0.0,0.0
3.5538278,0.0,4.324256,3.41859,7.4844093,2.9630227,3.7998993,7.4128914,0.0,0.0
3.9275694,0.0,8.684872,4.0861206,6.8146863,4.8460574,3.9127293,9.639156,0.0,0.0
4.6940117,0.0,6.6734805,2.7104943,5.7402415,3.6785033,0.7683443,5.8057466,0.0,0.0
3.5565016,0.0,5.936996,4.521077,4.9417257,7.6959143,4.2917504,3.5494864,0.0,0.0
6.051178,0.0,5.800201,2.6621885,1.5512087,9.364863,4.475939,4.844576,0.0,0.0
2.816079,0.0,7.936194,2.9192839,5.018619,2.7513857,2.9740345,7.9226785,0.0,0.0
1.1013495,0.0,4.5800962,1.0978125,5.594332,1.3918234,3.9539344,5.885897,0.0,0.0
4.7134666,0.0,7.076108,3.0728629,3.5757618,10.017304,4.7176,4.9369173,0.0,0.0
6.399662,0.0,7.495251,1.932491,6.860511,5.623455,1.8973137,7.5605683,0.0,0.0
2.7006807,0.0,6.524381,1.9720051,4.966074,4.700062,1.7275372,7.6173797,0.0,0.0
5.819017,0.0,2.5329454,3.125799,10.1409855,5.3627605,5.815392,4.7270675,0.0,0.0
