feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
3.7749104,0.0,5.321257,0.0,0.0,0.0,0.0,5.585747,0.0,2.668292
9.256192,0.0,1.9855496,0.0,0.0,0.0,0.0,4.917385,0.0,6.246367
3.8271303,0.0,5.540385,0.0,0.0,0.0,0.0,4.5986934,0.0,4.754608
9.5648365,0.0,2.6544886,0.0,0.0,0.0,0.0,4.543114,0.0,7.4703293
8.00333,0.0,5.4163747,0.0,0.0,0.0,0.0,2.0088816,0.0,7.567893
7.1348867,0.0,1.2312566,0.0,0.0,0.0,0.0,6.285804,0.0,6.3461847
8.358857,0.0,4.1989274,0.0,0.0,0.0,0.0,5.7750072,0.0,7.980217
11.673259,0.0,7.0810905,0.0,0.0,0.0,0.0,2.8123941,0.0,8.041009
8.231256,0.0,4.8364787,0.0,0.0,0.0,0.0,8.305021,0.0,9.0765295
8.549078,0.0,3.7974613,0.0,0.0,0.0,0.0,1.7008798,0.0,7.2259226
11.451744,0.0,4.9238443,0.0,0.0,0.0,0.0,7.087815,0.0,8.689049
2.677927,0.0,5.0693417,0.0,0.0,0.0,0.0,5.9956083,0.0,2.602424
10.57431,0.0,3.9848013,0.0,0.0,0.0,0.0,1.1650826,0.0,8.9006605
6.3057556,0.0,3.6942077,0.0,0.0,0.0,0.0,4.880985,0.0,6.326672
10.583545,0.0,4.318819,0.0,0.0,0.0,0.0,3.3615997,0.0,8.66117
5.046209,0.0,6.0612063,0.0,0.0,0.0,0.0,6.73734,0.0,4.5971513
3.3177762,0.0,11.04422,0.0,0.0,0.0,0.0,3.3682494,0.0,4.756401
9.242665,0.0,2.5997012,0.0,0.0,0.0,0.0,5.0560255,0.0,10.372818
0.71741974,0.0,12.634695,0.0,0.0,0.0,0.0,4.0045404,0.0,6.162564
1.1823148,0.0,10.887746,0.0,0.0,0.0,0.0,3.3213682,0.0,3.9842992
7.9726043,0.0,1.620713,0.0,0.0,0.0,0.0,2.546612,0.0,5.8857565
6.4655385,0.0,3.496627,0.0,0.0,0.0,0.0,5.6772337,0.0,4.9028816
0.9287605,0.0,13.615386,0.0,0.0,0.0,0.0,5.4155054,0.0,5.712517
7.478677,0.0,2.2561345,0.0,0.0,0.0,0.0,6.2429,0.0,8.187764
1.225023,0.0,12.606767,0.0,0.0,0.0,0.0,5.2771835,0.0,6.7891097
9.474764,0.0,5.0590625,0.0,0.0,0.0,0.0,3.9108214,0.0,7.1424723
7.5115724,0.0,4.534786,0.0,0.0,0.0,0.0,2.7658927,0.0,7.448677
1.5741928,0.0,10.207732,0.0,0.0,0.0,0.0,7.000272,0.0,5.080496
8.006951,0.0,5.860316,0.0,0.0,0.0,0.0,4.3799605,0.0,9.618475
3.5826392,0.0,13.242196,0.0,0.0,0.0,0.0,8.676865,0.0,7.148836
4.2331686,0.0,11.251856,0.0,0.0,0.0,0.0,5.9805117,0.0,5.8032002
7.076467,0.0,2.4243305,0.0,0.0,0.0,0.0,2.7782555,0.0,9.545833
1.4603827,0.0,6.4634504,0.0,0.0,0.0,0.0,3.2289305,0.0,2.791436
3.4911127,0.0,11.889812,0.0,0.0,0.0,0.0,7.250692,0.0,6.158776
11.229199,0.0,7.185739,0.0,0.0,0.0,0.0,3.3575292,0.0,9.052632
0.5132905,0.0,10.804996,0.0,0.0,0.0,0.0,4.5902357,0.0,2.8655124
3.5600293,0.0,2.1282585,0.0,0.0,0.0,0.0,3.703025,0.0,1.2445867
8.870225,0.0,4.1449137,0.0,0.0,0.0,0.0,0.0,0.0,7.071512
4.6188464,0.0,11.01426,0.0,0.0,0.0,0.0,5.9128237,0.0,5.1813803
8.968473,0.0,3.9246383,0.0,0.0,0.0,0.0,1.6111664,0.0,6.7401476
10.259789,0.0,2.6675396,0.0,0.0,0.0,0.0,3.9429586,0.0,9.018378
9.732635,0.0,3.7974477,0.0,0.0,0.0,0.0,3.7319314,0.0,6.0119896
7.2590933,0.0,2.5051322,0.0,0.0,0.0,0.0,3.7668383,0.0,7.5343223
3.13898,0.0,4.545521,0.0,0.0,0.0,0.0,4.470253,0.0,5.094079
6.7554874,0.0,1.2554195,0.0,0.0,0.0,0.0,3.9490232,0.0,5.0639553
8.647353,0.0,3.118192,0.0,0.0,0.0,0.0,1.7741215,0.0,6.8530035
1.7460566,0.0,13.051158,0.0,0.0,0.0,0.0,3.5122712,0.0,3.261699
3.6300068,0.0,12.304401,0.0,0.0,0.0,0.0,7.5477896,0.0,6.465116
2.0849717,0.0,10.687927,0.0,0.0,0.0,0.0,5.143532,0.0,6.2251515
1.7250642,0.0,13.337522,0.0,0.0,0.0,0.0,7.426075,0.0,6.925855
8.80865,0.0,3.8069067,0.0,0.0,0.0,0.0,2.1351655,0.0,4.9236298
10.293219,0.0,4.812319,0.0,0.0,0.0,0.0,5.386202,0.0,7.1467557
6.5978417,0.0,1.9950491,0.0,0.0,0.0,0.0,5.6998196,0.0,5.0082717
1.8222905,0.0,6.0460563,0.0,0.0,0.0,0.0,6.530157,0.0,4.067708
8.440484,0.0,3.9712029,0.0,0.0,0.0,0.0,0.97680455,0.0,9.598323
2.3550842,0.0,10.016902,0.0,0.0,0.0,0.0,6.534357,0.0,7.597215
2.0292804,0.0,7.1633377,0.0,0.0,0.0,0.0,5.994897,0.0,1.7787161
3.0540717,0.0,11.754372,0.0,0.0,0.0,0.0,5.1379766,0.0,3.209764
10.176957,0.0,1.4102423,0.0,0.0,0.0,0.0,2.8807304,0.0,6.539161
8.787306,0.0,4.8205523,0.0,0.0,0.0,0.0,6.1516056,0.0,8.475497
1.1696066,0.0,10.106294,0.0,0.0,0.0,0.0,1.9788712,0.0,3.2320948
7.8134217,0.0,0.41022593,0.0,0.0,0.0,0.0,2.763328,0.0,7.380943
2.165458,0.0,9.623182,0.0,0.0,0.0,0.0,6.907044,0.0,3.2929173
4.3497343,0.0,6.516004,0.0,0.0,0.0,0.0,8.413528,0.0,8.77544
7.286316,0.0,2.117279,0.0,0.0,0.0,0.0,0.13503897,0.0,7.308743
10.607126,0.0,4.5687513,0.0,0.0,0.0,0.0,3.45389,0.0,9.80162
2.564814,0.0,6.739348,0.0,0.0,0.0,0.0,7.450797,0.0,4.595756
6.065664,0.0,1.3926439,0.0,0.0,0.0,0.0,5.7583914,0.0,7.7252026
11.125131,0.0,4.4884286,0.0,0.0,0.0,0.0,0.881954,0.0,7.573558
7.416796,0.0,4.015468,0.0,0.0,0.0,0.0,5.1297555,0.0,6.4454646
2.0600452,0.0,2.0192883,0.0,0.0,0.0,0.0,3.5882797,0.0,1.4606558
