feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
2.8112454,0.0,0.0,0.0,0.0,0.0,6.311793,7.2197466,8.386553,0.0
4.245553,0.0,0.0,0.0,0.0,0.0,6.3866954,5.323876,10.098818,0.0
3.323381,0.0,0.0,0.0,0.0,0.0,5.0118003,6.1084323,0.0,0.0
6.0415306,0.0,0.0,0.0,0.0,0.0,2.556919,3.458601,8.982216,0.0
4.2136707,0.0,0.0,0.0,0.0,0.0,4.827442,9.832196,6.0512805,0.0
3.9598808,0.0,0.0,0.0,0.0,0.0,7.7531376,6.4806366,8.60476,0.0
4.6895905,0.0,0.0,0.0,0.0,0.0,4.979586,4.333812,7.833458,0.0
2.3379467,0.0,0.0,0.0,0.0,0.0,2.4965758,5.3483067,7.4667416,0.0
1.5976709,0.0,0.0,0.0,0.0,0.0,3.1854937,2.9947863,7.2021704,0.0
4.0287976,0.0,0.0,0.0,0.0,0.0,6.563302,6.9291697,0.06665424,0.0
4.7954884,0.0,0.0,0.0,0.0,0.0,4.3402905,0.36418536,6.7763133,0.0
3.6878686,0.0,0.0,0.0,0.0,0.0,4.225659,9.227939,1.4987631,0.0
4.5701594,0.0,0.0,0.0,0.0,0.0,3.7971847,7.036866,8.698613,0.0
5.029981,0.0,0.0,0.0,0.0,0.0,6.1938868,4.7781625,3.4536502,0.0
2.0855649,0.0,0.0,0.0,0.0,0.0,4.5185986,4.805493,1.8877643,0.0
4.696099,0.0,0.0,0.0,0.0,0.0,8.115729,10.146623,2.669532,0.0
2.7465398,0.0,0.0,0.0,0.0,0.0,1.2268002,6.6595182,7.1434345,0.0
4.6288314,0.0,0.0,0.0,0.0,0.0,1.9423816,5.242862,8.275334,0.0
2.7161002,0.0,0.0,0.0,0.0,0.0,6.4475775,5.064748,10.597332,0.0
3.4848564,0.0,0.0,0.0,0.0,0.0,2.8903267,5.989695,7.52819,0.0
0.53059566,0.0,0.0,0.0,0.0,0.0,3.0137877,2.327818,3.590598,0.0
2.1298792,0.0,0.0,0.0,0.0,0.0,7.1574616,10.423784,2.8935962,0.0
4.1149735,0.0,0.0,0.0,0.0,0.0,6.2017956,10.952796,6.6736455,0.0
0.932446,0.0,0.0,0.0,0.0,0.0,2.0328982,4.4458075,7.4042583,0.0
5.485145,0.0,0.0,0.0,0.0,0.0,8.489287,9.730883,3.4268298,0.0
2.9175563,0.0,0.0,0.0,0.0,0.0,4.7994275,7.7369905,10.962213,0.0
1.9487344,0.0,0.0,0.0,0.0,0.0,4.723316,6.239057,2.3480973,0.0
1.7491988,0.0,0.0,0.0,0.0,0.0,3.999097,8.479252,4.9874663,0.0
5.870278,0.0,0.0,0.0,0.0,0.0,6.938507,6.3034096,4.655032,0.0
3.6809309,0.0,0.0,0.0,0.0,0.0,4.3760195,7.3312116,9.568725,0.0
5.2731824,0.0,0.0,0.0,0.0,0.0,3.8837914,8.468281,4.141977,0.0
3.9766133,0.0,0.0,0.0,0.0,0.0,3.8550737,5.422904,1.358533,0.0
2.0119643,0.0,0.0,0.0,0.0,0.0,3.7448711,1.4722241,4.0110617,0.0
2.3511426,0.0,0.0,0.0,0.0,0.0,2.6787865,5.980449,7.858553,0.0
2.9198196,0.0,0.0,0.0,0.0,0.0,2.0486715,6.339609,7.439348,0.0
0.58279824,0.0,0.0,0.0,0.0,0.0,4.6686287,6.4757314,2.4598033,0.0
4.6577206,0.0,0.0,0.0,0.0,0.0,3.6288006,6.6022935,10.71611,0.0
4.6121116,0.0,0.0,0.0,0.0,0.0,5.943533,8.052872,3.6937149,0.0
4.6609573,0.0,0.0,0.0,0.0,0.0,5.0071855,6.492784,10.120706,0.0
3.473408,0.0,0.0,0.0,0.0,0.0,5.605472,9.649489,2.038656,0.0
1.8559204,0.0,0.0,0.0,0.0,0.0,3.2341738,7.9734178,4.5059004,0.0
2.387623,0.0,0.0,0.0,0.0,0.0,2.4374669,2.0763268,6.3978095,0.0
4.1758866,0.0,0.0,0.0,0.0,0.0,5.872944,8.35479,0.93471235,0.0
5.7833123,0.0,0.0,0.0,0.0,0.0,4.7577577,5.947112,9.328496,0.0
2.439559,0.0,0.0,0.0,0.0,0.0,3.5104702,5.357882,8.412338,0.0
1.9891366,0.0,0.0,0.0,0.0,0.0,0.38846615,3.6936207,6.5794945,0.0
3.4270117,0.0,0.0,0.0,0.0,0.0,4.735882,4.770042,10.898749,0.0
3.1887002,0.0,0.0,0.0,0.0,0.0,3.9917316,8.196809,4.8622355,0.0
2.726458,0.0,0.0,0.0,0.0,0.0,4.5660286,1.9740087,5.268741,0.0
2.0462475,0.0,0.0,0.0,0.0,0.0,0.45307663,4.2981076,7.507913,0.0
2.485975,0.0,0.0,0.0,0.0,0.0,5.4700036,7.0753956,2.69406,0.0
3.1986625,0.0,0.0,0.0,0.0,0.0,3.3837337,10.47426,4.276979,0.0
2.1492076,0.0,0.0,0.0,0.0,0.0,6.758446,5.4801054,6.902091,0.0
1.3035688,0.0,0.0,0.0,0.0,0.0,5.222406,4.31078,5.7474213,0.0
6.9593234,0.0,0.0,0.0,0.0,0.0,7.133863,6.0347853,8.520425,0.0
5.172449,0.0,0.0,0.0,0.0,0.0,6.7156262,6.0588775,8.536195,0.0
3.7348254,0.0,0.0,0.0,0.0,0.0,4.7208257,4.9989014,8.147059,0.0
0.6865015,0.0,0.0,0.0,0.0,0.0,5.16446,5.8537445,1.7851925,0.0
2.4255595,0.0,0.0,0.0,0.0,0.0,3.1278348,3.0468771,0.5113161,0.0
1.3669636,0.0,0.0,0.0,0.0,0.0,2.1336143,3.1344714,6.9342017,0.0
