feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
7.863727,0.0,8.653611,2.7581081,0.0,4.528851,0.0,0.0,0.0,3.58228
2.5733194,0.0,2.354484,2.7840989,0.0,3.155225,0.0,0.0,0.0,6.771296
3.7428548,0.0,2.6199317,4.6037936,0.0,3.6850617,0.0,0.0,0.0,7.9547815
2.6576202,0.0,5.629469,1.3604945,0.0,3.8704906,0.0,0.0,0.0,6.5839925
3.238014,0.0,3.6083088,3.7336044,0.0,3.9071312,0.0,0.0,0.0,7.475805
2.0900114,0.0,1.0414538,3.6240923,0.0,1.90375,0.0,0.0,0.0,0.24786489
2.3450506,0.0,2.9726467,5.2758455,0.0,5.991901,0.0,0.0,0.0,8.64329
1.6875694,0.0,3.0672169,3.211234,0.0,1.077515,0.0,0.0,0.0,5.80682
6.5866466,0.0,6.9840355,5.112767,0.0,4.713337,0.0,0.0,0.0,1.9723377
6.48471,0.0,8.495598,8.136133,0.0,6.6949472,0.0,0.0,0.0,11.684656
2.1491888,0.0,6.243948,5.698429,0.0,4.427627,0.0,0.0,0.0,8.793095
3.1282032,0.0,5.7237606,5.7233105,0.0,2.7062747,0.0,0.0,0.0,6.729833
6.1466155,0.0,6.833156,5.7609406,0.0,7.0028925,0.0,0.0,0.0,7.396041
2.4676192,0.0,2.0130074,4.1515555,0.0,4.339791,0.0,0.0,0.0,4.516363
5.482345,0.0,3.3259737,5.4160357,0.0,4.148652,0.0,0.0,0.0,2.5755095
5.1333866,0.0,5.307142,1.0785259,0.0,0.7121077,0.0,0.0,0.0,2.6245663
3.3386068,0.0,5.497207,4.7578635,0.0,3.576039,0.0,0.0,0.0,4.6208577
5.4558086,0.0,5.90388,2.829935,0.0,1.4153652,0.0,0.0,0.0,2.0861938
7.1799784,0.0,5.1312094,4.2090235,0.0,3.4357057,0.0,0.0,0.0,2.0050275
2.6942575,0.0,3.0794048,3.672817,0.0,4.402758,0.0,0.0,0.0,7.6940494
3.0091314,0.0,5.7572727,1.8413848,0.0,5.1983438,0.0,0.0,0.0,7.0451965
1.6563627,0.0,2.1268656,6.8289576,0.0,3.5787704,0.0,0.0,0.0,1.4884523
1.4512994,0.0,6.497732,3.5747333,0.0,4.868342,0.0,0.0,0.0,6.6725116
5.653858,0.0,5.902144,5.294493,0.0,3.897807,0.0,0.0,0.0,6.726395
6.1756654,0.0,2.811747,4.702728,0.0,7.897623,0.0,0.0,0.0,4.472727
5.5363603,0.0,3.8985999,2.6862135,0.0,1.8579435,0.0,0.0,0.0,0.0
7.1005106,0.0,8.050924,4.12524,0.0,2.4076579,0.0,0.0,0.0,4.2310443
5.561564,0.0,5.5179586,4.8504624,0.0,5.600685,0.0,0.0,0.0,10.503176
5.331101,0.0,7.259387,5.697735,0.0,5.6971517,0.0,0.0,0.0,10.094474
5.230739,0.0,7.863816,7.7714596,0.0,5.221261,0.0,0.0,0.0,9.196182
3.3686388,0.0,4.2009916,1.7765186,0.0,2.0317736,0.0,0.0,0.0,7.7304873
5.0404224,0.0,5.1651416,3.7120788,0.0,2.8481822,0.0,0.0,0.0,7.0038414
7.62053,0.0,3.831521,3.35405,0.0,1.1444927,0.0,0.0,0.0,2.78497
0.0,0.0,4.126177,3.1192684,0.0,2.2929163,0.0,0.0,0.0,1.6577336
2.6067321,0.0,3.2992404,1.8890182,0.0,5.928938,0.0,0.0,0.0,5.986476
5.4967303,0.0,4.7179613,4.167525,0.0,3.9225843,0.0,0.0,0.0,6.830855
5.931916,0.0,7.37182,5.520035,0.0,7.116313,0.0,0.0,0.0,10.9133835
5.4148865,0.0,4.6290545,5.6364384,0.0,3.7957456,0.0,0.0,0.0,9.754334
