feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,7.428244,12.197765,0.0,0.0,2.333308,1.3796922,0.0,0.0,0.0
0.0,4.8504367,4.7470384,0.0,0.0,4.7459984,1.8674952,0.0,0.0,0.0
0.0,2.272807,2.5800154,0.0,0.0,3.0220954,5.3009562,0.0,0.0,0.0
0.0,5.085045,3.7015648,0.0,0.0,3.5514565,0.962328,0.0,0.0,0.0
0.0,4.221642,4.0410604,0.0,0.0,5.0032535,5.980084,0.0,0.0,0.0
0.0,4.081348,0.94988877,0.0,0.0,2.2439861,4.573017,0.0,0.0,0.0
0.0,2.5177758,7.3851852,0.0,0.0,2.554542,6.580285,0.0,0.0,0.0
0.0,5.7442455,12.013873,0.0,0.0,2.2606094,0.0,0.0,0.0,0.0
0.0,4.458245,4.5215282,0.0,0.0,3.4411418,6.1554317,0.0,0.0,0.0
0.0,5.5069275,11.924551,0.0,0.0,4.228394,5.6430674,0.0,0.0,0.0
0.0,3.4572709,6.895722,0.0,0.0,4.8831224,6.862441,0.0,0.0,0.0
0.0,6.686107,6.670861,0.0,0.0,5.3382325,2.9816709,0.0,0.0,0.0
0.0,5.6890736,5.3508916,0.0,0.0,6.6494937,6.0906672,0.0,0.0,0.0
0.0,3.348001,4.2121534,0.0,0.0,3.9875915,4.562976,0.0,0.0,0.0
0.0,6.1742706,2.958646,0.0,0.0,3.6783977,4.5172706,0.0,0.0,0.0
0.0,3.2883677,1.6068199,0.0,0.0,1.6899513,2.724655,0.0,0.0,0.0
0.0,5.5484633,4.3700156,0.0,0.0,2.2278287,1.5640018,0.0,0.0,0.0
0.0,2.524214,0.5196257,0.0,0.0,1.6196508,2.5393481,0.0,0.0,0.0
0.0,5.8834314,5.65315,0.0,0.0,3.9044619,2.96231,0.0,0.0,0.0
0.0,5.973565,7.6188974,0.0,0.0,4.7679515,1.716356,0.0,0.0,0.0
0.0,7.0080075,6.836325,0.0,0.0,4.953856,3.4048264,0.0,0.0,0.0
0.0,2.4881713,0.575152,0.0,0.0,2.5839357,2.202197,0.0,0.0,0.0
0.0,4.1530056,5.4751563,0.0,0.0,1.8716213,1.7818964,0.0,0.0,0.0
0.0,5.347269,4.7064915,0.0,0.0,4.5262456,7.221891,0.0,0.0,0.0
0.0,4.5170317,4.7230425,0.0,0.0,3.9560895,1.6631019,0.0,0.0,0.0
0.0,4.1123743,6.4245653,0.0,0.0,3.708498,2.1838088,0.0,0.0,0.0
0.0,3.9411056,3.0759866,0.0,0.0,3.3077638,1.9866086,0.0,0.0,0.0
0.0,4.121367,6.2075715,0.0,0.0,1.8556445,1.9120176,0.0,0.0,0.0
0.0,7.8330975,6.963717,0.0,0.0,4.8693914,4.3339963,0.0,0.0,0.0
0.0,4.9509883,3.7807727,0.0,0.0,1.6258032,3.0072963,0.0,0.0,0.0
0.0,4.1381755,9.163786,0.0,0.0,5.522381,3.6575575,0.0,0.0,0.0
0.0,5.274153,4.8643,0.0,0.0,1.8575443,2.7863147,0.0,0.0,0.0
0.0,6.7723107,13.485168,0.0,0.0,6.349207,6.0417814,0.0,0.0,0.0
0.0,5.8318214,5.3683157,0.0,0.0,3.9097152,6.678169,0.0,0.0,0.0
0.0,2.7353475,6.124228,0.0,0.0,5.7422757,5.2520423,0.0,0.0,0.0
0.0,5.221175,4.0805435,0.0,0.0,1.8134873,1.5339165,0.0,0.0,0.0
0.0,6.2241273,12.542148,0.0,0.0,3.6500294,5.462344,0.0,0.0,0.0
0.0,3.513823,5.223814,0.0,0.0,2.278439,0.96158695,0.0,0.0,0.0
0.0,6.2036386,4.452979,0.0,0.0,2.7117875,2.0965471,0.0,0.0,0.0
0.0,4.8642416,7.2363744,0.0,0.0,4.7779865,3.5264723,0.0,0.0,0.0
0.0,3.2503433,1.0313427,0.0,0.0,1.5297847,3.0798967,0.0,0.0,0.0
0.0,5.7482214,5.575465,0.0,0.0,3.976313,2.5283778,0.0,0.0,0.0
0.0,3.5720582,4.410266,0.0,0.0,4.069901,0.79112077,0.0,0.0,0.0
0.0,3.2015638,0.4858351,0.0,0.0,3.3401968,2.8894956,0.0,0.0,0.0
0.0,3.4422858,6.564658,0.0,0.0,4.8806167,6.5131974,0.0,0.0,0.0
0.0,6.6318464,0.8942105,0.0,0.0,4.9612103,7.5802474,0.0,0.0,0.0
0.0,3.6502094,0.30669686,0.0,0.0,3.335917,3.272052,0.0,0.0,0.0
0.0,5.265459,2.722948,0.0,0.0,3.2316737,3.5683022,0.0,0.0,0.0
0.0,6.5748744,5.8663406,0.0,0.0,4.524545,2.8714027,0.0,0.0,0.0
0.0,4.7901454,4.8759785,0.0,0.0,4.4232106,5.643623,0.0,0.0,0.0
0.0,2.404881,0.4323186,0.0,0.0,2.5625503,4.405552,0.0,0.0,0.0
0.0,5.4261923,5.688161,0.0,0.0,6.0797606,5.658026,0.0,0.0,0.0
0.0,4.9358897,5.0671196,0.0,0.0,1.9647233,2.0314918,0.0,0.0,0.0
0.0,7.370318,5.3269925,0.0,0.0,4.3853345,3.7524755,0.0,0.0,0.0
0.0,5.3759055,3.9454,0.0,0.0,2.7922938,3.6071577,0.0,0.0,0.0
0.0,3.6935048,8.126654,0.0,0.0,6.927187,5.855708,0.0,0.0,0.0
0.0,3.2763588,0.23663083,0.0,0.0,2.788724,0.0,0.0,0.0,0.0
0.0,2.0254438,3.7185585,0.0,0.0,2.2079725,4.4859066,0.0,0.0,0.0
0.0,1.3789794,0.080369726,0.0,0.0,2.594576,3.1647725,0.0,0.0,0.0
0.0,5.766109,4.97955,0.0,0.0,0.8314504,2.8202791,0.0,0.0,0.0
0.0,8.042564,3.8231122,0.0,0.0,2.9551408,3.190148,0.0,0.0,0.0
0.0,6.368648,6.6044145,0.0,0.0,2.0058677,3.3940413,0.0,0.0,0.0
0.0,5.609983,8.628972,0.0,0.0,4.190639,4.3558125,0.0,0.0,0.0
0.0,6.1796527,6.5176177,0.0,0.0,4.4703264,2.63109,0.0,0.0,0.0
0.0,7.298009,6.322225,0.0,0.0,4.343606,4.283551,0.0,0.0,0.0
0.0,0.13459872,4.310162,0.0,0.0,3.226291,4.934109,0.0,0.0,0.0
0.0,2.971761,4.1632524,0.0,0.0,1.9426359,5.454406,0.0,0.0,0.0
0.0,7.987007,12.94468,0.0,0.0,4.054653,2.1756124,0.0,0.0,0.0
0.0,6.20662,4.2116466,0.0,0.0,4.9494357,1.5497092,0.0,0.0,0.0
0.0,5.4636383,9.490869,0.0,0.0,5.4473023,7.5075274,0.0,0.0,0.0
0.0,5.112873,6.3825564,0.0,0.0,3.8185456,1.7469441,0.0,0.0,0.0
0.0,3.058336,10.61545,0.0,0.0,3.81197,3.7155595,0.0,0.0,0.0
0.0,5.9036527,8.330442,0.0,0.0,4.7928324,4.8974104,0.0,0.0,0.0
0.0,3.8962934,4.943818,0.0,0.0,3.0604193,1.6668866,0.0,0.0,0.0
0.0,5.7484026,5.314502,0.0,0.0,4.775022,6.9190364,0.0,0.0,0.0
0.0,4.5378113,11.640275,0.0,0.0,6.613957,3.9010234,0.0,0.0,0.0
0.0,3.8423357,4.357195,0.0,0.0,4.2719655,1.0383049,0.0,0.0,0.0
0.0,4.507166,3.2713685,0.0,0.0,2.4589717,2.8278153,0.0,0.0,0.0
0.0,3.6045954,7.6492496,0.0,0.0,2.2706869,3.366256,0.0,0.0,0.0
0.0,6.682419,3.1899164,0.0,0.0,4.213122,4.6448317,0.0,0.0,0.0
0.0,2.657638,8.251572,0.0,0.0,2.7105584,5.3945055,0.0,0.0,0.0
0.0,6.559839,3.0052207,0.0,0.0,5.1556973,1.6740713,0.0,0.0,0.0
0.0,1.8539861,1.336146,0.0,0.0,0.96294373,1.7948414,0.0,0.0,0.0
0.0,4.200684,3.3834388,0.0,0.0,2.94721,0.3702389,0.0,0.0,0.0
0.0,2.0769732,2.9041643,0.0,0.0,2.6365995,5.956376,0.0,0.0,0.0
0.0,5.6118813,5.470755,0.0,0.0,3.390239,2.8351843,0.0,0.0,0.0
0.0,4.29813,3.028551,0.0,0.0,3.0345788,3.0584764,0.0,0.0,0.0
0.0,6.650681,5.9973373,0.0,0.0,5.0318666,2.6115985,0.0,0.0,0.0
0.0,4.146739,9.300715,0.0,0.0,2.085099,6.0463862,0.0,0.0,0.0
0.0,4.4078074,5.2470555,0.0,0.0,2.3157673,6.0898933,0.0,0.0,0.0
0.0,4.099857,11.677432,0.0,0.0,4.728193,3.549842,0.0,0.0,0.0
0.0,6.3918667,5.924455,0.0,0.0,5.5205145,2.8229027,0.0,0.0,0.0
0.0,3.0059943,4.599836,0.0,0.0,2.5737202,0.4946788,0.0,0.0,0.0
0.0,7.3389006,6.7712283,0.0,0.0,2.7309506,4.201015,0.0,0.0,0.0
0.0,6.826437,3.6881537,0.0,0.0,4.508466,4.8859787,0.0,0.0,0.0
0.0,6.9664726,6.9703436,0.0,0.0,6.431795,2.7772386,0.0,0.0,0.0
0.0,5.115526,4.8844476,0.0,0.0,4.944247,2.0509548,0.0,0.0,0.0
0.0,5.2042646,5.5635843,0.0,0.0,6.0210958,5.4538746,0.0,0.0,0.0
0.0,7.6050196,12.714412,0.0,0.0,5.75966,1.2047968,0.0,0.0,0.0
0.0,6.101976,9.520356,0.0,0.0,3.6619809,1.3378776,0.0,0.0,0.0
0.0,0.35781735,8.130814,0.0,0.0,2.0717516,3.195422,0.0,0.0,0.0
0.0,2.5475528,4.123022,0.0,0.0,3.433976,3.6791713,0.0,0.0,0.0
0.0,6.269312,2.215314,0.0,0.0,3.595979,4.913877,0.0,0.0,0.0
0.0,2.6397183,1.5547979,0.0,0.0,3.375864,1.6585577,0.0,0.0,0.0
0.0,5.438529,6.002778,0.0,0.0,4.264604,2.4070377,0.0,0.0,0.0
0.0,3.3568187,2.930127,0.0,0.0,2.5276518,6.50626,0.0,0.0,0.0
0.0,7.34189,2.4627264,0.0,0.0,3.4274135,5.3394713,0.0,0.0,0.0
0.0,3.76601,4.0795164,0.0,0.0,4.711276,5.124923,0.0,0.0,0.0
0.0,2.0163348,7.361762,0.0,0.0,4.2685914,4.2171664,0.0,0.0,0.0
0.0,5.681192,6.3005166,0.0,0.0,3.0602808,6.792592,0.0,0.0,0.0
0.0,5.936216,5.684109,0.0,0.0,3.255441,3.0003543,0.0,0.0,0.0
0.0,4.3807006,6.451154,0.0,0.0,1.2838206,0.7210764,0.0,0.0,0.0
0.0,3.5917785,3.139492,0.0,0.0,2.626341,1.953838,0.0,0.0,0.0
0.0,5.4273663,5.24757,0.0,0.0,3.512413,2.451013,0.0,0.0,0.0
0.0,6.3169565,11.7198105,0.0,0.0,4.0880833,0.0,0.0,0.0,0.0
0.0,6.4067664,6.0888014,0.0,0.0,3.2487469,3.658797,0.0,0.0,0.0
0.0,4.514723,6.5219765,0.0,0.0,3.598365,2.9524784,0.0,0.0,0.0
0.0,5.195696,1.9995762,0.0,0.0,2.658545,4.8873415,0.0,0.0,0.0
0.0,0.4573459,7.8026752,0.0,0.0,2.8823256,2.7477837,0.0,0.0,0.0
0.0,2.2626357,3.821152,0.0,0.0,1.9822015,4.7398524,0.0,0.0,0.0
0.0,5.4696,4.756934,0.0,0.0,5.0497804,7.943823,0.0,0.0,0.0
0.0,3.1828861,3.659308,0.0,0.0,2.552255,5.8123107,0.0,0.0,0.0
0.0,3.255288,2.969244,0.0,0.0,3.2732832,6.4937825,0.0,0.0,0.0
0.0,3.6414247,5.818782,0.0,0.0,3.7617905,5.348701,0.0,0.0,0.0
0.0,3.8930995,0.0,0.0,0.0,0.78920275,0.79862005,0.0,0.0,0.0
0.0,6.2480116,7.9494376,0.0,0.0,4.636764,1.9156525,0.0,0.0,0.0
0.0,0.44175023,7.050077,0.0,0.0,3.2175908,3.3914526,0.0,0.0,0.0
0.0,6.38837,5.099547,0.0,0.0,4.9213467,2.8687716,0.0,0.0,0.0
0.0,4.0514126,4.310477,0.0,0.0,2.8845751,1.714424,0.0,0.0,0.0
0.0,3.9881542,2.4811876,0.0,0.0,2.8121946,3.247484,0.0,0.0,0.0
0.0,3.4195614,3.3922145,0.0,0.0,3.8637612,5.6572156,0.0,0.0,0.0
0.0,3.5711064,3.6393747,0.0,0.0,3.946872,5.9611516,0.0,0.0,0.0
0.0,4.832089,6.322179,0.0,0.0,3.6539314,1.5990751,0.0,0.0,0.0
0.0,5.6361117,7.579003,0.0,0.0,4.2980986,1.4980861,0.0,0.0,0.0
0.0,2.797419,3.9270444,0.0,0.0,2.8185165,4.668713,0.0,0.0,0.0
0.0,1.3802837,10.242793,0.0,0.0,3.4877794,2.256309,0.0,0.0,0.0
0.0,3.3345678,6.7762094,0.0,0.0,2.3413777,3.1285136,0.0,0.0,0.0
0.0,5.473745,3.4523833,0.0,0.0,4.8944387,7.3429284,0.0,0.0,0.0
0.0,6.051438,5.324381,0.0,0.0,5.0570135,2.369668,0.0,0.0,0.0
0.0,2.6408966,2.4533145,0.0,0.0,1.7083126,1.5697192,0.0,0.0,0.0
0.0,2.770927,4.0445776,0.0,0.0,7.118485,5.4671907,0.0,0.0,0.0
0.0,9.166773,13.44114,0.0,0.0,5.7660203,2.2505355,0.0,0.0,0.0
0.0,1.965951,8.199544,0.0,0.0,3.9409614,4.2471795,0.0,0.0,0.0
0.0,4.698431,2.5855463,0.0,0.0,3.4612663,3.2432458,0.0,0.0,0.0
0.0,5.482847,10.476055,0.0,0.0,7.4302726,6.345814,0.0,0.0,0.0
0.0,3.9349282,0.36373428,0.0,0.0,3.1262908,0.4822498,0.0,0.0,0.0
0.0,5.636342,5.3164687,0.0,0.0,3.720096,2.5544684,0.0,0.0,0.0
0.0,3.0135188,3.6995645,0.0,0.0,5.161001,3.9597287,0.0,0.0,0.0
0.0,7.7115088,4.0316896,0.0,0.0,1.7313583,3.107763,0.0,0.0,0.0
0.0,2.2460024,0.24909934,0.0,0.0,2.905067,2.1381726,0.0,0.0,0.0
0.0,10.062178,12.179747,0.0,0.0,3.7620893,3.6100442,0.0,0.0,0.0
0.0,6.044115,3.6517742,0.0,0.0,3.2574067,1.7274888,0.0,0.0,0.0
0.0,8.004671,4.813985,0.0,0.0,3.7090073,3.0611012,0.0,0.0,0.0
0.0,6.1326556,8.152417,0.0,0.0,6.424249,4.542725,0.0,0.0,0.0
0.0,1.4046222,3.5377488,0.0,0.0,1.8998297,3.6246548,0.0,0.0,0.0
0.0,4.2556725,9.389622,0.0,0.0,5.2768893,6.614805,0.0,0.0,0.0
0.0,4.6172748,4.799378,0.0,0.0,4.2710757,5.549631,0.0,0.0,0.0
0.0,0.6181572,7.7703032,0.0,0.0,2.1382596,4.241493,0.0,0.0,0.0
0.0,5.375346,5.6198077,0.0,0.0,1.7213963,2.9642994,0.0,0.0,0.0
0.0,10.08085,8.616938,0.0,0.0,3.4534125,5.289412,0.0,0.0,0.0
0.0,4.1998076,11.346257,0.0,0.0,4.3741865,5.0949216,0.0,0.0,0.0
0.0,4.9880776,8.058273,0.0,0.0,5.375964,3.4574206,0.0,0.0,0.0
0.0,4.1979904,0.393478,0.0,0.0,3.30983,0.6703078,0.0,0.0,0.0
