feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
1.34994,0.0,1.4825219,4.6109405,0.0,4.75664,5.236688,0.0,0.0,3.4634225
3.0942576,0.0,2.9296703,4.13507,0.0,4.0357294,5.9068813,0.0,0.0,5.7354026
6.013483,0.0,9.129678,2.780038,0.0,3.0631177,8.250105,0.0,0.0,5.072654
5.816096,0.0,4.2037754,0.38746345,0.0,3.4509423,4.1449833,0.0,0.0,4.2070017
1.4601415,0.0,3.082791,0.4546613,0.0,2.362988,5.187656,0.0,0.0,4.67576
5.830152,0.0,3.1642132,6.081498,0.0,3.9306865,6.7106323,0.0,0.0,7.376939
3.3820124,0.0,3.0943897,4.615966,0.0,5.814534,4.158817,0.0,0.0,4.5400724
5.2689495,0.0,3.6914976,5.6157875,0.0,3.6387315,7.072355,0.0,0.0,6.4199653
4.3752427,0.0,3.5547197,5.367672,0.0,2.982941,9.376584,0.0,0.0,4.427121
2.93436,0.0,0.90160567,4.841305,0.0,3.347641,4.8981695,0.0,0.0,3.9119728
4.7715898,0.0,1.9538519,3.7301974,0.0,2.2390966,4.6802588,0.0,0.0,4.118531
3.2269912,0.0,4.0414124,1.7465258,0.0,2.8810263,6.641151,0.0,0.0,5.9951873
5.0828977,0.0,3.939919,5.2394996,0.0,5.105378,7.0012565,0.0,0.0,8.327325
3.3011684,0.0,0.69925773,2.6623285,0.0,2.0389526,5.328352,0.0,0.0,3.2677255
4.40685,0.0,3.7140503,3.654628,0.0,4.3719006,5.0776653,0.0,0.0,4.660858
5.78975,0.0,5.607594,6.1358576,0.0,6.390875,5.9148293,0.0,0.0,5.8843164
5.4454236,0.0,3.1035783,3.2141602,0.0,4.2377386,3.5136988,0.0,0.0,5.650568
4.4827437,0.0,3.079331,4.587865,0.0,3.1740851,8.199484,0.0,0.0,4.515269
2.0693622,0.0,2.9797463,3.3848498,0.0,2.0805955,4.428444,0.0,0.0,4.31588
4.642638,0.0,3.678909,5.497054,0.0,3.3950875,7.0926332,0.0,0.0,5.5291386
5.60469,0.0,2.748637,2.5312855,0.0,2.553118,9.341045,0.0,0.0,5.484771
3.3105693,0.0,3.2757666,5.0160723,0.0,1.5922248,10.191614,0.0,0.0,3.0094867
3.6320045,0.0,3.4878016,2.6783404,0.0,2.5536332,7.274786,0.0,0.0,6.2010593
3.6504219,0.0,1.7478931,5.8894844,0.0,5.0049834,6.875667,0.0,0.0,3.725971
3.71268,0.0,3.1304338,1.451935,0.0,0.0,1.4270802,0.0,0.0,2.8740158
4.1891584,0.0,3.8240848,7.2463226,0.0,4.006029,3.890203,0.0,0.0,6.8713064
3.4131522,0.0,4.2759123,5.138942,0.0,4.6121335,7.9601736,0.0,0.0,6.4542255
2.88977,0.0,2.6319392,4.763182,0.0,5.405478,5.3715987,0.0,0.0,3.490021
1.4794981,0.0,2.9591794,1.4632347,0.0,2.3801835,6.012551,0.0,0.0,6.4527264
4.313245,0.0,2.3801777,5.3305693,0.0,2.5820687,5.935637,0.0,0.0,5.414446
2.8269937,0.0,3.6037345,2.9170103,0.0,0.77000093,5.469099,0.0,0.0,5.4345818
4.365204,0.0,3.8062916,1.275319,0.0,0.6217875,0.48024762,0.0,0.0,1.4536991
4.4697275,0.0,4.6648655,1.6855574,0.0,1.3806143,5.6617055,0.0,0.0,4.4612193
4.544769,0.0,2.925997,5.592956,0.0,4.8258686,4.820602,0.0,0.0,3.5308201
2.2704535,0.0,2.6143005,4.021698,0.0,5.4949665,6.646692,0.0,0.0,5.0037994
3.4326468,0.0,3.736997,0.3708731,0.0,1.2255319,3.563069,0.0,0.0,0.935468
1.875575,0.0,3.1449957,1.7379364,0.0,1.0845528,4.079889,0.0,0.0,5.6270375
4.5661416,0.0,2.6544287,4.0011344,0.0,4.368019,3.9290304,0.0,0.0,5.464636
5.265266,0.0,3.5687668,7.7630754,0.0,5.181702,5.963856,0.0,0.0,8.003902
5.731265,0.0,6.5190997,2.5489056,0.0,2.828936,2.068573,0.0,0.0,4.354161
8.137907,0.0,6.0204716,1.4558243,0.0,2.7814803,3.6505504,0.0,0.0,1.8014265
0.4466139,0.0,3.1704657,4.8200893,0.0,0.8493197,5.764182,0.0,0.0,5.7719245
4.908428,0.0,1.3893498,4.1721487,0.0,3.5539572,5.807396,0.0,0.0,6.8786035
3.3313763,0.0,0.9917873,3.3197463,0.0,0.5387178,4.7009373,0.0,0.0,4.612343
