feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,4.9529123,4.1072235,10.55736,0.0,2.5781002,0.0,0.0,0.0,0.0
0.0,4.8323965,5.7056108,3.6174753,0.0,6.6031237,0.0,0.0,0.0,0.0
0.0,1.6329018,4.2313704,2.0254817,0.0,2.7475994,0.0,0.0,0.0,0.0
0.0,9.012694,5.987786,6.7085557,0.0,4.493979,0.0,0.0,0.0,0.0
0.0,9.01509,6.268821,4.123996,0.0,3.8075976,0.0,0.0,0.0,0.0
0.0,2.4255266,7.0546103,6.9584446,0.0,3.114643,0.0,0.0,0.0,0.0
0.0,4.342936,0.1952634,1.6035211,0.0,2.7470052,0.0,0.0,0.0,0.0
0.0,1.8046525,6.805957,2.0100706,0.0,2.0578527,0.0,0.0,0.0,0.0
0.0,6.720015,4.1056905,5.54441,0.0,5.3879743,0.0,0.0,0.0,0.0
0.0,1.81362,7.592454,4.439209,0.0,6.439632,0.0,0.0,0.0,0.0
0.0,8.800078,3.180839,7.695211,0.0,4.0759554,0.0,0.0,0.0,0.0
0.0,3.5099874,4.967671,1.4802322,0.0,3.799913,0.0,0.0,0.0,0.0
0.0,2.2234855,4.2351255,9.727865,0.0,6.02162,0.0,0.0,0.0,0.0
0.0,1.2770061,5.7352433,5.962548,0.0,7.9364657,0.0,0.0,0.0,0.0
0.0,1.3231161,7.5943565,5.3023486,0.0,6.629628,0.0,0.0,0.0,0.0
0.0,6.738162,5.172723,5.742885,0.0,3.3426142,0.0,0.0,0.0,0.0
0.0,8.843149,1.1704662,7.0616693,0.0,3.3760643,0.0,0.0,0.0,0.0
0.0,3.3987935,8.07143,8.285756,0.0,2.60184,0.0,0.0,0.0,0.0
0.0,4.9381976,3.3302958,7.5126123,0.0,2.6880438,0.0,0.0,0.0,0.0
0.0,2.8655028,4.2377024,0.97731847,0.0,2.0643108,0.0,0.0,0.0,0.0
0.0,8.639083,5.575663,6.480525,0.0,6.5559387,0.0,0.0,0.0,0.0
0.0,3.6939855,7.0657716,9.655931,0.0,5.5272923,0.0,0.0,0.0,0.0
0.0,1.3655219,6.2246666,2.699373,0.0,4.383558,0.0,0.0,0.0,0.0
0.0,12.2770405,6.2552776,10.369691,0.0,4.522996,0.0,0.0,0.0,0.0
0.0,2.5175636,5.919477,7.899195,0.0,4.2996254,0.0,0.0,0.0,0.0
0.0,12.974682,4.8479924,10.363447,0.0,4.2870073,0.0,0.0,0.0,0.0
0.0,2.418588,5.0270395,3.680401,0.0,7.523778,0.0,0.0,0.0,0.0
0.0,7.195139,3.1031978,5.3412814,0.0,4.5207167,0.0,0.0,0.0,0.0
0.0,6.5516906,2.9301796,3.574812,0.0,5.163205,0.0,0.0,0.0,0.0
0.0,8.524509,4.169231,5.978646,0.0,5.2971067,0.0,0.0,0.0,0.0
0.0,2.461852,4.909633,9.91468,0.0,3.7616553,0.0,0.0,0.0,0.0
0.0,1.2721475,3.5609956,3.0780768,0.0,4.2471275,0.0,0.0,0.0,0.0
0.0,0.68108684,4.130569,5.5426993,0.0,1.3436238,0.0,0.0,0.0,0.0
0.0,3.6829228,6.3501325,12.019773,0.0,5.2717133,0.0,0.0,0.0,0.0
0.0,8.841461,6.4284678,4.486488,0.0,3.9312637,0.0,0.0,0.0,0.0
0.0,3.340812,6.8420787,10.238125,0.0,2.8867927,0.0,0.0,0.0,0.0
0.0,9.743913,5.0005527,9.448773,0.0,4.8097124,0.0,0.0,0.0,0.0
0.0,1.9065788,4.798167,6.042381,0.0,1.6460156,0.0,0.0,0.0,0.0
0.0,6.1286893,5.966661,12.173711,0.0,3.4308295,0.0,0.0,0.0,0.0
0.0,2.1727219,6.7018247,8.193191,0.0,2.5580282,0.0,0.0,0.0,0.0
0.0,3.733756,7.8136086,9.236292,0.0,5.693259,0.0,0.0,0.0,0.0
0.0,4.2324386,5.7815647,12.486066,0.0,3.996363,0.0,0.0,0.0,0.0
0.0,4.302833,1.0738262,1.3898764,0.0,2.8143444,0.0,0.0,0.0,0.0
0.0,3.6509426,7.9242496,9.477318,0.0,5.2656,0.0,0.0,0.0,0.0
0.0,12.912431,5.446935,12.81033,0.0,6.5800996,0.0,0.0,0.0,0.0
0.0,10.40768,3.4277833,8.87957,0.0,5.1614237,0.0,0.0,0.0,0.0
0.0,4.367358,3.6248353,4.130739,0.0,4.7332616,0.0,0.0,0.0,0.0
0.0,2.975519,7.2707553,6.451037,0.0,4.3540854,0.0,0.0,0.0,0.0
0.0,8.321897,2.1120195,8.032454,0.0,2.20869,0.0,0.0,0.0,0.0
0.0,6.4084816,3.5871646,3.5807643,0.0,2.610298,0.0,0.0,0.0,0.0
0.0,9.1989155,3.4018202,6.3767366,0.0,2.2656827,0.0,0.0,0.0,0.0
0.0,4.652947,3.867059,9.790817,0.0,1.1787329,0.0,0.0,0.0,0.0
0.0,3.0952013,4.533592,11.150241,0.0,2.549208,0.0,0.0,0.0,0.0
0.0,6.1742716,3.542694,4.5107527,0.0,3.4606092,0.0,0.0,0.0,0.0
0.0,5.9660773,6.4413137,12.889486,0.0,1.3927956,0.0,0.0,0.0,0.0
0.0,9.800423,4.739832,5.7888227,0.0,5.0801578,0.0,0.0,0.0,0.0
0.0,4.254217,8.644935,9.195565,0.0,4.217224,0.0,0.0,0.0,0.0
0.0,6.3483534,2.262391,5.603405,0.0,2.9251292,0.0,0.0,0.0,0.0
0.0,11.387676,5.6423516,10.391834,0.0,4.9163094,0.0,0.0,0.0,0.0
0.0,2.2475386,6.0122776,7.814494,0.0,3.7506144,0.0,0.0,0.0,0.0
0.0,5.1807475,3.325763,9.229193,0.0,3.0417194,0.0,0.0,0.0,0.0
0.0,1.1628888,6.0480194,3.4881315,0.0,5.412944,0.0,0.0,0.0,0.0
0.0,4.318011,6.655522,12.110681,0.0,3.289352,0.0,0.0,0.0,0.0
0.0,4.2058372,8.755748,9.566758,0.0,4.633792,0.0,0.0,0.0,0.0
0.0,5.0408454,1.3155571,2.3659887,0.0,5.017539,0.0,0.0,0.0,0.0
0.0,2.4104648,5.4644814,7.0359387,0.0,3.9392765,0.0,0.0,0.0,0.0
0.0,7.746629,3.8603988,2.1884844,0.0,3.7291725,0.0,0.0,0.0,0.0
0.0,2.8456042,4.7130847,7.6180887,0.0,3.9089746,0.0,0.0,0.0,0.0
0.0,5.4299393,7.0076904,2.982196,0.0,6.0568905,0.0,0.0,0.0,0.0
0.0,8.434882,5.3471456,4.5927954,0.0,2.7683048,0.0,0.0,0.0,0.0
0.0,7.7032695,4.146952,4.025525,0.0,5.8307624,0.0,0.0,0.0,0.0
0.0,1.5550137,5.56279,9.957532,0.0,1.8968571,0.0,0.0,0.0,0.0
0.0,9.633241,3.5000513,8.922484,0.0,3.1989036,0.0,0.0,0.0,0.0
0.0,6.155551,2.9034393,1.1811775,0.0,1.7980218,0.0,0.0,0.0,0.0
0.0,7.274102,5.362773,6.262212,0.0,4.0118766,0.0,0.0,0.0,0.0
0.0,2.134562,3.8232045,10.286463,0.0,2.826568,0.0,0.0,0.0,0.0
0.0,5.5683775,5.973299,3.3897314,0.0,3.3637412,0.0,0.0,0.0,0.0
0.0,4.7132616,3.1975675,10.154175,0.0,2.3790576,0.0,0.0,0.0,0.0
0.0,2.7287834,6.756982,6.539541,0.0,2.318601,0.0,0.0,0.0,0.0
0.0,4.8203874,3.1403232,3.5606267,0.0,1.7357414,0.0,0.0,0.0,0.0
0.0,11.904962,5.271685,9.941992,0.0,5.752448,0.0,0.0,0.0,0.0
0.0,0.98430735,4.148906,6.150748,0.0,1.7234863,0.0,0.0,0.0,0.0
0.0,4.3706417,7.3361177,13.176736,0.0,6.631891,0.0,0.0,0.0,0.0
0.0,4.3691163,0.98669195,4.610399,0.0,3.8327358,0.0,0.0,0.0,0.0
0.0,6.1692533,5.323357,7.562101,0.0,1.3526151,0.0,0.0,0.0,0.0
0.0,0.1893898,2.2742634,3.185877,0.0,3.2165215,0.0,0.0,0.0,0.0
0.0,3.2463706,6.960514,9.9126835,0.0,1.9873788,0.0,0.0,0.0,0.0
0.0,1.02987,4.918316,7.2632856,0.0,1.8658442,0.0,0.0,0.0,0.0
0.0,2.3667915,5.941586,6.817675,0.0,4.2939243,0.0,0.0,0.0,0.0
0.0,1.567934,4.5828905,3.8920085,0.0,6.099834,0.0,0.0,0.0,0.0
0.0,7.1393228,2.0608072,4.650627,0.0,3.76136,0.0,0.0,0.0,0.0
0.0,3.8560517,1.6420106,3.3407364,0.0,4.122331,0.0,0.0,0.0,0.0
0.0,11.886367,5.9313836,9.754174,0.0,3.6876519,0.0,0.0,0.0,0.0
0.0,13.325753,5.8016725,10.027376,0.0,3.0820053,0.0,0.0,0.0,0.0
0.0,3.9467728,8.19822,11.245275,0.0,4.986907,0.0,0.0,0.0,0.0
0.0,6.0281887,1.7914653,2.8125384,0.0,4.8339133,0.0,0.0,0.0,0.0
0.0,2.6315444,6.0232005,9.11363,0.0,5.2205815,0.0,0.0,0.0,0.0
0.0,5.725814,3.1845043,5.0134,0.0,3.4718351,0.0,0.0,0.0,0.0
0.0,3.7887034,2.2011933,4.14469,0.0,4.942328,0.0,0.0,0.0,0.0
0.0,6.4384656,5.0902505,10.069998,0.0,4.1003337,0.0,0.0,0.0,0.0
0.0,10.1125,5.9016027,7.766094,0.0,5.7188735,0.0,0.0,0.0,0.0
0.0,7.0371537,10.175291,4.1015267,0.0,8.556912,0.0,0.0,0.0,0.0
0.0,6.497491,2.6618853,0.6904729,0.0,1.392568,0.0,0.0,0.0,0.0
0.0,5.6467676,4.72934,10.686947,0.0,3.892918,0.0,0.0,0.0,0.0
0.0,1.7911566,4.821947,5.259363,0.0,3.0002215,0.0,0.0,0.0,0.0
0.0,6.3185973,6.0661807,13.615001,0.0,4.062151,0.0,0.0,0.0,0.0
0.0,5.1205554,3.7658467,7.388635,0.0,1.8338227,0.0,0.0,0.0,0.0
0.0,3.606805,4.948774,1.9895759,0.0,5.117427,0.0,0.0,0.0,0.0
0.0,4.1022654,7.649075,11.074061,0.0,3.0802271,0.0,0.0,0.0,0.0
0.0,6.435753,2.746652,1.7150486,0.0,3.3655152,0.0,0.0,0.0,0.0
0.0,5.5280304,1.6337183,1.2159824,0.0,2.7193484,0.0,0.0,0.0,0.0
0.0,7.0567646,7.4034414,13.855991,0.0,4.8506846,0.0,0.0,0.0,0.0
0.0,3.371851,4.3676243,12.573089,0.0,2.2770767,0.0,0.0,0.0,0.0
0.0,6.392841,2.922817,3.6978383,0.0,2.297994,0.0,0.0,0.0,0.0
0.0,1.3262911,2.866082,9.291947,0.0,2.5754087,0.0,0.0,0.0,0.0
0.0,10.025444,5.8734374,5.948647,0.0,5.4406815,0.0,0.0,0.0,0.0
0.0,3.792691,1.799664,3.5519323,0.0,4.28295,0.0,0.0,0.0,0.0
0.0,0.75670654,2.930017,1.5536166,0.0,5.6930714,0.0,0.0,0.0,0.0
0.0,2.9585178,4.2173486,1.5332935,0.0,3.8600059,0.0,0.0,0.0,0.0
0.0,5.3738885,2.998078,5.0941424,0.0,3.241889,0.0,0.0,0.0,0.0
0.0,3.9487,9.095503,10.076509,0.0,6.037607,0.0,0.0,0.0,0.0
0.0,9.672461,6.648589,3.6830935,0.0,6.966148,0.0,0.0,0.0,0.0
0.0,2.0527394,5.7019405,8.626278,0.0,3.1468985,0.0,0.0,0.0,0.0
0.0,2.0501587,4.225809,6.0796976,0.0,2.9340155,0.0,0.0,0.0,0.0
0.0,6.5067635,2.8730907,3.1100786,0.0,4.7614985,0.0,0.0,0.0,0.0
0.0,2.9532652,7.2223754,6.3547335,0.0,4.2190423,0.0,0.0,0.0,0.0
0.0,5.719016,6.09663,11.788009,0.0,2.5292244,0.0,0.0,0.0,0.0
0.0,4.548912,5.745405,3.0198574,0.0,6.389092,0.0,0.0,0.0,0.0
0.0,2.690308,7.493697,7.784636,0.0,3.9468737,0.0,0.0,0.0,0.0
0.0,2.9520218,7.5319285,2.8546255,0.0,1.0343157,0.0,0.0,0.0,0.0
0.0,8.274318,0.035895273,8.467833,0.0,2.6225562,0.0,0.0,0.0,0.0
0.0,8.054939,4.3989677,4.9701123,0.0,6.053261,0.0,0.0,0.0,0.0
0.0,6.380429,5.66423,13.232959,0.0,5.688376,0.0,0.0,0.0,0.0
0.0,12.04502,4.5879393,8.483614,0.0,4.715923,0.0,0.0,0.0,0.0
0.0,5.2033787,4.1257544,10.247414,0.0,2.2685397,0.0,0.0,0.0,0.0
0.0,7.5015354,3.3824625,4.4711246,0.0,3.973688,0.0,0.0,0.0,0.0
0.0,4.996683,9.41632,13.318283,0.0,5.962961,0.0,0.0,0.0,0.0
0.0,3.245215,8.232461,9.1740055,0.0,4.4407687,0.0,0.0,0.0,0.0
0.0,4.8565445,4.3192883,2.4348834,0.0,2.4967792,0.0,0.0,0.0,0.0
0.0,3.5923269,2.230652,2.6931725,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.70380974,2.9050817,9.677336,0.0,3.357983,0.0,0.0,0.0,0.0
0.0,4.618871,0.30985576,1.7506793,0.0,2.1661217,0.0,0.0,0.0,0.0
0.0,10.466775,6.0717597,10.231051,0.0,6.306039,0.0,0.0,0.0,0.0
0.0,10.292604,3.5284975,7.0722885,0.0,2.9601092,0.0,0.0,0.0,0.0
0.0,5.960779,3.8858035,7.433007,0.0,4.090736,0.0,0.0,0.0,0.0
0.0,6.039467,2.5154102,1.8764217,0.0,2.9336836,0.0,0.0,0.0,0.0
0.0,5.0668616,0.5242127,3.2996762,0.0,4.88994,0.0,0.0,0.0,0.0
0.0,8.073488,4.6430154,6.7433405,0.0,6.827681,0.0,0.0,0.0,0.0
0.0,2.5544002,6.3386183,7.931285,0.0,4.3833632,0.0,0.0,0.0,0.0
0.0,3.894933,6.343336,11.395807,0.0,2.3002977,0.0,0.0,0.0,0.0
0.0,4.416586,3.9520497,2.645383,0.0,2.4131877,0.0,0.0,0.0,0.0
0.0,8.4437,6.000697,4.0547485,0.0,3.4311693,0.0,0.0,0.0,0.0
0.0,3.4822466,2.5370944,10.465454,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.292121,6.388742,2.8565838,0.0,5.292816,0.0,0.0,0.0,0.0
0.0,1.8786379,4.301239,5.7969446,0.0,2.452135,0.0,0.0,0.0,0.0
0.0,5.8646607,7.2858143,2.8904212,0.0,5.43687,0.0,0.0,0.0,0.0
0.0,1.0754795,4.121643,6.705766,0.0,3.4114044,0.0,0.0,0.0,0.0
0.0,7.453311,2.1397393,6.0746512,0.0,3.917445,0.0,0.0,0.0,0.0
0.0,4.2303996,8.692435,10.9086485,0.0,3.6419878,0.0,0.0,0.0,0.0
0.0,9.43438,0.20666239,9.3320875,0.0,3.5513108,0.0,0.0,0.0,0.0
0.0,6.9150867,5.179198,4.492322,0.0,5.566687,0.0,0.0,0.0,0.0
0.0,5.857705,4.7989764,3.0258534,0.0,4.0072513,0.0,0.0,0.0,0.0
0.0,2.544791,6.187906,9.194977,0.0,2.655379,0.0,0.0,0.0,0.0
0.0,6.7713113,5.3249826,6.17397,0.0,2.085234,0.0,0.0,0.0,0.0
0.0,6.8246484,3.5999982,2.2586565,0.0,3.983342,0.0,0.0,0.0,0.0
0.0,11.556925,4.4828053,11.544572,0.0,6.7446485,0.0,0.0,0.0,0.0
0.0,7.431748,4.0292835,4.009062,0.0,5.2905164,0.0,0.0,0.0,0.0
0.0,4.30243,6.9817,11.324179,0.0,1.445485,0.0,0.0,0.0,0.0
0.0,5.8553047,6.1953526,12.033969,0.0,2.839659,0.0,0.0,0.0,0.0
