feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,symbol
0.0,0.0,0.0,6.9700117,3.0593057,0.0,0.0,4.0874376,0.0,12.238146,MMM
0.0,0.0,0.0,5.224544,5.1207123,0.0,0.0,3.039251,0.0,9.775393,MMM
0.0,0.0,0.0,8.622382,3.9825,0.0,0.0,8.204571,0.0,12.068155,MMM
0.0,0.0,0.0,8.679758,4.092859,0.0,0.0,6.860655,0.0,8.643242,MMM
0.0,0.0,0.0,8.628066,4.091871,0.0,0.0,7.7422843,0.0,9.772967,MMM
0.0,0.0,0.0,5.231776,5.6288185,0.0,0.0,3.5241334,0.0,8.042049,MMM
0.0,0.0,0.0,5.081569,4.629043,0.0,0.0,2.8842053,0.0,9.199615,MMM
0.0,0.0,0.0,7.895849,2.931471,0.0,0.0,6.8382106,0.0,11.292519,MMM
0.0,0.0,0.0,6.6696568,3.7032855,0.0,0.0,7.903145,0.0,8.580532,MMM
0.0,0.0,0.0,7.731581,3.2067103,0.0,0.0,4.551874,0.0,5.136972,MMM
0.0,0.0,0.0,3.865008,3.4311552,0.0,0.0,1.368223,0.0,8.51024,MMM
0.0,0.0,0.0,8.569411,3.2213707,0.0,0.0,7.560458,0.0,11.463897,MMM
0.0,0.0,0.0,5.5810103,1.5844711,0.0,0.0,5.9248157,0.0,9.628624,MMM
0.0,0.0,0.0,8.008453,3.673479,0.0,0.0,6.9552,0.0,7.9413776,MMM
0.0,0.0,0.0,6.202543,7.877271,0.0,0.0,3.2178905,0.0,9.80934,MMM
0.0,0.0,0.0,3.9130797,3.3367157,0.0,0.0,5.7739463,0.0,2.1231275,MMM
0.0,0.0,0.0,4.24399,4.190277,0.0,0.0,2.6873162,0.0,9.131522,MMM
0.0,0.0,0.0,11.481343,4.473879,0.0,0.0,6.440054,0.0,13.13481,MMM
0.0,0.0,0.0,4.6966844,4.8172092,0.0,0.0,2.2892401,0.0,9.676116,MMM
0.0,0.0,0.0,7.7843432,7.202757,0.0,0.0,3.5032063,0.0,12.341505,MMM
0.0,0.0,0.0,8.000102,3.295524,0.0,0.0,8.293717,0.0,11.951113,MMM
0.0,0.0,0.0,7.5934634,6.600011,0.0,0.0,2.8768559,0.0,11.205846,MMM
0.0,0.0,0.0,8.092393,3.5191808,0.0,0.0,3.4716306,0.0,11.489383,MMM
0.0,0.0,0.0,3.694036,0.40082318,0.0,0.0,3.395954,0.0,3.3050609,MMM
0.0,0.0,0.0,8.515404,5.699718,0.0,0.0,6.6305046,0.0,11.676864,MMM
0.0,0.0,0.0,6.000096,5.0692735,0.0,0.0,1.1785464,0.0,8.46964,MMM
0.0,0.0,0.0,6.8345375,4.576634,0.0,0.0,4.664343,0.0,8.730009,MMM
0.0,0.0,0.0,3.1422393,7.333847,0.0,0.0,2.4485555,0.0,3.5364327,MMM
