feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
7.107132,0.0,0.0,4.7870493,0.0,0.0,3.3346174,0.0,0.0,0.0
1.8936102,0.0,0.0,1.7140635,0.0,0.0,5.593595,0.0,0.0,0.0
3.4128234,0.0,0.0,3.6580772,0.0,0.0,4.2193713,0.0,0.0,0.0
4.4898534,0.0,0.0,4.131965,0.0,0.0,4.7859898,0.0,0.0,0.0
2.0106199,0.0,0.0,6.3498306,0.0,0.0,10.593785,0.0,0.0,0.0
5.0822697,0.0,0.0,3.69817,0.0,0.0,9.972676,0.0,0.0,0.0
2.838471,0.0,0.0,2.9424324,0.0,0.0,6.867007,0.0,0.0,0.0
5.995864,0.0,0.0,5.4925294,0.0,0.0,10.104271,0.0,0.0,0.0
5.224455,0.0,0.0,4.0177765,0.0,0.0,9.138727,0.0,0.0,0.0
0.20573086,0.0,0.0,3.4196417,0.0,0.0,7.6415343,0.0,0.0,0.0
7.2617083,0.0,0.0,1.2793239,0.0,0.0,4.554811,0.0,0.0,0.0
5.471486,0.0,0.0,5.1796827,0.0,0.0,8.851605,0.0,0.0,0.0
5.53531,0.0,0.0,2.6909142,0.0,0.0,0.051690415,0.0,0.0,0.0
5.0199533,0.0,0.0,4.2528214,0.0,0.0,9.03443,0.0,0.0,0.0
3.1094801,0.0,0.0,5.231404,0.0,0.0,8.856604,0.0,0.0,0.0
3.9913256,0.0,0.0,3.3534894,0.0,0.0,0.0,0.0,0.0,0.0
1.0388105,0.0,0.0,2.4174578,0.0,0.0,6.514049,0.0,0.0,0.0
6.2675,0.0,0.0,1.9574198,0.0,0.0,3.564589,0.0,0.0,0.0
4.3800716,0.0,0.0,2.811882,0.0,0.0,3.3013058,0.0,0.0,0.0
6.8708344,0.0,0.0,3.1912847,0.0,0.0,2.7295089,0.0,0.0,0.0
6.302163,0.0,0.0,3.1661878,0.0,0.0,0.92219275,0.0,0.0,0.0
5.4958725,0.0,0.0,3.3549423,0.0,0.0,0.21054068,0.0,0.0,0.0
5.541333,0.0,0.0,2.688442,0.0,0.0,8.564005,0.0,0.0,0.0
6.699802,0.0,0.0,3.8791149,0.0,0.0,11.54455,0.0,0.0,0.0
6.1764574,0.0,0.0,5.1646867,0.0,0.0,9.251393,0.0,0.0,0.0
5.1777825,0.0,0.0,6.4573054,0.0,0.0,9.475609,0.0,0.0,0.0
5.120274,0.0,0.0,5.105781,0.0,0.0,11.223643,0.0,0.0,0.0
2.7767546,0.0,0.0,5.586934,0.0,0.0,10.157121,0.0,0.0,0.0
3.5486364,0.0,0.0,3.6961064,0.0,0.0,9.134331,0.0,0.0,0.0
4.031255,0.0,0.0,1.675313,0.0,0.0,7.8723326,0.0,0.0,0.0
5.1709323,0.0,0.0,3.0027092,0.0,0.0,9.2240505,0.0,0.0,0.0
0.1231973,0.0,0.0,3.647337,0.0,0.0,3.2255173,0.0,0.0,0.0
5.6195254,0.0,0.0,3.9582765,0.0,0.0,9.605357,0.0,0.0,0.0
6.0328126,0.0,0.0,2.7634668,0.0,0.0,5.2663317,0.0,0.0,0.0
3.4823205,0.0,0.0,4.5590763,0.0,0.0,6.8330812,0.0,0.0,0.0
3.7350829,0.0,0.0,5.135564,0.0,0.0,8.659611,0.0,0.0,0.0
8.841378,0.0,0.0,2.640389,0.0,0.0,4.4762225,0.0,0.0,0.0
5.2341475,0.0,0.0,6.616659,0.0,0.0,9.910165,0.0,0.0,0.0
2.4032636,0.0,0.0,2.567365,0.0,0.0,2.4450965,0.0,0.0,0.0
1.1916678,0.0,0.0,2.0094194,0.0,0.0,4.2466283,0.0,0.0,0.0
5.8099265,0.0,0.0,2.8102732,0.0,0.0,0.0,0.0,0.0,0.0
3.8770912,0.0,0.0,4.69288,0.0,0.0,10.828185,0.0,0.0,0.0
4.7076497,0.0,0.0,2.7672808,0.0,0.0,8.537694,0.0,0.0,0.0
1.8738496,0.0,0.0,5.484915,0.0,0.0,9.990511,0.0,0.0,0.0
7.174737,0.0,0.0,1.1899835,0.0,0.0,0.9155039,0.0,0.0,0.0
6.839388,0.0,0.0,1.2850726,0.0,0.0,0.7653277,0.0,0.0,0.0
5.8620872,0.0,0.0,2.175895,0.0,0.0,2.9264102,0.0,0.0,0.0
5.2768908,0.0,0.0,1.630094,0.0,0.0,0.774785,0.0,0.0,0.0
5.193229,0.0,0.0,2.5719109,0.0,0.0,2.5533128,0.0,0.0,0.0
3.1215081,0.0,0.0,1.6373504,0.0,0.0,3.005914,0.0,0.0,0.0
1.2660811,0.0,0.0,3.4077811,0.0,0.0,7.3206477,0.0,0.0,0.0
3.3638313,0.0,0.0,4.630528,0.0,0.0,8.2063875,0.0,0.0,0.0
5.7288256,0.0,0.0,3.579656,0.0,0.0,7.3800187,0.0,0.0,0.0
6.324919,0.0,0.0,5.4023466,0.0,0.0,3.3979495,0.0,0.0,0.0
5.209197,0.0,0.0,1.6940544,0.0,0.0,3.6859045,0.0,0.0,0.0
4.816017,0.0,0.0,5.2196984,0.0,0.0,8.249487,0.0,0.0,0.0
5.852005,0.0,0.0,5.9122033,0.0,0.0,10.197151,0.0,0.0,0.0
6.6726265,0.0,0.0,2.5679402,0.0,0.0,8.272366,0.0,0.0,0.0
2.429975,0.0,0.0,1.5721859,0.0,0.0,6.1429706,0.0,0.0,0.0
6.4931107,0.0,0.0,2.5072331,0.0,0.0,7.2251644,0.0,0.0,0.0
1.3772807,0.0,0.0,2.6991882,0.0,0.0,1.1585255,0.0,0.0,0.0
6.2710257,0.0,0.0,1.9468504,0.0,0.0,2.2395926,0.0,0.0,0.0
0.84613836,0.0,0.0,2.6371593,0.0,0.0,6.7153435,0.0,0.0,0.0
3.7677066,0.0,0.0,3.3506474,0.0,0.0,2.8731103,0.0,0.0,0.0
4.1744576,0.0,0.0,4.200136,0.0,0.0,12.597306,0.0,0.0,0.0
5.895091,0.0,0.0,3.751084,0.0,0.0,4.874345,0.0,0.0,0.0
5.2349353,0.0,0.0,2.5526721,0.0,0.0,0.98351663,0.0,0.0,0.0
7.3233438,0.0,0.0,5.205485,0.0,0.0,11.267827,0.0,0.0,0.0
5.935245,0.0,0.0,4.399269,0.0,0.0,2.4088657,0.0,0.0,0.0
7.64907,0.0,0.0,1.3087137,0.0,0.0,1.020611,0.0,0.0,0.0
1.0369712,0.0,0.0,2.1012955,0.0,0.0,3.538945,0.0,0.0,0.0
5.1120157,0.0,0.0,4.9720473,0.0,0.0,12.184083,0.0,0.0,0.0
3.8939438,0.0,0.0,3.5326493,0.0,0.0,2.9332812,0.0,0.0,0.0
5.932721,0.0,0.0,2.9265957,0.0,0.0,0.62418014,0.0,0.0,0.0
4.0714374,0.0,0.0,4.817125,0.0,0.0,8.691486,0.0,0.0,0.0
5.96707,0.0,0.0,2.8949502,0.0,0.0,5.342803,0.0,0.0,0.0
5.33646,0.0,0.0,2.9145353,0.0,0.0,2.1408966,0.0,0.0,0.0
6.64364,0.0,0.0,3.2170897,0.0,0.0,2.7348063,0.0,0.0,0.0
