feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,0.0,2.3594842,0.0,7.4264784,0.0,3.190112,0.0,0.0,2.795206
0.0,0.0,0.96595293,4.639859,9.754592,0.0,2.6426375,0.0,0.0,5.3996863
0.0,0.0,4.0219884,4.03967,9.966751,0.0,2.7972286,0.0,0.0,2.4186754
0.0,0.0,7.012736,5.213976,11.123189,0.0,4.9852314,0.0,0.0,2.7985532
0.0,0.0,3.6608293,3.8761225,9.212721,0.0,3.8923202,0.0,0.0,2.3449018
0.0,0.0,9.40334,2.8406756,8.882953,0.0,10.077141,0.0,0.0,1.7723054
0.0,0.0,4.3165617,5.2209306,8.6880665,0.0,2.5131288,0.0,0.0,5.7177973
0.0,0.0,5.9795356,3.8561378,9.387093,0.0,4.8442445,0.0,0.0,1.7550651
0.0,0.0,7.935694,7.7789655,2.4241936,0.0,6.423242,0.0,0.0,4.540452
0.0,0.0,9.44019,4.28167,9.127771,0.0,11.033683,0.0,0.0,5.1822634
0.0,0.0,3.0078602,3.9747977,10.085094,0.0,3.409525,0.0,0.0,5.1624722
0.0,0.0,5.8418436,4.733494,8.200654,0.0,8.686467,0.0,0.0,4.1982713
0.0,0.0,8.468879,0.9007791,7.0077963,0.0,9.243755,0.0,0.0,2.0199788
0.0,0.0,6.844473,4.714635,9.5590105,0.0,10.282378,0.0,0.0,3.3890052
0.0,0.0,7.060935,3.6776743,4.5423107,0.0,7.38123,0.0,0.0,0.0073626563
0.0,0.0,6.865977,5.310704,9.498523,0.0,8.992127,0.0,0.0,4.044685
0.0,0.0,4.2127514,5.2496877,11.273973,0.0,3.2724428,0.0,0.0,2.8904727
0.0,0.0,9.104152,10.546245,2.8675473,0.0,5.7816005,0.0,0.0,5.1170497
0.0,0.0,3.8160853,6.0451007,9.263525,0.0,3.198218,0.0,0.0,6.9296865
0.0,0.0,8.342352,4.9039702,0.0,0.0,4.668078,0.0,0.0,3.8880184
0.0,0.0,5.1472573,4.8449326,4.3139963,0.0,2.0228086,0.0,0.0,3.7469792
0.0,0.0,7.78524,7.32222,0.9840572,0.0,4.3171144,0.0,0.0,1.1305723
0.0,0.0,6.4950967,6.716398,3.8725343,0.0,4.1309214,0.0,0.0,2.6326823
0.0,0.0,9.045523,5.1271386,5.591039,0.0,7.2990575,0.0,0.0,2.5724816
0.0,0.0,4.8929873,4.3071485,4.014927,0.0,1.0678846,0.0,0.0,2.9069192
0.0,0.0,3.9217713,4.05688,9.531027,0.0,0.0,0.0,0.0,2.704075
0.0,0.0,7.856493,6.3274317,1.6335367,0.0,5.535865,0.0,0.0,5.5613775
0.0,0.0,6.9497185,8.047492,2.5216582,0.0,6.013053,0.0,0.0,4.4682555
0.0,0.0,8.248443,8.077006,4.57446,0.0,4.733453,0.0,0.0,7.314748
0.0,0.0,10.834984,5.9575543,10.676346,0.0,11.819509,0.0,0.0,4.4861903
0.0,0.0,2.0739975,2.874085,11.118277,0.0,2.1453183,0.0,0.0,4.695504
0.0,0.0,4.659996,5.345739,10.528319,0.0,5.0249047,0.0,0.0,4.380936
0.0,0.0,3.963961,4.2726917,9.927543,0.0,2.9747741,0.0,0.0,3.9305153
0.0,0.0,5.000517,5.5946226,10.566623,0.0,3.1188715,0.0,0.0,5.1362915
0.0,0.0,9.046123,3.859567,9.220201,0.0,10.623377,0.0,0.0,1.4469979
0.0,0.0,4.6826653,7.5333557,5.964764,0.0,3.328091,0.0,0.0,4.141548
0.0,0.0,6.912082,6.6467304,4.1263313,0.0,3.3599615,0.0,0.0,5.602385
0.0,0.0,4.586508,0.92664653,7.504479,0.0,5.6470647,0.0,0.0,3.8938804
0.0,0.0,6.5387735,6.2683363,10.817421,0.0,4.969688,0.0,0.0,6.913902
0.0,0.0,1.5240741,2.796285,10.716816,0.0,3.0581024,0.0,0.0,3.164489
0.0,0.0,5.1330395,4.6081476,11.785319,0.0,3.78022,0.0,0.0,5.236987
0.0,0.0,2.8859215,4.71718,8.683791,0.0,2.7284675,0.0,0.0,4.4103985
0.0,0.0,2.0700338,1.8287799,8.669317,0.0,3.3131092,0.0,0.0,4.275216
0.0,0.0,4.1828036,5.212342,9.462277,0.0,6.699277,0.0,0.0,3.1168087
0.0,0.0,4.09732,2.784202,10.029727,0.0,4.9356017,0.0,0.0,5.4784584
0.0,0.0,5.313809,5.3339853,4.601524,0.0,2.1892452,0.0,0.0,3.852433
0.0,0.0,6.258702,3.8159623,9.218658,0.0,9.160956,0.0,0.0,3.9550645
0.0,0.0,5.9249496,4.089517,9.493663,0.0,4.99511,0.0,0.0,1.6804862
0.0,0.0,4.4331803,4.770306,10.643137,0.0,5.0998664,0.0,0.0,4.300947
0.0,0.0,7.2792196,6.4732776,5.3945284,0.0,2.2090096,0.0,0.0,4.6098995
0.0,0.0,8.754925,2.840158,9.567699,0.0,8.399059,0.0,0.0,1.8615537
0.0,0.0,7.4946766,6.304148,11.912924,0.0,7.0237103,0.0,0.0,5.465865
0.0,0.0,8.595052,3.2860029,9.616948,0.0,8.644705,0.0,0.0,5.6383367
0.0,0.0,1.6445192,3.016339,11.551941,0.0,1.8086994,0.0,0.0,1.7654377
0.0,0.0,7.0838227,6.0017443,5.176368,0.0,2.1597068,0.0,0.0,5.005769
