feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,5.0796847,3.470359,0.0,5.0314207,0.0,6.0580473,0.0,0.0,5.700514
0.0,2.0967894,5.138181,0.0,1.9854237,0.0,2.9036026,0.0,0.0,2.3797908
0.0,8.551534,6.385871,0.0,0.98181325,0.0,3.9612017,0.0,0.0,3.3583438
0.0,4.2812634,4.861766,0.0,6.8530135,0.0,11.456308,0.0,0.0,2.2904558
0.0,1.1158907,5.3187246,0.0,1.6925491,0.0,4.9776607,0.0,0.0,3.7369194
0.0,6.1821156,5.24119,0.0,3.438159,0.0,9.114108,0.0,0.0,5.669736
0.0,6.573564,6.7353215,0.0,7.278066,0.0,9.907676,0.0,0.0,4.3726735
0.0,6.8397927,7.058895,0.0,6.3686767,0.0,10.227453,0.0,0.0,4.2517476
0.0,5.404718,7.2631702,0.0,5.2320786,0.0,9.44379,0.0,0.0,2.8604734
0.0,8.229627,6.481615,0.0,3.1552,0.0,5.2567935,0.0,0.0,5.043249
0.0,5.9603934,7.0268116,0.0,6.038479,0.0,9.579956,0.0,0.0,4.087305
0.0,4.8540926,0.24617398,0.0,1.3165388,0.0,9.874388,0.0,0.0,0.6850519
0.0,5.4255834,5.464883,0.0,3.6769998,0.0,4.4511743,0.0,0.0,5.8722825
0.0,6.291651,3.847842,0.0,3.4384224,0.0,4.6929827,0.0,0.0,3.0498934
0.0,3.4385662,6.180453,0.0,4.389002,0.0,6.371838,0.0,0.0,4.2684913
0.0,3.8713396,4.2038503,0.0,7.825645,0.0,10.888662,0.0,0.0,1.1535474
0.0,7.6714115,8.240351,0.0,1.8980561,0.0,2.288236,0.0,0.0,3.3105273
0.0,2.8834627,6.0599933,0.0,5.61195,0.0,4.8391047,0.0,0.0,5.1844044
0.0,4.1464324,5.834774,0.0,3.522509,0.0,7.569548,0.0,0.0,6.169096
0.0,4.95341,6.4225287,0.0,7.9053087,0.0,14.458415,0.0,0.0,4.504782
0.0,7.8140297,7.9512353,0.0,3.0542831,0.0,2.4892182,0.0,0.0,2.2218366
0.0,3.5374107,4.8937573,0.0,3.3943522,0.0,7.1902137,0.0,0.0,7.34103
0.0,10.18547,8.082857,0.0,5.564349,0.0,4.721059,0.0,0.0,3.930223
0.0,7.355806,6.6614947,0.0,1.6815772,0.0,1.5477009,0.0,0.0,5.0029335
0.0,5.0209413,4.7302933,0.0,6.449789,0.0,9.763296,0.0,0.0,0.0
0.0,8.827508,7.353216,0.0,6.449503,0.0,5.1119666,0.0,0.0,5.5706325
0.0,5.3418417,4.965815,0.0,4.5369062,0.0,8.657909,0.0,0.0,1.455506
0.0,6.314074,4.0982075,0.0,2.0331767,0.0,5.809561,0.0,0.0,5.244583
0.0,8.87552,4.7276216,0.0,2.5492504,0.0,3.4357915,0.0,0.0,4.5096273
0.0,8.656329,7.4627113,0.0,5.3912945,0.0,5.234656,0.0,0.0,5.054042
0.0,4.407464,5.812354,0.0,4.181654,0.0,8.283552,0.0,0.0,5.453996
0.0,8.591134,5.6278167,0.0,2.9715497,0.0,6.190409,0.0,0.0,5.239553
0.0,4.526824,4.8252964,0.0,2.0016172,0.0,6.5819063,0.0,0.0,7.152886
0.0,3.992479,3.1775901,0.0,5.6814756,0.0,6.806997,0.0,0.0,5.438592
0.0,6.178103,6.343397,0.0,4.076335,0.0,7.3180356,0.0,0.0,3.6157997
0.0,4.759862,4.194824,0.0,2.108067,0.0,5.975805,0.0,0.0,4.654281
0.0,8.192094,4.4196615,0.0,0.44425392,0.0,2.4010134,0.0,0.0,2.6727939
0.0,4.918799,4.8321795,0.0,3.6287374,0.0,8.1364765,0.0,0.0,7.350157
0.0,4.550757,5.841327,0.0,3.1275046,0.0,8.097535,0.0,0.0,7.022602
0.0,9.825756,8.522001,0.0,4.5043244,0.0,2.1379073,0.0,0.0,4.5010056
0.0,0.0,2.8547976,0.0,2.6186528,0.0,3.484888,0.0,0.0,5.509701
0.0,4.912813,6.669401,0.0,4.349748,0.0,8.005495,0.0,0.0,3.9531379
0.0,10.195181,8.7062,0.0,5.564336,0.0,4.422324,0.0,0.0,3.8189151
0.0,0.40720835,6.05844,0.0,3.1181028,0.0,4.1155105,0.0,0.0,3.7023392
0.0,1.8898069,4.6934524,0.0,4.0576587,0.0,8.310459,0.0,0.0,6.8548975
0.0,9.049874,8.478547,0.0,2.3666117,0.0,2.674576,0.0,0.0,3.2590165
0.0,7.24937,6.21849,0.0,6.3963203,0.0,11.000605,0.0,0.0,3.550065
0.0,7.329867,4.703114,0.0,4.383593,0.0,2.8232315,0.0,0.0,1.4740232
0.0,4.1205745,5.1195817,0.0,6.0194373,0.0,10.77178,0.0,0.0,3.033242
0.0,3.362881,2.9870446,0.0,2.1675096,0.0,4.8072186,0.0,0.0,2.807437
0.0,5.319261,4.999023,0.0,6.35364,0.0,12.860067,0.0,0.0,2.7240674
0.0,9.452298,9.060227,0.0,3.9392939,0.0,4.116319,0.0,0.0,6.036532
0.0,6.213509,3.884327,0.0,3.5710456,0.0,4.6448407,0.0,0.0,2.7367127
0.0,5.8935485,5.8034635,0.0,5.128862,0.0,8.744271,0.0,0.0,4.8166556
0.0,7.5847487,7.118088,0.0,2.3154147,0.0,2.1336398,0.0,0.0,4.953531
0.0,4.2445455,6.591955,0.0,9.44184,0.0,14.491402,0.0,0.0,7.122202
0.0,6.9340825,6.914637,0.0,4.1318254,0.0,4.349679,0.0,0.0,3.5646205
0.0,7.2745595,6.6683106,0.0,2.639265,0.0,5.4701724,0.0,0.0,4.187737
0.0,9.819335,6.6263165,0.0,3.6637883,0.0,4.3366594,0.0,0.0,6.4155717
0.0,6.7820954,6.0833087,0.0,3.6891212,0.0,7.4298725,0.0,0.0,4.671439
0.0,4.961955,3.443813,0.0,3.3340952,0.0,5.6208057,0.0,0.0,6.565359
0.0,5.0064116,6.302797,0.0,4.367753,0.0,9.632983,0.0,0.0,5.2921724
0.0,4.578621,5.893542,0.0,6.228221,0.0,8.2353525,0.0,0.0,5.732731
0.0,6.4386406,5.2115912,0.0,2.257744,0.0,1.8793685,0.0,0.0,4.3256545
0.0,5.7473593,3.3126354,0.0,3.598043,0.0,7.929513,0.0,0.0,3.1413095
0.0,6.39052,6.949142,0.0,3.2492957,0.0,4.613124,0.0,0.0,5.2231593
