feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,0.0,0.0,0.0,2.4116874,0.0,0.25785092,4.0869913,0.4438297,0.0
0.0,0.0,0.0,0.0,6.264678,0.0,5.70837,8.850931,7.6723742,0.0
0.0,0.0,0.0,0.0,5.3221006,0.0,8.946218,5.036764,3.2955763,0.0
0.0,0.0,0.0,0.0,1.3191488,0.0,0.0,5.218915,1.9662519,0.0
0.0,0.0,0.0,0.0,5.527534,0.0,6.8690114,7.0265684,3.6456614,0.0
0.0,0.0,0.0,0.0,6.3452115,0.0,4.9104776,8.129574,7.6325173,0.0
0.0,0.0,0.0,0.0,2.5616062,0.0,5.9311285,2.642656,1.1274763,0.0
0.0,0.0,0.0,0.0,1.164167,0.0,8.717628,2.7929451,3.8062167,0.0
0.0,0.0,0.0,0.0,7.8550887,0.0,4.348363,7.4916606,4.4197574,0.0
0.0,0.0,0.0,0.0,4.2180233,0.0,2.1810825,4.5282755,3.8212314,0.0
0.0,0.0,0.0,0.0,5.6154184,0.0,2.4057589,5.9515114,3.9634185,0.0
0.0,0.0,0.0,0.0,6.361083,0.0,10.454031,8.065043,3.3988352,0.0
0.0,0.0,0.0,0.0,4.284199,0.0,4.9538994,3.5794456,2.3354218,0.0
0.0,0.0,0.0,0.0,3.5739105,0.0,4.0938263,2.7919447,1.4938779,0.0
0.0,0.0,0.0,0.0,5.783083,0.0,5.500733,8.165757,4.5222683,0.0
0.0,0.0,0.0,0.0,4.5078177,0.0,5.0034933,4.1538243,2.7200134,0.0
0.0,0.0,0.0,0.0,3.5973103,0.0,8.233269,6.926594,2.346611,0.0
0.0,0.0,0.0,0.0,3.677244,0.0,3.0055866,6.879417,0.0,0.0
0.0,0.0,0.0,0.0,5.0274825,0.0,3.797355,6.6486287,3.2411063,0.0
0.0,0.0,0.0,0.0,4.1447964,0.0,7.979968,7.2926106,3.4306188,0.0
0.0,0.0,0.0,0.0,7.7597027,0.0,6.145573,11.696859,6.3856044,0.0
0.0,0.0,0.0,0.0,3.6026423,0.0,9.95348,7.040484,2.1730585,0.0
0.0,0.0,0.0,0.0,5.327349,0.0,5.668444,6.114786,4.7580447,0.0
0.0,0.0,0.0,0.0,7.3063664,0.0,4.634706,8.659018,6.4427533,0.0
0.0,0.0,0.0,0.0,5.6121325,0.0,3.67022,8.989908,6.953432,0.0
0.0,0.0,0.0,0.0,2.8636868,0.0,3.3511238,8.571254,1.5974656,0.0
0.0,0.0,0.0,0.0,3.1615717,0.0,5.525104,3.6310105,3.737593,0.0
0.0,0.0,0.0,0.0,3.3474183,0.0,2.8628874,4.331686,3.1300223,0.0
0.0,0.0,0.0,0.0,1.3164905,0.0,4.800168,6.8885245,3.37209,0.0
0.0,0.0,0.0,0.0,1.9585757,0.0,3.7777183,4.6369057,2.1162536,0.0
0.0,0.0,0.0,0.0,6.275616,0.0,5.3558965,7.259642,4.5478168,0.0
0.0,0.0,0.0,0.0,7.2532363,0.0,5.8310304,7.499005,3.7014248,0.0
0.0,0.0,0.0,0.0,6.200541,0.0,7.529751,5.688235,5.072277,0.0
0.0,0.0,0.0,0.0,4.6450596,0.0,6.2473583,6.1518197,2.366568,0.0
0.0,0.0,0.0,0.0,2.4409435,0.0,10.111489,6.3872185,2.5662417,0.0
0.0,0.0,0.0,0.0,9.586589,0.0,5.377752,14.313186,9.497519,0.0
0.0,0.0,0.0,0.0,4.1518397,0.0,4.078702,4.600913,3.7943103,0.0
0.0,0.0,0.0,0.0,1.1311827,0.0,1.6550194,7.2696037,3.8624442,0.0
