feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
4.738316,0.0,2.2165358,2.558369,3.8639696,5.1540275,0.0,5.0278344,0.0,1.356403
5.304469,0.0,1.0881845,3.5335178,2.4790962,2.6467514,0.0,0.8506951,0.0,3.8151956
2.390788,0.0,1.3483986,2.9908743,5.0672646,5.1483073,0.0,4.01442,0.0,2.704656
3.1407537,0.0,1.8563997,2.2599409,2.4554842,3.37875,0.0,2.8453133,0.0,0.0
3.9966745,0.0,2.483472,4.964058,4.7067046,2.7929296,0.0,3.240513,0.0,3.3053813
4.130711,0.0,3.088118,3.794822,3.5497227,1.8118341,0.0,2.4420135,0.0,1.6149501
4.377109,0.0,5.812404,5.5937395,6.570611,6.7110415,0.0,7.5458064,0.0,5.580758
1.4819309,0.0,2.396309,4.595232,3.4731715,2.1417072,0.0,2.9713533,0.0,1.5848665
3.825055,0.0,2.1683903,3.2772129,3.205832,5.2112317,0.0,4.078835,0.0,0.9095738
4.6711254,0.0,2.1183703,1.8082083,3.0441034,4.3949776,0.0,4.761607,0.0,1.6429169
4.2759657,0.0,4.748289,5.630115,5.0659714,3.446027,0.0,4.468368,0.0,3.945394
3.755785,0.0,2.4684772,3.4126294,2.281265,1.331494,0.0,6.581278,0.0,1.3466052
1.0979954,0.0,1.5787326,3.3019497,3.6333184,6.0944667,0.0,5.9474635,0.0,3.602358
3.6069193,0.0,5.2148,5.5361023,4.216453,2.9114132,0.0,6.5776525,0.0,2.9174657
4.3122516,0.0,2.0401154,1.3099852,2.9351988,4.3114924,0.0,3.3565514,0.0,1.1729846
3.796349,0.0,5.517547,5.2297034,6.9515386,3.854517,0.0,6.6705284,0.0,2.3984413
3.9589431,0.0,5.3989573,6.9625077,4.73622,4.8058987,0.0,4.48554,0.0,4.715756
4.432975,0.0,4.8662066,3.012821,4.6593676,1.6437546,0.0,6.0687385,0.0,3.0639644
6.10484,0.0,4.738946,7.5811744,6.7325497,3.3521228,0.0,5.44222,0.0,6.6983795
3.9259448,0.0,0.0,3.7232392,2.6336038,3.2348473,0.0,2.1053028,0.0,1.8416634
5.562747,0.0,2.6593258,3.4279885,4.643219,5.7264447,0.0,5.064154,0.0,1.5116713
3.3826587,0.0,5.251189,1.9101642,3.6678715,4.26471,0.0,4.1229057,0.0,1.249175
1.1309173,0.0,1.271791,2.4758973,2.0835156,0.05937425,0.0,3.9424992,0.0,2.4822848
2.9562032,0.0,3.176044,3.7655566,2.4181798,1.2521149,0.0,0.87500685,0.0,1.279555
1.9917026,0.0,1.3986635,0.77412766,3.7066407,4.0155597,0.0,2.6448154,0.0,1.1460829
5.431146,0.0,3.445206,5.1368103,4.5794883,1.6443169,0.0,2.4157345,0.0,3.6377132
4.851278,0.0,5.728678,6.162533,3.7156417,4.30837,0.0,4.0446067,0.0,3.8131003
4.222707,0.0,5.4275384,6.9101,4.825485,4.844365,0.0,4.5948772,0.0,4.750012
3.2284267,0.0,1.9843105,1.7464316,1.9718717,0.0,0.0,4.5805864,0.0,0.94902503
3.580597,0.0,2.549702,2.894774,2.2872956,1.1250715,0.0,6.1795225,0.0,0.8092778
2.894549,0.0,2.9838142,5.061278,5.8319554,2.1490862,0.0,5.46984,0.0,3.4960833
4.2524242,0.0,3.4240992,6.8427243,5.5548763,3.7865767,0.0,5.5094514,0.0,3.3711324
2.928614,0.0,0.34341332,4.114786,4.8140297,3.1578794,0.0,0.42563406,0.0,2.1567106
3.689473,0.0,4.2616467,4.570365,5.785529,2.6127238,0.0,2.6679418,0.0,2.4181898
2.5814013,0.0,5.6731863,5.1071973,4.859212,4.1819425,0.0,3.504436,0.0,3.4780598
3.9870944,0.0,4.4526596,3.0151703,5.50268,1.6923016,0.0,6.4044404,0.0,1.8007369
3.711763,0.0,3.8426838,6.193166,3.8508654,2.0262694,0.0,1.5291564,0.0,2.872013
2.690218,0.0,1.0795501,2.8668265,2.7560434,4.4335475,0.0,3.84474,0.0,2.8514569
1.9272262,0.0,5.1225605,3.9830143,3.5513232,2.4860902,0.0,4.0899415,0.0,0.92195785
2.6785817,0.0,5.6094375,5.791005,5.780264,6.8420715,0.0,7.246699,0.0,3.9206321
6.0635877,0.0,4.0317698,7.122663,4.956247,2.9768684,0.0,4.153462,0.0,5.4166565
3.1740687,0.0,4.556782,4.1723723,4.573498,2.1621568,0.0,1.1426742,0.0,1.8249465
2.2279656,0.0,3.4293945,4.040001,5.0763144,2.9746532,0.0,10.848605,0.0,4.4314346
3.9031067,0.0,0.23971345,4.088961,4.048119,3.776251,0.0,1.9653832,0.0,1.987037
4.2633047,0.0,4.0414495,5.9448686,4.370073,2.5513813,0.0,2.710202,0.0,2.9190853
3.9759607,0.0,2.708399,4.9488845,3.3007054,2.3105574,0.0,7.963123,0.0,2.749744
4.6246433,0.0,4.0760736,2.3725452,3.8149188,1.921365,0.0,8.207557,0.0,2.309531
2.4203582,0.0,2.464287,5.3927517,5.0152364,1.3468838,0.0,5.0165396,0.0,2.8536685
2.7872553,0.0,4.772044,3.5458963,4.4359903,2.5380557,0.0,6.1821027,0.0,3.40043
2.625308,0.0,2.7744484,5.4747105,3.6668143,1.6032361,0.0,4.3527837,0.0,1.2442043
3.6852329,0.0,6.3794513,5.750908,6.7300425,4.107947,0.0,2.636641,0.0,3.7976367
2.6876218,0.0,4.532304,1.01738,5.8824615,4.357314,0.0,5.3305016,0.0,4.2298274
3.9688272,0.0,2.6879904,2.9797375,2.4969559,1.0570779,0.0,5.834029,0.0,0.0
2.1464934,0.0,5.1083975,4.2893734,3.9085531,4.433349,0.0,7.615038,0.0,2.326054
4.034405,0.0,4.3927627,3.9701977,4.020076,2.8137684,0.0,8.831034,0.0,2.9407015
2.4566872,0.0,1.6840162,3.8744872,3.6225102,5.1581774,0.0,5.561119,0.0,2.3607306
3.6796918,0.0,3.0239084,5.723363,2.1641026,1.4944215,0.0,4.70439,0.0,2.7993898
3.453991,0.0,2.0300932,3.854377,5.1735015,5.5557246,0.0,6.024918,0.0,2.429203
4.058495,0.0,1.1874236,1.7825363,3.217742,4.053774,0.0,3.032614,0.0,1.1646978
5.2805576,0.0,5.221814,7.6510653,4.9496775,4.3713393,0.0,3.7684011,0.0,3.3063738
3.5327158,0.0,1.4594935,2.4560325,5.667232,3.813802,0.0,4.9093337,0.0,1.27663
3.7157836,0.0,1.8769405,4.205154,3.2761674,4.5380464,0.0,6.71035,0.0,2.902727
0.6210888,0.0,2.2821882,1.7492919,3.7208586,0.4307719,0.0,1.5824214,0.0,2.3950372
2.6683545,0.0,4.6015263,3.012939,2.759543,1.8180398,0.0,6.983649,0.0,2.6189685
2.9039733,0.0,1.7421634,0.23906052,1.8155307,3.4149942,0.0,2.0121894,0.0,0.22765061
4.442832,0.0,5.213431,3.9071934,4.791498,2.4431288,0.0,6.051153,0.0,2.7058623
3.7196383,0.0,1.9212314,3.1148696,4.7344723,1.2507728,0.0,5.134329,0.0,2.6715863
1.4964656,0.0,1.5848798,3.0266175,2.1302392,0.19264856,0.0,4.277272,0.0,2.5809681
4.618495,0.0,1.4917294,2.245764,2.3361764,4.1775093,0.0,2.805843,0.0,0.44728276
4.95495,0.0,0.9103398,2.384278,1.0857642,1.8091344,0.0,0.98693556,0.0,2.4293592
2.5239239,0.0,4.72851,2.5725343,1.8452259,0.9599942,0.0,5.0019608,0.0,0.7024434
1.6518693,0.0,4.8540983,3.9105003,3.9346614,4.426391,0.0,7.914401,0.0,5.4246225
3.6267264,0.0,3.4496756,2.997782,4.2726326,2.0701365,0.0,8.380781,0.0,1.1375582
2.4249997,0.0,2.087886,4.120209,3.049229,0.8356598,0.0,5.44483,0.0,2.7217677
2.6360855,0.0,1.7607352,1.7830681,2.4533126,0.16769567,0.0,4.956888,0.0,0.0
3.7235587,0.0,2.1334257,2.293852,3.8598754,4.9359045,0.0,3.8898094,0.0,1.2953255
3.4957452,0.0,5.222523,4.8425403,4.6194124,2.8942595,0.0,6.251444,0.0,2.3494961
2.1881232,0.0,5.5054126,4.87337,6.7760625,5.3766656,0.0,4.8858633,0.0,4.0706267
1.6506705,0.0,4.7920218,3.3938892,2.1560292,3.8721461,0.0,6.6991534,0.0,2.9969308
3.7727754,0.0,2.2542596,2.5918221,1.5991683,4.798342,0.0,3.5483363,0.0,1.5527896
1.4804434,0.0,2.8356109,3.2599416,0.0,2.0326054,0.0,8.255962,0.0,2.2535796
5.646334,0.0,4.1180887,6.603422,4.6812205,3.449047,0.0,4.213395,0.0,3.231529
3.4326391,0.0,3.2572975,5.674462,2.7072263,3.1550272,0.0,3.981097,0.0,2.259197
3.1373816,0.0,6.18383,5.2848496,3.3683753,5.4563174,0.0,4.0640593,0.0,4.1953583
2.5077806,0.0,1.4460135,4.1451254,4.4440713,5.7892823,0.0,4.966376,0.0,3.459864
3.812132,0.0,5.3784,5.0824175,3.6900105,3.532421,0.0,7.2419667,0.0,3.1505482
5.014352,0.0,4.4825444,5.858109,7.5218,3.7256293,0.0,3.8985064,0.0,3.7861645
5.596738,0.0,3.4911156,4.632598,4.062145,2.5356495,0.0,3.860176,0.0,2.129943
3.4426491,0.0,4.3552012,4.2326303,3.0908644,0.8750294,0.0,0.707188,0.0,2.8182237
2.6922145,0.0,2.6056983,3.9584484,1.7455267,5.802527,0.0,5.0603094,0.0,3.304086
