feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
6.5844607,0.0,5.8994613,0.0,4.663338,2.251379,9.01895,0.0,0.0,0.0
5.5961647,0.0,6.632753,0.0,4.3316984,7.419618,4.550436,0.0,0.0,0.0
4.641773,0.0,7.4132934,0.0,5.1507945,2.4679189,4.654751,0.0,0.0,0.0
4.2032604,0.0,6.633883,0.0,3.4879827,3.6796813,7.453884,0.0,0.0,0.0
5.351999,0.0,4.0156627,0.0,4.2912183,7.13517,3.6959014,0.0,0.0,0.0
7.428226,0.0,5.4753494,0.0,4.3803763,0.6573723,7.6458306,0.0,0.0,0.0
4.1922007,0.0,2.2677464,0.0,2.8928409,7.9422255,3.0849566,0.0,0.0,0.83552253
5.271293,0.0,6.179043,0.0,4.27844,2.1578803,8.685071,0.0,0.0,0.0
3.3257575,0.0,6.2044644,0.0,2.6898124,4.3327312,5.4900584,0.0,0.0,0.0
7.6728563,0.0,6.0493374,0.0,7.255303,4.6438303,8.645529,0.0,0.0,0.0
4.7696657,0.0,2.1151302,0.0,3.0623362,8.592668,3.091167,0.0,0.0,0.64154977
2.5725896,0.0,3.7449968,0.0,3.3987749,1.9347494,4.657025,0.0,0.0,0.0
5.675798,0.0,6.44346,0.0,4.9905868,3.4126673,5.297837,0.0,0.0,0.0
4.457287,0.0,4.7074256,0.0,7.528278,5.096929,6.834187,0.0,0.0,0.0
5.3759565,0.0,4.375779,0.0,4.4416785,2.8566403,8.259907,0.0,0.0,0.0
3.4173496,0.0,0.4866558,0.0,1.3153293,4.20782,1.7324203,0.0,0.0,4.0160885
5.5457597,0.0,1.956985,0.0,2.6809058,7.975973,1.9237958,0.0,0.0,0.03318838
8.485785,0.0,9.246783,0.0,5.3250995,5.537299,8.085535,0.0,0.0,0.0
8.429041,0.0,7.9042854,0.0,6.1921964,5.710513,10.524981,0.0,0.0,0.0
6.477526,0.0,5.1380377,0.0,4.7097545,7.736264,5.9352326,0.0,0.0,0.0
6.8982887,0.0,5.1962576,0.0,8.793346,8.301896,8.552355,0.0,0.0,0.0
5.8075404,0.0,7.9565563,0.0,3.8802564,2.760766,9.454361,0.0,0.0,0.0
5.559674,0.0,6.2828746,0.0,6.8590655,2.8516016,7.994707,0.0,0.0,0.0
6.6971107,0.0,5.9738574,0.0,6.2183514,5.6647425,5.678797,0.0,0.0,0.0
3.621446,0.0,1.8623328,0.0,1.5725262,7.1890154,2.71762,0.0,0.0,0.58608484
6.0044866,0.0,3.0236325,0.0,2.7144578,5.077217,1.3870276,0.0,0.0,0.0
6.7654343,0.0,2.8972828,0.0,6.04269,6.5433283,5.5259867,0.0,0.0,0.0
4.674364,0.0,1.1086473,0.0,2.7731576,7.3416286,3.0318549,0.0,0.0,0.32772678
2.7063265,0.0,4.055395,0.0,2.428118,3.3108935,6.9211698,0.0,0.0,0.0
8.804906,0.0,7.621419,0.0,4.706812,4.2863398,7.266594,0.0,0.0,0.0
5.5003743,0.0,9.680023,0.0,4.9622374,4.0149846,9.408509,0.0,0.0,0.0
5.759115,0.0,3.155183,0.0,2.0897892,6.462519,3.1123452,0.0,0.0,0.0
4.1598043,0.0,3.3192508,0.0,1.3095965,4.8350463,0.7265767,0.0,0.0,0.0
4.864197,0.0,6.821224,0.0,3.7900944,3.476922,5.052995,0.0,0.0,0.0
6.913765,0.0,6.44842,0.0,3.4658513,0.6782685,7.4376154,0.0,0.0,0.0
3.6316018,0.0,8.786672,0.0,7.4041243,8.155502,6.4876356,0.0,0.0,0.0
5.045671,0.0,6.134147,0.0,5.3315864,4.819985,6.6824455,0.0,0.0,0.0
4.8150845,0.0,2.817769,0.0,3.8453598,7.1149,1.324212,0.0,0.0,0.9546049
6.220402,0.0,6.768322,0.0,3.1384237,1.6466584,8.305919,0.0,0.0,0.0
5.8556323,0.0,6.1759963,0.0,4.76132,4.344234,6.8797317,0.0,0.0,0.0
7.9640555,0.0,6.472709,0.0,6.0175986,3.6723876,5.1973357,0.0,0.0,0.0
7.059394,0.0,6.7682066,0.0,3.5829747,2.2463217,6.4758205,0.0,0.0,0.0
6.2189307,0.0,7.40183,0.0,4.5582767,7.245114,5.7938113,0.0,0.0,0.0
5.5937843,0.0,2.5088658,0.0,5.907506,6.6200905,4.4612107,0.0,0.0,0.0
6.0817494,0.0,3.5143683,0.0,5.6644726,6.695728,4.236018,0.0,0.0,0.0
7.5252295,0.0,5.0816793,0.0,4.0468655,5.5436635,6.411549,0.0,0.0,0.0
3.7822063,0.0,4.9058886,0.0,8.270314,5.179848,8.143932,0.0,0.0,0.0
4.1804566,0.0,3.376768,0.0,1.070752,1.90432,4.976964,0.0,0.0,0.0
6.4090714,0.0,6.038599,0.0,5.6552696,4.1784806,8.039433,0.0,0.0,0.0
5.0415745,0.0,7.803667,0.0,5.999179,3.465673,9.766024,0.0,0.0,0.0
4.0489497,0.0,6.1181555,0.0,4.8874955,4.3103786,5.128366,0.0,0.0,0.0
4.8228054,0.0,6.981122,0.0,4.877312,5.8047233,8.601764,0.0,0.0,0.0
5.2240896,0.0,1.8416988,0.0,3.1995487,7.808209,2.7546444,0.0,0.0,1.3902625
9.462447,0.0,5.590052,0.0,4.4216356,4.417455,7.304116,0.0,0.0,0.0
8.339663,0.0,7.818306,0.0,8.186175,7.114741,10.725381,0.0,0.0,0.0
5.6685014,0.0,4.2107244,0.0,4.29205,2.456212,4.8433943,0.0,0.0,0.0
4.2503743,0.0,3.6025496,0.0,4.761571,7.173395,3.0151687,0.0,0.0,0.0
5.499839,0.0,8.263765,0.0,9.562248,3.7920732,11.736347,0.0,0.0,0.0
4.641613,0.0,6.403598,0.0,4.1905556,1.6967472,8.386148,0.0,0.0,0.0
6.7558875,0.0,4.846792,0.0,6.6711597,3.0106206,11.180103,0.0,0.0,0.0
6.659438,0.0,4.8922715,0.0,5.412444,2.5410619,8.548026,0.0,0.0,0.0
5.3618865,0.0,5.5663695,0.0,8.375463,3.708385,8.776143,0.0,0.0,0.0
3.370871,0.0,3.6645377,0.0,4.3335423,2.9984012,5.110318,0.0,0.0,0.0
9.032387,0.0,6.8668528,0.0,6.7346725,1.048159,10.117374,0.0,0.0,0.0
3.0720255,0.0,7.6099114,0.0,4.851306,4.194688,7.6521926,0.0,0.0,0.0
4.958828,0.0,3.2057767,0.0,3.1795552,5.735258,2.2946548,0.0,0.0,0.0
6.2786283,0.0,0.8282237,0.0,2.9243615,7.565729,0.77105784,0.0,0.0,3.3928552
5.394357,0.0,3.764737,0.0,3.344436,2.7629485,6.091952,0.0,0.0,0.0
5.868823,0.0,0.113429666,0.0,6.1358213,7.3683596,3.5144684,0.0,0.0,2.8871193
7.946914,0.0,4.5169806,0.0,6.8525834,6.1196237,4.3431134,0.0,0.0,0.0
5.435705,0.0,3.9694197,0.0,2.3023307,3.7980423,5.662685,0.0,0.0,0.0
7.5191197,0.0,5.743579,0.0,4.4516163,4.1845994,4.5480285,0.0,0.0,0.0
6.101613,0.0,5.3757095,0.0,5.230054,3.369039,9.054294,0.0,0.0,0.0
5.864125,0.0,6.6418023,0.0,5.1989155,5.936308,6.112519,0.0,0.0,0.0
5.067453,0.0,4.9839287,0.0,3.313505,1.6702302,6.0705442,0.0,0.0,0.0
4.7426353,0.0,7.6607027,0.0,5.1490574,3.2054496,9.346459,0.0,0.0,0.0
4.8703103,0.0,6.781163,0.0,4.427051,1.4324663,8.499311,0.0,0.0,0.0
4.000623,0.0,3.705675,0.0,3.1510665,7.075699,3.550373,0.0,0.0,0.0
4.6644435,0.0,6.0076466,0.0,6.62859,4.174462,5.6506057,0.0,0.0,0.0
5.741281,0.0,6.7177987,0.0,3.3879266,2.383761,6.921024,0.0,0.0,0.0
5.0753293,0.0,5.6038365,0.0,6.5376062,3.7414217,5.6217704,0.0,0.0,0.0
7.9976363,0.0,7.788081,0.0,3.838594,2.091711,9.768911,0.0,0.0,0.0
5.4276867,0.0,10.312622,0.0,6.585556,3.940096,11.33143,0.0,0.0,0.0
6.428967,0.0,7.6364255,0.0,4.6418552,2.8522372,9.449925,0.0,0.0,0.0
5.0434327,0.0,1.2820212,0.0,3.2381523,7.0498238,0.0,0.0,0.0,3.668027
5.4458976,0.0,3.2237263,0.0,2.783781,2.2347264,5.3657575,0.0,0.0,0.0
8.082272,0.0,4.2987604,0.0,4.014357,3.9104824,6.3669386,0.0,0.0,0.0
4.1570063,0.0,1.9850149,0.0,4.4610524,6.914656,4.582018,0.0,0.0,0.0
7.6878133,0.0,3.3984876,0.0,7.391039,7.4072323,8.558163,0.0,0.0,0.0
6.70749,0.0,5.081022,0.0,3.9837434,2.2897134,6.4033155,0.0,0.0,0.0
6.831798,0.0,5.4203544,0.0,4.185002,1.9640968,6.3128824,0.0,0.0,0.0
6.592139,0.0,4.5133734,0.0,4.441784,4.1834555,6.396701,0.0,0.0,0.0
3.0290427,0.0,6.56002,0.0,2.3256605,2.9821491,4.1053348,0.0,0.0,0.0
8.858551,0.0,6.359927,0.0,4.9127955,3.349093,5.579734,0.0,0.0,0.0
2.5605445,0.0,2.4668832,0.0,0.43779776,6.665551,1.0001627,0.0,0.0,2.337135
6.326776,0.0,4.1517477,0.0,5.9689746,3.879383,7.83884,0.0,0.0,0.0
6.248446,0.0,6.1012416,0.0,6.5053544,2.2714224,7.370757,0.0,0.0,0.0
5.9484076,0.0,3.8740978,0.0,1.5131173,5.3505635,1.5869893,0.0,0.0,0.0
5.4167037,0.0,3.6728094,0.0,5.283875,3.290351,6.7548,0.0,0.0,0.0
2.4449768,0.0,6.5045037,0.0,2.0770953,4.5945563,3.2251368,0.0,0.0,0.0
4.875413,0.0,0.9955989,0.0,3.6972282,5.2429743,1.5221326,0.0,0.0,2.259385
5.6877236,0.0,5.6019864,0.0,7.6863065,3.9693727,5.9304442,0.0,0.0,0.0
6.3735595,0.0,8.807747,0.0,4.055619,0.20800266,7.3414383,0.0,0.0,0.0
5.051462,0.0,4.5566187,0.0,6.757805,3.0680695,6.622167,0.0,0.0,0.0
2.712136,0.0,4.357993,0.0,1.8528633,2.1459856,5.02911,0.0,0.0,0.0
6.948571,0.0,5.637869,0.0,4.66881,2.5504136,9.305979,0.0,0.0,0.0
5.840009,0.0,5.6421614,0.0,2.7820222,0.96968436,8.297961,0.0,0.0,0.0
4.2029643,0.0,5.5334797,0.0,2.1837356,1.2306756,2.2507975,0.0,0.0,0.0
5.1899433,0.0,1.9520905,0.0,3.2959201,6.4805193,1.0260153,0.0,0.0,0.23022461
5.4548993,0.0,3.4838567,0.0,3.6686633,3.2737064,6.8658166,0.0,0.0,0.0
6.52022,0.0,6.086938,0.0,5.772614,2.1481829,6.720574,0.0,0.0,0.0
3.9941435,0.0,0.9055696,0.0,3.8289337,8.472225,2.3144784,0.0,0.0,3.1173742
7.645464,0.0,4.014865,0.0,6.252898,6.6468415,4.8508015,0.0,0.0,0.0
