feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,0.0,0.0,9.248197,0.0,4.822512,0.0,0.0,13.622408,0.0
0.0,0.0,0.0,9.952119,0.0,2.9181426,0.0,0.0,13.211156,0.0
0.0,0.0,0.0,5.208931,0.0,2.1793828,0.0,0.0,10.639351,0.0
0.0,0.0,0.0,5.1170287,0.0,2.4853315,0.0,0.0,10.4594345,0.0
0.0,0.0,0.0,9.724287,0.0,5.947106,0.0,0.0,13.880771,0.0
0.0,0.0,0.0,4.9717827,0.0,2.321271,0.0,0.0,8.188772,0.0
0.0,0.0,0.0,3.494449,0.0,1.4873902,0.0,0.0,6.0763717,0.0
0.0,0.0,0.0,11.960215,0.0,4.4729457,0.0,0.0,18.753492,0.0
0.0,0.0,0.0,7.739369,0.0,5.6472564,0.0,0.0,0.8046361,0.0
0.0,0.0,0.0,6.9551926,0.0,1.5825427,0.0,0.0,1.3665066,0.0
0.0,0.0,0.0,5.371841,0.0,3.1498199,0.0,0.0,12.526311,0.0
0.0,0.0,0.0,5.9645395,0.0,3.1824179,0.0,0.0,6.79707,0.0
0.0,0.0,0.0,7.1476693,0.0,4.9028864,0.0,0.0,0.9296479,0.0
0.0,0.0,0.0,6.2250886,0.0,4.696254,0.0,0.0,13.156926,0.0
0.0,0.0,0.0,0.40983024,0.0,1.0005871,0.0,0.0,3.732526,0.0
0.0,0.0,0.0,4.7447414,0.0,1.5090829,0.0,0.0,8.3230915,0.0
0.0,0.0,0.0,7.508504,0.0,5.3959007,0.0,0.0,1.2255614,0.0
0.0,0.0,0.0,8.263379,0.0,4.4393344,0.0,0.0,14.361123,0.0
0.0,0.0,0.0,10.20029,0.0,6.071922,0.0,0.0,15.253441,0.0
0.0,0.0,0.0,0.94473255,0.0,2.5003753,0.0,0.0,4.573348,0.0
0.0,0.0,0.0,10.503233,0.0,6.2827716,0.0,0.0,1.873863,0.0
0.0,0.0,0.0,4.4625955,0.0,1.9554472,0.0,0.0,4.795581,0.0
0.0,0.0,0.0,4.7251873,0.0,1.4508446,0.0,0.0,8.212134,0.0
0.0,0.0,0.0,5.6572576,0.0,6.2482853,0.0,0.0,10.501946,0.0
0.0,0.0,0.0,5.790405,0.0,4.1652827,0.0,0.0,14.755119,0.0
0.0,0.0,0.0,3.2930021,0.0,2.4711676,0.0,0.0,6.3844204,0.0
0.0,0.0,0.0,11.767607,0.0,4.151812,0.0,0.0,16.310871,0.0
0.0,0.0,0.0,13.237511,0.0,4.463692,0.0,0.0,14.99364,0.0
0.0,0.0,0.0,1.489298,0.0,4.4831476,0.0,0.0,0.9668766,0.0
0.0,0.0,0.0,7.6430993,0.0,5.4328012,0.0,0.0,0.63912135,0.0
0.0,0.0,0.0,10.8421545,0.0,4.4230127,0.0,0.0,10.14229,0.0
0.0,0.0,0.0,11.348779,0.0,5.4719596,0.0,0.0,17.211887,0.0
0.0,0.0,0.0,10.886813,0.0,6.991021,0.0,0.0,2.546267,0.0
0.0,0.0,0.0,1.2390594,0.0,4.1742396,0.0,0.0,3.8147843,0.0
0.0,0.0,0.0,9.942297,0.0,5.386341,0.0,0.0,14.406558,0.0
0.0,0.0,0.0,4.08193,0.0,3.19028,0.0,0.0,10.701204,0.0
0.0,0.0,0.0,9.7846,0.0,5.013463,0.0,0.0,1.3957558,0.0
0.0,0.0,0.0,12.875437,0.0,3.620419,0.0,0.0,12.120053,0.0
0.0,0.0,0.0,0.45726433,0.0,1.828001,0.0,0.0,3.3984466,0.0
0.0,0.0,0.0,8.206907,0.0,3.745167,0.0,0.0,10.821984,0.0
0.0,0.0,0.0,2.3979144,0.0,3.11327,0.0,0.0,2.1354823,0.0
0.0,0.0,0.0,8.32505,0.0,3.5283825,0.0,0.0,11.098443,0.0
0.0,0.0,0.0,13.195041,0.0,6.501253,0.0,0.0,13.155315,0.0
0.0,0.0,0.0,15.011043,0.0,4.0115323,0.0,0.0,18.494028,0.0
0.0,0.0,0.0,8.74429,0.0,3.5129435,0.0,0.0,12.432641,0.0
0.0,0.0,0.0,8.698338,0.0,5.3429613,0.0,0.0,2.500242,0.0
0.0,0.0,0.0,4.5938244,0.0,3.2239366,0.0,0.0,7.421824,0.0
0.0,0.0,0.0,14.271556,0.0,5.916555,0.0,0.0,13.721394,0.0
0.0,0.0,0.0,4.872014,0.0,5.2385497,0.0,0.0,8.625325,0.0
0.0,0.0,0.0,3.8746042,0.0,2.4676576,0.0,0.0,6.1175523,0.0
0.0,0.0,0.0,14.554518,0.0,2.41829,0.0,0.0,16.907772,0.0
0.0,0.0,0.0,11.352582,0.0,6.3665967,0.0,0.0,14.448574,0.0
0.0,0.0,0.0,0.22880578,0.0,2.450261,0.0,0.0,0.86309326,0.0
0.0,0.0,0.0,4.6564903,0.0,4.055364,0.0,0.0,4.9487705,0.0
0.0,0.0,0.0,12.643293,0.0,7.203761,0.0,0.0,2.7977037,0.0
0.0,0.0,0.0,9.939856,0.0,4.1420674,0.0,0.0,2.9193761,0.0
0.0,0.0,0.0,6.645019,0.0,5.482791,0.0,0.0,2.1289794,0.0
0.0,0.0,0.0,10.219251,0.0,3.6725607,0.0,0.0,9.927526,0.0
0.0,0.0,0.0,1.7401016,0.0,3.0553021,0.0,0.0,6.852598,0.0
0.0,0.0,0.0,15.565827,0.0,5.6864185,0.0,0.0,18.32087,0.0
0.0,0.0,0.0,9.971723,0.0,4.2351584,0.0,0.0,2.979794,0.0
0.0,0.0,0.0,7.4393773,0.0,3.8662705,0.0,0.0,8.438699,0.0
0.0,0.0,0.0,8.736328,0.0,5.748763,0.0,0.0,1.6716644,0.0
0.0,0.0,0.0,10.93506,0.0,1.7206762,0.0,0.0,1.1852717,0.0
0.0,0.0,0.0,8.340954,0.0,3.7698581,0.0,0.0,11.193645,0.0
0.0,0.0,0.0,11.411029,0.0,3.609232,0.0,0.0,11.476034,0.0
0.0,0.0,0.0,8.196008,0.0,5.2485485,0.0,0.0,9.199243,0.0
0.0,0.0,0.0,10.860656,0.0,5.703743,0.0,0.0,16.380821,0.0
0.0,0.0,0.0,9.851805,0.0,4.2707705,0.0,0.0,1.235547,0.0
0.0,0.0,0.0,10.080651,0.0,5.3505683,0.0,0.0,1.1851388,0.0
0.0,0.0,0.0,6.540214,0.0,4.708477,0.0,0.0,2.1234975,0.0
0.0,0.0,0.0,12.444716,0.0,3.3913176,0.0,0.0,14.582738,0.0
0.0,0.0,0.0,10.619655,0.0,5.8416085,0.0,0.0,2.8613539,0.0
0.0,0.0,0.0,16.363688,0.0,3.9685977,0.0,0.0,19.447926,0.0
0.0,0.0,0.0,1.5154283,0.0,2.3607218,0.0,0.0,2.120107,0.0
0.0,0.0,0.0,12.920064,0.0,4.2215123,0.0,0.0,13.828421,0.0
0.0,0.0,0.0,11.033144,0.0,3.9200518,0.0,0.0,15.54241,0.0
0.0,0.0,0.0,6.1245503,0.0,6.3950014,0.0,0.0,9.720471,0.0
0.0,0.0,0.0,5.6780376,0.0,2.7527378,0.0,0.0,11.624705,0.0
0.0,0.0,0.0,11.355864,0.0,3.2327797,0.0,0.0,15.68033,0.0
0.0,0.0,0.0,6.4403625,0.0,4.7876453,0.0,0.0,16.16537,0.0
0.0,0.0,0.0,16.3372,0.0,4.587003,0.0,0.0,19.154715,0.0
0.0,0.0,0.0,2.632822,0.0,3.8866472,0.0,0.0,7.799101,0.0
0.0,0.0,0.0,10.363688,0.0,2.8811219,0.0,0.0,0.19957383,0.0
0.0,0.0,0.0,8.467108,0.0,5.4941354,0.0,0.0,10.361253,0.0
0.0,0.0,0.0,9.866115,0.0,3.9027634,0.0,0.0,11.42118,0.0
0.0,0.0,0.0,10.419661,0.0,3.8360336,0.0,0.0,9.468455,0.0
0.0,0.0,0.0,14.915051,0.0,5.647193,0.0,0.0,15.760133,0.0
0.0,0.0,0.0,7.7040615,0.0,4.596475,0.0,0.0,17.674772,0.0
0.0,0.0,0.0,12.947403,0.0,4.5916414,0.0,0.0,9.97908,0.0
0.0,0.0,0.0,4.1783376,0.0,3.50898,0.0,0.0,6.420406,0.0
0.0,0.0,0.0,16.43998,0.0,5.4740415,0.0,0.0,16.663439,0.0
