feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,0.0,0.0,1.4765717,6.3870597,0.0,0.0,0.0,2.0286262,8.836391
0.0,0.0,0.0,3.568714,7.8068757,0.0,0.0,0.0,4.358833,1.8884369
0.0,0.0,0.0,1.445697,5.314117,0.0,0.0,0.0,3.7844203,10.133986
0.0,0.0,0.0,1.2652304,6.916534,0.0,0.0,0.0,2.345852,8.895938
0.0,0.0,0.0,2.2717102,8.241331,0.0,0.0,0.0,2.9187126,0.9340153
0.0,0.0,0.0,1.7260342,4.2103796,0.0,0.0,0.0,2.8054829,3.9020011
0.0,0.0,0.0,2.925154,5.9971037,0.0,0.0,0.0,3.1927116,1.2203116
0.0,0.0,0.0,3.3784864,6.591017,0.0,0.0,0.0,5.65999,10.132331
0.0,0.0,0.0,2.4599934,5.600336,0.0,0.0,0.0,1.6688837,8.881894
0.0,0.0,0.0,2.2108998,7.290755,0.0,0.0,0.0,4.296822,5.482631
0.0,0.0,0.0,2.1108603,3.4840329,0.0,0.0,0.0,2.411737,8.534358
0.0,0.0,0.0,2.64044,4.1504,0.0,0.0,0.0,3.9608955,9.527446
0.0,0.0,0.0,3.830541,5.3853517,0.0,0.0,0.0,2.6317754,0.25568795
0.0,0.0,0.0,2.1106465,5.360368,0.0,0.0,0.0,1.9732094,5.848586
0.0,0.0,0.0,3.1789598,5.269511,0.0,0.0,0.0,0.92660433,6.022892
0.0,0.0,0.0,2.9884076,9.296491,0.0,0.0,0.0,2.1702487,2.0844605
0.0,0.0,0.0,2.5427136,5.2875085,0.0,0.0,0.0,3.7920532,5.538169
0.0,0.0,0.0,3.2652094,8.271149,0.0,0.0,0.0,2.5987842,2.0742311
0.0,0.0,0.0,1.4698687,6.7601075,0.0,0.0,0.0,4.3840575,9.60524
0.0,0.0,0.0,4.027014,6.336853,0.0,0.0,0.0,3.769187,5.6115527
0.0,0.0,0.0,1.1091013,7.9956646,0.0,0.0,0.0,4.3611827,12.761125
0.0,0.0,0.0,2.8885703,5.2593203,0.0,0.0,0.0,0.6981415,0.80517066
0.0,0.0,0.0,2.0674396,4.185286,0.0,0.0,0.0,2.2745187,10.009435
0.0,0.0,0.0,3.4396636,8.478344,0.0,0.0,0.0,5.1659284,11.317374
0.0,0.0,0.0,4.680667,3.9079707,0.0,0.0,0.0,4.195925,2.1177583
0.0,0.0,0.0,2.862856,7.0233293,0.0,0.0,0.0,1.0142804,1.497063
0.0,0.0,0.0,3.4899964,9.286931,0.0,0.0,0.0,4.1328006,10.112913
0.0,0.0,0.0,3.805298,0.11448833,0.0,0.0,0.0,6.489566,8.069938
0.0,0.0,0.0,2.9046755,5.0371814,0.0,0.0,0.0,3.044257,8.967345
0.0,0.0,0.0,5.3965774,7.0849752,0.0,0.0,0.0,0.7683614,2.276298
0.0,0.0,0.0,4.7084455,8.515429,0.0,0.0,0.0,2.5600932,7.073403
0.0,0.0,0.0,3.7182982,8.129391,0.0,0.0,0.0,2.426192,1.6094321
0.0,0.0,0.0,0.0,5.372491,0.0,0.0,0.0,4.190783,9.095033
0.0,0.0,0.0,3.072793,7.8043995,0.0,0.0,0.0,1.3133401,2.707025
0.0,0.0,0.0,1.6608427,4.6601124,0.0,0.0,0.0,3.3536434,3.4581647
0.0,0.0,0.0,2.2367337,7.778859,0.0,0.0,0.0,1.1509525,10.203442
0.0,0.0,0.0,0.26014444,5.247344,0.0,0.0,0.0,3.2474005,9.516801
0.0,0.0,0.0,0.94579315,5.6280785,0.0,0.0,0.0,3.1674836,9.979878
0.0,0.0,0.0,1.7881591,7.2344446,0.0,0.0,0.0,3.3109472,13.143033
0.0,0.0,0.0,3.416064,6.3593664,0.0,0.0,0.0,5.12819,9.691867
0.0,0.0,0.0,1.9171137,4.601308,0.0,0.0,0.0,2.6851704,5.6138234
0.0,0.0,0.0,0.0,4.819225,0.0,0.0,0.0,2.5968754,8.048605
0.0,0.0,0.0,2.3312523,6.511022,0.0,0.0,0.0,2.5176315,10.130884
0.0,0.0,0.0,2.1249716,4.1320157,0.0,0.0,0.0,4.412763,5.1136975
0.0,0.0,0.0,1.7594243,4.0673203,0.0,0.0,0.0,3.5792642,9.757599
0.0,0.0,0.0,4.6278095,9.101717,0.0,0.0,0.0,3.6723382,1.6887095
0.0,0.0,0.0,4.6284113,9.474736,0.0,0.0,0.0,3.3666847,3.6937988
0.0,0.0,0.0,2.2991524,6.247906,0.0,0.0,0.0,2.3301356,12.431656
0.0,0.0,0.0,2.708961,3.7453444,0.0,0.0,0.0,4.140315,4.234301
0.0,0.0,0.0,2.944808,6.459128,0.0,0.0,0.0,3.2801666,10.091889
0.0,0.0,0.0,2.3847594,4.7251015,0.0,0.0,0.0,3.71955,9.983703
0.0,0.0,0.0,3.9375386,7.975504,0.0,0.0,0.0,1.7786845,1.8144087
0.0,0.0,0.0,0.13402398,4.00691,0.0,0.0,0.0,2.566619,7.1187034
0.0,0.0,0.0,2.9913254,7.2024198,0.0,0.0,0.0,1.2870204,8.40469
0.0,0.0,0.0,3.2007623,8.96182,0.0,0.0,0.0,1.912145,2.2459035
0.0,0.0,0.0,1.3279159,3.6201472,0.0,0.0,0.0,4.461435,8.759832
0.0,0.0,0.0,5.848273,9.536173,0.0,0.0,0.0,3.4279344,2.494376
0.0,0.0,0.0,0.7562459,5.882749,0.0,0.0,0.0,3.254624,12.440065
0.0,0.0,0.0,1.9422699,1.8118454,0.0,0.0,0.0,4.5321417,1.5102152
0.0,0.0,0.0,1.3204386,5.4443583,0.0,0.0,0.0,2.289737,1.4130446
0.0,0.0,0.0,4.172587,8.485703,0.0,0.0,0.0,3.606155,2.918884
0.0,0.0,0.0,3.8955958,10.909953,0.0,0.0,0.0,1.6211077,3.35455
