feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.7036754,0.0,0.0,1.9629037,0.0,2.4668226,0.0,5.131328,0.0,0.0
2.4323997,0.0,0.0,7.00071,0.0,3.4980962,0.0,9.630672,0.0,0.0
9.229482,0.0,0.0,7.27989,0.0,4.750369,0.0,5.171246,0.0,0.0
1.987848,0.0,0.0,10.955709,0.0,9.515724,0.0,1.5844125,0.0,0.0
5.7434855,0.0,0.0,3.064156,0.0,5.6064544,0.0,2.7250068,0.0,0.0
7.5154896,0.0,0.0,2.724184,0.0,3.4975843,0.0,4.4487176,0.0,0.0
5.205009,0.0,0.0,2.8817513,0.0,3.4158692,0.0,0.73656684,0.0,0.0
8.291857,0.0,0.0,6.4647446,0.0,2.6519582,0.0,4.056318,0.0,0.0
4.2864933,0.0,0.0,3.221576,0.0,2.6818724,0.0,3.0427709,0.0,0.0
7.9806533,0.0,0.0,6.8478436,0.0,3.849299,0.0,4.066739,0.0,0.0
5.627666,0.0,0.0,3.086012,0.0,3.9389963,0.0,0.81873286,0.0,0.0
6.1190505,0.0,0.0,1.3097723,0.0,3.4369626,0.0,2.9968464,0.0,0.0
6.2306643,0.0,0.0,5.1107917,0.0,6.9325733,0.0,2.738988,0.0,0.0
4.9518657,0.0,0.0,7.1168637,0.0,3.0514052,0.0,6.682518,0.0,0.0
2.1834705,0.0,0.0,2.2930887,0.0,3.390567,0.0,7.2585816,0.0,0.0
8.146959,0.0,0.0,5.6553493,0.0,7.932357,0.0,5.8387766,0.0,0.0
6.598583,0.0,0.0,6.3280754,0.0,3.3555398,0.0,3.6570508,0.0,0.0
4.5908465,0.0,0.0,9.35842,0.0,6.675416,0.0,7.402303,0.0,0.0
4.2978272,0.0,0.0,3.7986126,0.0,6.134284,0.0,6.1867013,0.0,0.0
4.785576,0.0,0.0,3.779459,0.0,0.13740456,0.0,2.9631302,0.0,0.0
5.21496,0.0,0.0,3.8521657,0.0,4.4555583,0.0,8.234067,0.0,0.0
3.4323587,0.0,0.0,4.606606,0.0,1.8951074,0.0,5.2317796,0.0,0.0
7.8759265,0.0,0.0,7.5249076,0.0,6.0896907,0.0,3.5521529,0.0,0.0
7.7695274,0.0,0.0,7.239755,0.0,6.077298,0.0,3.255833,0.0,0.0
