feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
2.8265874,0.0,0.0,0.0,6.481233,0.6028077,1.6368483,8.628526,0.0,0.0
6.279839,0.0,0.0,0.0,4.808078,5.2071867,7.2644205,5.8159513,0.0,0.0
3.2172506,0.0,0.0,0.0,2.1953123,2.7236624,4.04021,0.0,0.0,0.0
1.3185741,0.0,0.0,0.0,8.159034,4.4665174,8.363872,4.806989,0.0,0.0
0.29579616,0.0,0.0,0.0,5.114282,3.8136303,5.707155,1.3622142,0.0,0.0
4.5356693,0.0,0.0,0.0,6.335458,2.8830833,3.47866,7.948034,0.0,0.0
3.477153,0.0,0.0,0.0,1.2087725,1.1548587,4.862033,5.334147,0.0,0.0
3.0771403,0.0,0.0,0.0,3.1726017,4.311538,1.0391687,7.584702,0.0,0.0
2.7747028,0.0,0.0,0.0,1.6882455,4.9622416,4.8383813,6.958243,0.0,0.0
1.2643764,0.0,0.0,0.0,4.126732,3.1566918,5.506693,4.7776403,0.0,0.0
4.2805243,0.0,0.0,0.0,6.38844,4.269883,4.113925,9.575855,0.0,0.0
1.8772511,0.0,0.0,0.0,6.50864,3.6601136,7.8135757,3.7138069,0.0,0.0
4.048824,0.0,0.0,0.0,7.1661196,5.203453,7.0631385,3.1212263,0.0,0.0
5.526176,0.0,0.0,0.0,2.881967,5.0837684,4.640737,6.7053647,0.0,0.0
3.4107769,0.0,0.0,0.0,8.36958,6.2540417,8.258519,6.834368,0.0,0.0
3.1111813,0.0,0.0,0.0,4.5865817,4.7767253,5.129224,1.0195733,0.0,0.0
4.3824363,0.0,0.0,0.0,3.8705523,3.903689,5.72781,3.7754266,0.0,0.0
1.140389,0.0,0.0,0.0,3.4330797,3.9741192,5.3162656,3.5938718,0.0,0.0
3.0795236,0.0,0.0,0.0,2.5459354,5.220158,5.196017,4.6158214,0.0,0.0
1.8005903,0.0,0.0,0.0,6.884811,5.455117,7.925771,5.162781,0.0,0.0
3.05007,0.0,0.0,0.0,1.7886418,1.671701,4.507882,5.429218,0.0,0.0
3.9162374,0.0,0.0,0.0,4.97834,3.1104538,0.38434044,5.645016,0.0,0.0
3.16886,0.0,0.0,0.0,9.350655,4.30153,7.3320875,3.268913,0.0,0.0
1.8210837,0.0,0.0,0.0,6.500559,3.7071762,6.5631456,1.4554727,0.0,0.0
5.2619853,0.0,0.0,0.0,8.049849,6.3511953,7.138356,3.4878488,0.0,0.0
2.4221737,0.0,0.0,0.0,3.4669807,3.0025694,4.28524,0.21494302,0.0,0.0
2.978611,0.0,0.0,0.0,10.117443,8.05121,6.8140736,5.377552,0.0,0.0
0.96463275,0.0,0.0,0.0,3.5772433,5.962042,5.0289626,3.351873,0.0,0.0
3.392292,0.0,0.0,0.0,4.2997003,4.2801995,9.456237,6.333475,0.0,0.0
3.54893,0.0,0.0,0.0,6.8165526,6.5243993,5.7725654,3.7833805,0.0,0.0
4.839154,0.0,0.0,0.0,3.5876782,3.4921625,7.536335,4.104325,0.0,0.0
2.6347196,0.0,0.0,0.0,8.021912,3.8672347,7.010579,5.2786384,0.0,0.0
1.3642504,0.0,0.0,0.0,6.797434,4.8094535,7.0687,2.858847,0.0,0.0
1.0105599,0.0,0.0,0.0,5.7626953,3.1649904,6.1600003,1.9701784,0.0,0.0
4.7406154,0.0,0.0,0.0,12.329057,7.710306,8.928007,6.711642,0.0,0.0
3.2007492,0.0,0.0,0.0,5.587359,3.5869143,3.6907237,10.1863,0.0,0.0
4.0606055,0.0,0.0,0.0,4.294605,2.3804,2.4632661,7.8985996,0.0,0.0
3.7675543,0.0,0.0,0.0,6.140445,5.330569,3.7681603,9.983471,0.0,0.0
3.9050288,0.0,0.0,0.0,7.6113057,3.5017989,3.3572931,10.076003,0.0,0.0
2.3762574,0.0,0.0,0.0,3.5370138,2.907362,3.0112636,9.410622,0.0,0.0
3.1118662,0.0,0.0,0.0,5.4337263,5.6955633,7.172008,5.464108,0.0,0.0
3.036267,0.0,0.0,0.0,3.6669014,3.109107,0.6931867,6.962299,0.0,0.0
3.4921722,0.0,0.0,0.0,2.9437668,3.3108811,9.121517,9.329876,0.0,0.0
3.9296997,0.0,0.0,0.0,3.179359,2.5841308,2.7198808,7.658957,0.0,0.0
6.3468437,0.0,0.0,0.0,5.3875327,4.7400737,8.787915,5.1413865,0.0,0.0
1.9104819,0.0,0.0,0.0,6.5349393,3.6056046,6.556531,1.3683312,0.0,0.0
6.0087667,0.0,0.0,0.0,5.036701,3.6028292,2.9270167,7.4861794,0.0,0.0
0.8613116,0.0,0.0,0.0,7.244769,4.832325,7.5528235,4.4426804,0.0,0.0
4.231883,0.0,0.0,0.0,8.952275,5.621597,8.580943,6.5442724,0.0,0.0
3.471004,0.0,0.0,0.0,4.974226,0.4972035,3.993315,8.214184,0.0,0.0
2.334284,0.0,0.0,0.0,2.957552,1.8354434,6.141608,3.8157783,0.0,0.0
3.6534739,0.0,0.0,0.0,6.3557396,3.6678438,7.4663634,6.3709254,0.0,0.0
3.1195166,0.0,0.0,0.0,7.4939694,4.092965,3.3058228,10.695994,0.0,0.0
4.260412,0.0,0.0,0.0,4.2304792,0.9180031,2.7933798,7.002864,0.0,0.0
2.5332842,0.0,0.0,0.0,3.1342368,6.192491,5.1429567,6.8524218,0.0,0.0
4.057085,0.0,0.0,0.0,8.940056,6.3670645,8.571666,4.218465,0.0,0.0
3.133624,0.0,0.0,0.0,3.3714359,3.873963,2.3714232,7.764779,0.0,0.0
3.8237917,0.0,0.0,0.0,4.18214,3.5719588,4.483845,9.454192,0.0,0.0
2.192762,0.0,0.0,0.0,4.5910034,4.176667,7.014948,8.078804,0.0,0.0
2.300386,0.0,0.0,0.0,2.8516498,4.1259093,4.5536966,6.77555,0.0,0.0
2.5035481,0.0,0.0,0.0,3.0659382,5.7371063,5.852991,6.191777,0.0,0.0
3.2608333,0.0,0.0,0.0,5.977461,3.7539527,6.6572757,2.8173172,0.0,0.0
3.8498814,0.0,0.0,0.0,3.1752827,6.7166715,6.062282,6.131723,0.0,0.0
3.8525465,0.0,0.0,0.0,5.5484548,5.2089934,3.2245443,9.51332,0.0,0.0
3.1111524,0.0,0.0,0.0,8.625799,6.6144633,6.3513956,6.4045844,0.0,0.0
2.4338002,0.0,0.0,0.0,4.3356895,1.8278887,1.401038,9.973707,0.0,0.0
2.6719956,0.0,0.0,0.0,7.0971036,5.4977183,8.919717,5.217793,0.0,0.0
5.3793817,0.0,0.0,0.0,6.2974267,2.9483664,3.5781686,8.384257,0.0,0.0
3.0928562,0.0,0.0,0.0,2.7449958,2.442464,1.4355942,6.9892254,0.0,0.0
2.9170244,0.0,0.0,0.0,6.685547,5.418284,6.2994366,0.9491868,0.0,0.0
4.7435727,0.0,0.0,0.0,9.511282,7.014626,8.522072,4.717337,0.0,0.0
4.836658,0.0,0.0,0.0,5.290077,1.8639338,2.6453607,8.341681,0.0,0.0
1.5966605,0.0,0.0,0.0,7.99913,6.049477,7.110895,4.554133,0.0,0.0
2.4514687,0.0,0.0,0.0,6.0919595,4.4890556,6.9222674,1.8227164,0.0,0.0
1.4743044,0.0,0.0,0.0,4.950333,2.9623606,4.3490577,1.1391078,0.0,0.0
2.119121,0.0,0.0,0.0,8.541776,4.5674577,7.00064,3.5202055,0.0,0.0
