feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
0.0,1.3110526,0.0,6.7088175,9.472416,7.8338084,0.0,0.0,0.0,0.0
0.0,4.903135,0.0,9.985243,10.155484,2.4180372,0.0,0.0,0.0,0.0
0.0,3.1142907,0.0,0.3069035,0.0021113371,7.515877,0.0,0.0,0.0,0.0
0.0,6.0686526,0.0,5.9234066,1.1360351,7.267087,0.0,0.0,0.0,0.0
0.0,4.86424,0.0,11.108019,8.56444,5.751309,0.0,0.0,0.0,0.0
0.0,5.3247123,0.0,9.609703,10.68524,2.6776955,0.0,0.0,0.0,0.0
0.0,4.6920013,0.0,4.047645,1.4681513,7.0859113,0.0,0.0,0.0,0.0
0.0,1.4161888,0.0,9.492456,6.2455006,4.116537,0.0,0.0,0.0,0.0
0.0,5.7347755,0.0,4.2751865,12.467037,7.225234,0.0,0.0,0.0,0.0
0.0,1.893106,0.0,4.7134895,5.3107767,6.5014744,0.0,0.0,0.0,0.0
0.0,2.653529,0.0,4.209677,0.80203104,7.0300612,0.0,0.0,0.0,0.0
0.0,2.1385906,0.0,8.1981125,6.3836555,3.7892787,0.0,0.0,0.0,0.0
0.0,3.6997104,0.0,7.6659236,10.394359,7.53174,0.0,0.0,0.0,0.0
0.0,3.7981834,0.0,2.2790933,9.794774,5.108367,0.0,0.0,0.0,0.0
0.0,3.8850682,0.0,4.296127,2.146341,7.4376764,0.0,0.0,0.0,0.0
0.0,1.3164185,0.0,7.618083,5.342662,2.3524044,0.0,0.0,0.0,0.0
0.0,5.669346,0.0,0.0,6.626906,2.6570845,0.0,0.0,0.0,0.0
0.0,1.6099238,0.0,1.930045,3.767882,8.200312,0.0,0.0,0.0,0.0
0.0,6.2692494,0.0,6.472042,1.8948168,9.647473,0.0,0.0,0.0,0.0
0.0,4.646539,0.0,1.3762861,10.329502,5.6028204,0.0,0.0,0.0,0.0
0.0,4.796919,0.0,1.9923402,11.817342,5.612878,0.0,0.0,0.0,0.0
0.0,1.5144471,0.0,0.0,5.317403,1.9135642,0.0,0.0,0.0,0.0
0.0,2.9681587,0.0,1.3672657,5.1644363,4.426886,0.0,0.0,0.0,0.0
0.0,5.0724216,0.0,1.2138774,10.450311,5.3704877,0.0,0.0,0.0,0.0
0.0,1.4908407,0.0,4.99492,0.0,3.6988587,0.0,0.0,0.0,0.0
0.0,3.692959,0.0,4.436032,5.1903334,5.702844,0.0,0.0,0.0,0.0
0.0,3.0861971,0.0,1.4517215,5.046585,3.7127845,0.0,0.0,0.0,0.0
0.0,3.3507664,0.0,6.3115797,8.029731,7.109746,0.0,0.0,0.0,0.0
0.0,4.0985956,0.0,1.6196178,6.3688245,7.8126426,0.0,0.0,0.0,0.0
0.0,4.7572565,0.0,1.9810158,11.736503,5.5773077,0.0,0.0,0.0,0.0
0.0,3.199411,0.0,1.3166165,8.439269,3.4350786,0.0,0.0,0.0,0.0
0.0,3.6554153,0.0,2.775574,8.850986,5.8255095,0.0,0.0,0.0,0.0
0.0,3.7058363,0.0,3.8417435,0.4016222,6.8859773,0.0,0.0,0.0,0.0
0.0,4.6272573,0.0,3.8823988,11.206354,6.0209923,0.0,0.0,0.0,0.0
0.0,1.9180391,0.0,0.99897707,7.290542,2.1920278,0.0,0.0,0.0,0.0
0.0,3.5007966,0.0,0.69629186,7.766325,2.1883583,0.0,0.0,0.0,0.0
0.0,6.428858,0.0,6.6372538,7.47944,8.832951,0.0,0.0,0.0,0.0
0.0,2.4525337,0.0,3.27335,10.788544,6.703217,0.0,0.0,0.0,0.0
0.0,5.399397,0.0,3.997279,1.5845312,5.8221426,0.0,0.0,0.0,0.0
0.0,3.9697747,0.0,1.1818206,9.956397,4.992584,0.0,0.0,0.0,0.0
0.0,2.0291162,0.0,8.622262,6.046084,3.2228081,0.0,0.0,0.0,0.0
0.0,4.749849,0.0,3.8514001,10.622252,4.951458,0.0,0.0,0.0,0.0
0.0,2.8491077,0.0,0.0,6.5631657,3.343612,0.0,0.0,0.0,0.0
0.0,2.9731693,0.0,10.345195,6.6699386,4.275991,0.0,0.0,0.0,0.0
0.0,2.8895352,0.0,6.992644,8.952705,6.0276046,0.0,0.0,0.0,0.0
0.0,2.0992815,0.0,5.595594,0.0,5.4817104,0.0,0.0,0.0,0.0
0.0,2.6924338,0.0,6.667792,9.075873,6.666338,0.0,0.0,0.0,0.0
0.0,4.2278438,0.0,2.2914882,4.3447585,9.12289,0.0,0.0,0.0,0.0
0.0,4.6586266,0.0,0.7212826,7.641,1.1646012,0.0,0.0,0.0,0.0
0.0,2.782969,0.0,3.4785156,9.736216,4.206339,0.0,0.0,0.0,0.0
0.0,3.50799,0.0,2.1988516,6.983376,3.769661,0.0,0.0,0.0,0.0
0.0,5.134412,0.0,5.019768,2.002418,8.790271,0.0,0.0,0.0,0.0
0.0,2.1167324,0.0,7.9616184,5.7120442,2.6265624,0.0,0.0,0.0,0.0
0.0,4.074548,0.0,1.4705822,9.466017,4.2422442,0.0,0.0,0.0,0.0
0.0,4.8016887,0.0,4.0727634,1.559057,7.255248,0.0,0.0,0.0,0.0
0.0,4.659583,0.0,2.5428975,10.438614,8.743005,0.0,0.0,0.0,0.0
0.0,1.5079819,0.0,0.0,9.022275,6.5485644,0.0,0.0,0.0,0.0
0.0,2.2139494,0.0,0.43415374,8.923336,3.8048928,0.0,0.0,0.0,0.0
0.0,5.806559,0.0,0.06510738,7.691113,3.998557,0.0,0.0,0.0,0.0
0.0,6.922578,0.0,3.6967072,9.145033,5.0712185,0.0,0.0,0.0,0.0
0.0,4.533328,0.0,9.57994,10.713952,4.277803,0.0,0.0,0.0,0.0
0.0,1.451742,0.0,8.77121,5.673649,4.1551075,0.0,0.0,0.0,0.0
0.0,4.1573987,0.0,9.729805,7.726998,4.6339297,0.0,0.0,0.0,0.0
0.0,4.2159758,0.0,8.483282,10.878292,4.4370837,0.0,0.0,0.0,0.0
0.0,5.7565985,0.0,6.954693,6.9569316,9.272215,0.0,0.0,0.0,0.0
0.0,2.2860026,0.0,0.77034014,7.984438,3.0247297,0.0,0.0,0.0,0.0
0.0,2.1767032,0.0,8.373191,10.57836,6.0899477,0.0,0.0,0.0,0.0
0.0,2.3595667,0.0,1.4335948,7.6585927,3.6888416,0.0,0.0,0.0,0.0
0.0,3.3156936,0.0,9.112337,11.866881,8.652976,0.0,0.0,0.0,0.0
0.0,4.6307793,0.0,3.4797828,10.343809,6.8423886,0.0,0.0,0.0,0.0
0.0,3.4603379,0.0,1.5933558,6.037291,5.134631,0.0,0.0,0.0,0.0
0.0,3.4396162,0.0,11.171821,7.393949,4.862281,0.0,0.0,0.0,0.0
