feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
5.4358754,0.0,0.53581595,1.3663955,2.8318717,10.4977865,0.0,0.0,0.0,0.0
6.6064734,0.0,5.0805902,4.5735555,3.5020108,8.042022,0.0,0.0,0.0,0.0
4.4056096,0.0,3.9065783,2.110032,1.511449,6.6733894,0.0,0.0,0.0,0.0
5.406281,0.0,3.163092,3.9672415,5.5750766,10.067387,0.0,0.0,0.0,0.0
6.049465,0.0,6.420586,4.5879254,5.2084355,8.630234,0.0,0.0,0.0,0.0
13.566823,0.0,5.5295362,4.864022,4.956708,7.5009413,0.0,0.0,0.0,0.0
5.326976,0.0,3.887117,4.0896945,5.9302435,5.5249662,0.0,0.0,0.0,0.0
5.100032,0.0,5.262835,3.795256,5.385263,6.9801807,0.0,0.0,0.0,0.0
8.858892,0.0,1.5487084,4.1576066,1.5185276,8.445461,0.0,0.0,0.0,0.0
5.4255266,0.0,2.5282137,4.3565574,2.6983852,6.667904,0.0,0.0,0.0,0.0
11.053372,0.0,5.2443247,1.9578173,4.012222,5.070148,0.0,0.0,0.0,0.0
1.8488078,0.0,4.4017334,2.9383712,3.7349749,6.192633,0.0,0.0,0.0,0.0
4.5173664,0.0,2.8908143,4.2729964,4.1850176,8.143894,0.0,0.0,0.0,0.0
3.11634,0.0,1.8357102,0.8828366,3.0952272,4.1453304,0.0,0.0,0.0,0.0
4.0311675,0.0,2.017935,3.711033,1.956399,3.974589,0.0,0.0,0.0,0.0
6.727843,0.0,2.5129073,4.2950807,2.6047895,7.6956124,0.0,0.0,0.0,0.0
6.233779,0.0,2.438329,3.2695715,1.3619415,7.91873,0.0,0.0,0.0,0.0
3.2520533,0.0,2.7452383,4.95157,4.74869,7.0519276,0.0,0.0,0.0,0.0
4.926806,0.0,2.0484197,1.7358505,4.1257157,8.706406,0.0,0.0,0.0,0.0
3.593615,0.0,2.9374847,2.9570765,1.6204568,8.0386305,0.0,0.0,0.0,0.0
2.784336,0.0,3.1554303,2.6778207,1.4665139,6.3867884,0.0,0.0,0.0,0.0
10.214432,0.0,2.941232,2.914746,4.3869705,7.906167,0.0,0.0,0.0,0.0
4.651721,0.0,2.8896878,2.8248725,2.2010276,6.2343435,0.0,0.0,0.0,0.0
5.119659,0.0,4.8911195,3.3538744,3.2755606,4.334471,0.0,0.0,0.0,0.0
7.8125424,0.0,0.5966628,2.5087926,0.0,10.146869,0.0,0.0,0.0,0.0
0.6382081,0.0,5.656419,3.114438,6.095897,4.3909526,0.0,0.0,0.0,0.0
13.249145,0.0,4.388281,4.726313,3.4765015,7.616586,0.0,0.0,0.0,0.0
2.966274,0.0,4.057065,3.424924,4.817917,7.2388425,0.0,0.0,0.0,0.0
2.2225354,0.0,4.9290314,1.7007748,3.268734,6.2994633,0.0,0.0,0.0,0.0
5.2775264,0.0,2.685753,3.5136955,4.987526,8.5011425,0.0,0.0,0.0,0.0
1.2545575,0.0,5.581688,3.0789347,3.23686,7.2643766,0.0,0.0,0.0,0.0
2.3631008,0.0,4.9553013,4.796221,2.3982747,5.5276055,0.0,0.0,0.0,0.0
7.968363,0.0,1.4433094,4.8556204,2.0644088,7.5776806,0.0,0.0,0.0,0.0
6.274522,0.0,4.049365,5.6774015,4.7803907,6.4695973,0.0,0.0,0.0,0.0
2.5133708,0.0,1.1135972,1.9748713,4.1858907,8.556497,0.0,0.0,0.0,0.0
2.680017,0.0,1.9375074,0.75445676,2.1529565,5.3864236,0.0,0.0,0.0,0.0
3.8404605,0.0,4.819308,2.1713054,1.4411832,3.334809,0.0,0.0,0.0,0.0
6.072632,0.0,2.1787598,1.4903554,1.6575114,7.8948917,0.0,0.0,0.0,0.0
4.62472,0.0,4.357866,1.5517246,1.0539678,5.2524056,0.0,0.0,0.0,0.0
5.2053285,0.0,3.0199356,3.7318006,1.3874662,7.683917,0.0,0.0,0.0,0.0
6.8103623,0.0,3.4384542,4.335849,2.8916209,7.697166,0.0,0.0,0.0,0.0
6.3385234,0.0,2.8470268,4.965548,2.7075596,7.525088,0.0,0.0,0.0,0.0
5.7456713,0.0,2.9201252,3.713443,1.425308,9.868128,0.0,0.0,0.0,0.0
2.9288218,0.0,4.7984653,2.7055697,4.275799,4.3796554,0.0,0.0,0.0,0.0
2.090894,0.0,4.180967,1.3139614,3.2166493,5.307879,0.0,0.0,0.0,0.0
10.36762,0.0,4.251499,1.1687331,5.2257285,4.3585796,0.0,0.0,0.0,0.0
6.6665015,0.0,3.457507,5.4669747,3.8105755,7.472955,0.0,0.0,0.0,0.0
0.7369581,0.0,2.6770375,2.55522,4.0993185,4.825365,0.0,0.0,0.0,0.0
7.506615,0.0,4.153726,4.2254033,3.5870864,7.92737,0.0,0.0,0.0,0.0
4.911593,0.0,3.1426942,2.2026021,2.340863,5.8990273,0.0,0.0,0.0,0.0
3.0094151,0.0,3.006371,2.1965184,2.737914,8.033983,0.0,0.0,0.0,0.0
9.687976,0.0,4.1395774,4.5056715,3.4238815,10.737274,0.0,0.0,0.0,0.0
0.27115923,0.0,5.778852,1.5916958,4.573504,6.5281725,0.0,0.0,0.0,0.0
4.499736,0.0,2.7863185,4.78221,3.586835,7.175457,0.0,0.0,0.0,0.0
7.3844967,0.0,3.784838,3.6953347,3.9087446,7.218815,0.0,0.0,0.0,0.0
2.7290053,0.0,0.5417012,2.9584155,3.0737524,5.9325023,0.0,0.0,0.0,0.0
6.74108,0.0,3.073277,4.2188106,1.999505,5.842232,0.0,0.0,0.0,0.0
5.8242993,0.0,3.913849,4.686677,4.585006,7.4037795,0.0,0.0,0.0,0.0
3.6803217,0.0,1.3212488,2.5257683,3.216228,4.2223186,0.0,0.0,0.0,0.0
4.468743,0.0,3.150317,1.0434914,1.5799884,4.0687876,0.0,0.0,0.0,0.0
6.810472,0.0,0.9118434,4.940015,3.151246,9.429125,0.0,0.0,0.0,0.0
0.6291581,0.0,3.5522845,3.0446348,3.2838387,4.7236147,0.0,0.0,0.0,0.0
4.33785,0.0,2.9386222,3.5045874,4.7116923,8.243198,0.0,0.0,0.0,0.0
6.845893,0.0,4.1372647,5.6148324,3.491275,7.809849,0.0,0.0,0.0,0.0
4.600114,0.0,1.6130686,2.3556607,4.591168,8.211226,0.0,0.0,0.0,0.0
4.407666,0.0,4.3654647,0.81011194,0.74822,5.6051073,0.0,0.0,0.0,0.0
1.1058574,0.0,3.4321008,3.6455593,3.1894333,5.8688035,0.0,0.0,0.0,0.0
9.334422,0.0,0.73749584,4.3575983,1.7100946,9.104957,0.0,0.0,0.0,0.0
7.3014817,0.0,3.3233078,3.9475508,2.554853,8.130162,0.0,0.0,0.0,0.0
4.115808,0.0,4.026365,2.0945127,5.335416,7.333671,0.0,0.0,0.0,0.0
6.259454,0.0,1.666103,2.153317,4.627242,6.0634756,0.0,0.0,0.0,0.0
4.261464,0.0,1.1720015,4.051237,1.9734348,4.997236,0.0,0.0,0.0,0.0
8.905116,0.0,1.0606543,3.9594042,0.97808605,8.715787,0.0,0.0,0.0,0.0
11.937288,0.0,3.1491787,4.441176,5.0365653,6.374566,0.0,0.0,0.0,0.0
6.7273393,0.0,3.9573805,5.8166018,5.414519,6.5871253,0.0,0.0,0.0,0.0
3.2185528,0.0,3.1341403,2.5305426,5.1793346,7.265239,0.0,0.0,0.0,0.0
4.629624,0.0,1.6391618,1.2792896,3.7223163,6.639612,0.0,0.0,0.0,0.0
10.605822,0.0,5.580772,1.5449075,3.8380225,6.071372,0.0,0.0,0.0,0.0
4.8339205,0.0,4.643736,3.8108962,2.0067043,4.0209975,0.0,0.0,0.0,0.0
6.394981,0.0,2.1026402,4.6369624,1.496842,8.818874,0.0,0.0,0.0,0.0
6.3672194,0.0,3.508641,2.303722,1.6172714,6.4531612,0.0,0.0,0.0,0.0
2.970961,0.0,4.8867073,2.616129,5.142864,4.63705,0.0,0.0,0.0,0.0
10.540638,0.0,3.6495788,3.9990973,3.5398014,9.320266,0.0,0.0,0.0,0.0
2.2372642,0.0,5.238532,1.8397447,2.69335,6.1489573,0.0,0.0,0.0,0.0
5.7912455,0.0,5.255302,3.1310594,3.1401584,6.443304,0.0,0.0,0.0,0.0
1.3614573,0.0,4.5711546,2.856227,2.68082,5.503801,0.0,0.0,0.0,0.0
5.9492154,0.0,3.6451035,1.6104926,1.6540614,0.027140878,0.0,0.0,0.0,0.0
7.685661,0.0,0.07074067,2.0495749,1.8074362,8.119909,0.0,0.0,0.0,0.0
1.5678673,0.0,6.249702,3.1476202,7.075076,6.0945477,0.0,0.0,0.0,0.0
10.765853,0.0,3.843752,1.3592237,4.6388874,9.794703,0.0,0.0,0.0,0.0
3.814303,0.0,3.2806528,4.8982205,4.2341423,5.5295362,0.0,0.0,0.0,0.0
6.0796165,0.0,4.020264,3.0797153,1.3900592,8.160489,0.0,0.0,0.0,0.0
2.470368,0.0,5.551892,3.9113941,5.1240597,8.883858,0.0,0.0,0.0,0.0
2.7531676,0.0,3.871224,4.8025436,5.2581434,7.3815575,0.0,0.0,0.0,0.0
3.5778584,0.0,4.3842616,4.7501154,6.1325164,4.924761,0.0,0.0,0.0,0.0
4.4474015,0.0,3.7043135,2.3205473,1.9555125,3.2423527,0.0,0.0,0.0,0.0
4.0591574,0.0,6.8797855,5.5468607,5.0625553,4.2882867,0.0,0.0,0.0,0.0
3.3699422,0.0,1.8355712,2.7816236,0.68738294,3.3287675,0.0,0.0,0.0,0.0
4.465929,0.0,1.7936684,2.042797,4.4115186,8.129531,0.0,0.0,0.0,0.0
3.8763938,0.0,2.46781,3.1515262,1.4166186,3.416443,0.0,0.0,0.0,0.0
2.5263145,0.0,4.739728,0.6118219,2.6773555,5.757337,0.0,0.0,0.0,0.0
9.137623,0.0,3.8392992,1.7462105,4.9093595,7.688195,0.0,0.0,0.0,0.0
3.8320835,0.0,0.9206716,3.0128672,1.6351718,3.8759854,0.0,0.0,0.0,0.0
3.5998535,0.0,2.395353,1.2758508,1.5300835,7.8878064,0.0,0.0,0.0,0.0
5.1363244,0.0,2.8156102,2.089214,3.7643309,8.477723,0.0,0.0,0.0,0.0
4.8679276,0.0,2.4840095,2.0868483,2.9757073,5.8875527,0.0,0.0,0.0,0.0
11.548332,0.0,4.5348606,3.695475,3.390431,5.8274875,0.0,0.0,0.0,0.0
2.2719278,0.0,5.819807,3.5710254,2.7303066,6.483884,0.0,0.0,0.0,0.0
4.546436,0.0,1.7545627,3.2827725,4.444158,4.4435124,0.0,0.0,0.0,0.0
6.3359756,0.0,2.079097,5.5954094,4.0743375,8.300425,0.0,0.0,0.0,0.0
1.4162239,0.0,3.6709762,2.8625004,4.0735598,5.5315256,0.0,0.0,0.0,0.0
6.990037,0.0,5.7734504,5.424603,5.0339003,6.6812053,0.0,0.0,0.0,0.0
3.8937013,0.0,3.8626091,2.5714498,3.5839007,7.5480824,0.0,0.0,0.0,0.0
4.0963726,0.0,1.5299019,2.940102,2.718286,2.1828518,0.0,0.0,0.0,0.0
6.2043643,0.0,1.9287467,4.197963,2.3229907,10.090282,0.0,0.0,0.0,0.0
4.9035573,0.0,1.7684462,1.3392785,0.44952652,7.2218895,0.0,0.0,0.0,0.0
3.3245661,0.0,3.0031524,2.918745,5.460838,4.6799445,0.0,0.0,0.0,0.0
0.83261937,0.0,2.7575428,2.9646053,3.909297,4.8051343,0.0,0.0,0.0,0.0
3.7783127,0.0,5.4056535,2.8077514,5.095634,5.1066537,0.0,0.0,0.0,0.0
6.8251085,0.0,3.6959789,0.92725307,3.384012,1.5072774,0.0,0.0,0.0,0.0
6.285611,0.0,3.4598296,2.8059018,2.937856,5.8866935,0.0,0.0,0.0,0.0
5.5275316,0.0,2.8448627,1.8484539,1.3062768,5.222018,0.0,0.0,0.0,0.0
3.8521926,0.0,5.6545258,3.7996686,4.8589544,5.8271084,0.0,0.0,0.0,0.0
3.7329617,0.0,1.4660065,1.5110822,2.1154242,4.950437,0.0,0.0,0.0,0.0
5.0391984,0.0,1.341726,2.9744945,1.688672,5.6471267,0.0,0.0,0.0,0.0
4.7332635,0.0,4.947507,2.0996222,4.1539474,4.247729,0.0,0.0,0.0,0.0
4.1636343,0.0,2.9705749,1.2905134,3.0129042,7.5898104,0.0,0.0,0.0,0.0
4.7775073,0.0,3.6825876,2.6188102,2.3623931,6.7427588,0.0,0.0,0.0,0.0
2.7385056,0.0,4.1397376,2.9752238,4.6073103,6.794366,0.0,0.0,0.0,0.0
2.5909731,0.0,2.6378708,2.2811527,3.3236535,3.8061402,0.0,0.0,0.0,0.0
6.7240677,0.0,4.824558,3.3399599,1.7338544,6.596333,0.0,0.0,0.0,0.0
8.323961,0.0,1.7590925,5.308621,3.2276852,8.912678,0.0,0.0,0.0,0.0
7.3266697,0.0,2.4949262,6.0869374,5.5755396,9.804005,0.0,0.0,0.0,0.0
2.138022,0.0,5.426047,3.5659416,2.8103213,6.4365554,0.0,0.0,0.0,0.0
4.07133,0.0,3.6970696,0.97694236,1.1460621,6.4905562,0.0,0.0,0.0,0.0
5.6646533,0.0,3.3242345,3.9336789,1.3563466,6.028196,0.0,0.0,0.0,0.0
3.5637374,0.0,2.8643646,1.898932,3.5675628,0.10448415,0.0,0.0,0.0,0.0
5.482983,0.0,3.8198686,3.7684164,5.117325,7.404299,0.0,0.0,0.0,0.0
2.3148863,0.0,4.9424477,0.47067514,2.7771087,5.410835,0.0,0.0,0.0,0.0
6.9353228,0.0,2.6551354,5.6080685,3.4681587,9.154274,0.0,0.0,0.0,0.0
